Año	Código del municipio	Nombre del municipio	Personas que son mano de obra familiar	Personas que son mano de obra familiar y titulares explotación	Personas que son mano de obra familiar y cónyuges	Personas que son mano de obra familiar distinta a las anteriores (otros)	Personas mano obra familiar son titulares <35 años	Personas mano obra familiar son titulares de 35 a 54 años	Personas mano obra familiar son titulares de 55 a 64 años	Personas mano obra familiar son titulares de más de 65 años	Personas mano obra familiar cónyuge <35 años	Personas mano obra familiar cónyuge de 35 a 54 años	Personas mano obra familiar cónyuge de 55 a 64 años	Personas mano obra familiar cónyuge de más de 65 años	Personas mano obra familiar otros (otra relación) con <35 años	Personas mano obra familiar otros de 35 a 54 años	Personas mano obra familiar otros de 55 a 64 años	Personas mano obra familiar otros de más de 65 años
1989	22129	Isábena	102	59	23	20	4	21	13	21	2	10	8	3	9	7	1	3
1989	22130	Jaca	418	317	37	64	26	104	113	74	4	18	14	1	30	16	10	8
1989	22131	Jasa	22	13	4	5	0	5	4	4	0	3	1	0	3	0	1	1
1989	22133	Labuerda	47	45	1	1	2	10	7	26	0	1	0	0	0	0	1	0
1989	22135	Laluenga	103	78	2	23	6	29	26	17	1	0	1	0	17	3	3	0
1989	22136	Lalueza	400	305	50	45	43	119	90	53	6	37	7	0	29	10	4	2
1989	22137	Lanaja	355	290	30	35	35	101	102	52	6	14	9	1	25	6	2	2
1989	22139	Laperdiguera	31	24	1	6	4	8	7	5	0	1	0	0	4	2	0	0
1989	22141	Lascellas-Ponzano	55	51	1	3	8	17	20	6	0	1	0	0	2	0	0	1
1989	22142	Lascuarre	63	41	11	11	6	14	14	7	2	8	1	0	8	0	1	2
1989	22143	Laspaúles	98	62	20	16	8	23	20	11	3	11	5	1	5	4	2	5
1989	22144	Laspuña	92	62	22	8	4	16	25	17	1	12	8	1	1	4	2	1
1989	22149	Loarre	126	126	0	0	6	52	38	30	0	0	0	0	0	0	0	0
1989	22150	Loporzano	219	174	13	32	7	57	60	50	0	5	5	3	16	14	2	0
1989	22151	Loscorrales	49	47	0	2	4	15	16	12	0	0	0	0	0	0	0	2
1989	22155	Monesma y Cajigar	60	27	13	20	6	10	9	2	2	7	3	1	14	2	3	1
1989	22156	Monflorite-Lascasas	62	41	4	17	5	14	16	6	0	2	2	0	5	9	3	0
1989	22157	Montanuy	147	85	22	40	16	28	30	11	4	12	4	2	21	6	11	2
1989	22158	Monzón	956	806	47	103	78	289	252	187	2	24	15	6	51	28	13	11
1989	22160	Naval	103	85	6	12	5	26	16	38	2	2	0	2	4	1	3	4
1989	22162	Novales	40	37	0	3	7	8	12	10	0	0	0	0	1	1	1	0
1989	22163	Nueno	99	76	2	21	4	21	22	29	0	2	0	0	8	8	3	2
1989	22164	Olvena	36	28	4	4	3	10	7	8	0	3	1	0	2	1	1	0
1989	22165	Ontiñena	145	133	3	9	22	43	42	26	0	3	0	0	6	2	1	0
1989	22167	Osso de Cinca	293	139	54	100	16	66	36	21	10	33	11	0	65	15	7	13
1989	22168	Palo	32	32	0	0	2	10	5	15	0	0	0	0	0	0	0	0
1989	22170	Panticosa	72	59	5	8	5	16	20	18	0	3	2	0	2	2	0	4
1989	22172	Peñalba	138	112	2	24	8	37	50	17	0	1	0	1	16	4	4	0
1989	22173	Peñas de Riglos (Las)	88	88	0	0	9	24	30	25	0	0	0	0	0	0	0	0
1989	22174	Peralta de Alcofea	157	114	23	20	13	50	39	12	3	16	3	1	15	3	0	2
1989	22175	Peralta de Calasanz	278	219	38	21	11	61	56	91	1	18	14	5	12	6	0	3
1989	22176	Peraltilla	50	45	1	4	4	20	12	9	0	1	0	0	3	1	0	0
1989	22177	Perarrúa	81	56	12	13	1	19	17	19	1	8	3	0	6	4	1	2
1989	22178	Pertusa	34	25	1	8	7	14	2	2	0	1	0	0	2	3	2	1
1989	22181	Piracés	26	22	0	4	7	7	6	2	0	0	0	0	3	1	0	0
1989	22182	Plan	110	72	22	16	2	23	20	27	1	10	8	3	10	4	1	1
1989	22184	Poleñino	67	53	7	7	11	24	14	4	0	5	2	0	6	1	0	0
1989	22186	Pozán de Vero	105	90	3	12	6	24	20	40	0	3	0	0	4	7	0	1
1989	22187	Puebla de Castro (La)	114	93	15	6	5	26	21	41	0	7	8	0	4	1	0	1
1989	22188	Puente de Montañana	37	23	7	7	2	8	6	7	0	4	3	0	3	1	1	2
1989	22189	Puértolas	76	54	14	8	3	16	16	19	2	6	1	5	1	2	1	4
1989	22190	Pueyo de Araguás (El)	64	49	2	13	7	20	13	9	0	1	0	1	2	4	4	3
1989	22193	Pueyo de Santa Cruz	86	74	9	3	3	28	21	22	1	5	3	0	2	1	0	0
1989	22195	Quicena	13	9	1	3	0	2	5	2	0	0	1	0	1	2	0	0
1989	22197	Robres	145	116	6	23	18	42	42	14	0	4	2	0	18	5	0	0
1989	22199	Sabiñánigo	344	262	13	69	11	69	75	107	1	5	7	0	27	29	11	2
1989	22200	Sahún	77	52	17	8	4	18	13	17	4	6	4	3	1	4	2	1
1989	22201	Salas Altas	258	126	40	92	7	37	36	46	0	22	12	6	52	27	4	9
1989	22202	Salas Bajas	117	74	22	21	2	18	24	30	1	10	5	6	15	5	0	1
1989	22203	Salillas	40	31	5	4	1	11	14	5	0	3	2	0	2	2	0	0
1989	22204	Sallent de Gállego	115	82	19	14	10	24	27	21	1	11	7	0	8	5	1	0
1989	22205	San Esteban de Litera	363	260	55	48	22	108	77	53	3	33	17	2	26	12	5	5
1989	22206	Sangarrén	86	69	4	13	4	29	17	19	0	3	1	0	8	2	3	0
1989	22207	San Juan de Plan	64	32	21	11	0	11	11	10	0	12	8	1	7	3	0	1
1989	22208	Santa Cilia	61	43	10	8	3	16	14	10	1	6	3	0	4	3	1	0
1989	22209	Santa Cruz de la Serós	46	32	7	7	3	10	12	7	0	3	2	2	2	2	2	1
1989	22212	Santaliestra y San Quílez	32	25	5	2	1	10	6	8	0	4	0	1	2	0	0	0
1989	22213	Sariñena	656	475	67	114	59	213	126	77	12	43	11	1	88	21	5	0
1989	22214	Secastilla	83	55	13	15	5	17	15	18	1	7	5	0	5	3	1	6
1989	22215	Seira	41	28	7	6	1	7	3	17	0	3	2	2	0	2	2	2
1989	22217	Sena	156	141	9	6	26	59	33	23	1	8	0	0	4	1	0	1
1989	22218	Senés de Alcubierre	28	20	2	6	2	12	5	1	0	2	0	0	5	1	0	0
1989	22220	Sesa	69	56	6	7	4	25	19	8	0	5	1	0	3	1	2	1
1989	22221	Sesué	29	17	5	7	2	3	7	5	0	5	0	0	2	2	2	1
1989	22222	Siétamo	112	86	2	24	6	23	25	32	0	0	1	1	11	9	0	4
1989	22223	Sopeira	36	29	5	2	4	5	9	11	0	2	3	0	0	0	1	1
1989	22225	Tamarite de Litera	1190	561	232	397	72	241	172	76	28	129	61	14	186	69	54	88
1989	22226	Tardienta	237	212	4	21	18	67	75	52	0	2	1	1	13	6	2	0
1989	22227	Tella-Sin	74	49	15	10	1	11	19	18	1	3	8	3	6	3	1	0
1989	22228	Tierz	26	17	2	7	1	7	6	3	0	0	2	0	5	0	0	2
1989	22229	Tolva	105	69	18	18	7	26	21	15	1	11	3	3	10	3	2	3
1989	22230	Torla-Ordesa	73	49	12	12	7	21	14	7	2	4	4	2	2	6	1	3
1989	22232	Torralba de Aragón	52	42	2	8	8	17	13	4	0	1	1	0	4	2	1	1
1989	22233	Torre la Ribera	43	22	9	12	3	9	6	4	2	4	3	0	5	3	3	1
1989	22234	Torrente de Cinca	192	108	53	31	16	42	29	21	5	33	11	4	23	1	4	3
1989	22235	Torres de Alcanadre	37	29	2	6	10	8	9	2	2	0	0	0	4	1	0	1
1989	22236	Torres de Barbués	67	52	5	10	14	21	11	6	0	5	0	0	7	2	0	1
1989	22239	Tramaced	43	33	2	8	4	15	11	3	0	1	1	0	4	3	1	0
1989	22242	Valfarta	31	30	0	1	1	12	10	7	0	0	0	0	1	0	0	0
1989	22243	Valle de Bardají	23	14	5	4	2	5	4	3	1	3	1	0	3	1	0	0
1989	22244	Valle de Lierp	28	13	8	7	1	5	5	2	1	4	3	0	6	0	0	1
1989	22245	Velilla de Cinca	121	71	30	20	7	27	20	17	1	17	9	3	15	1	2	2
1989	22246	Beranuy	61	29	13	19	2	8	9	10	1	4	5	3	8	6	2	3
1989	22247	Viacamp y Litera	34	23	3	8	1	7	5	10	0	1	1	1	4	1	3	0
1989	22248	Vicién	16	8	1	7	0	2	2	4	0	1	0	0	4	2	1	0
1989	22249	Villanova	10	8	1	1	0	5	2	1	0	1	0	0	1	0	0	0
1989	22250	Villanúa	30	23	6	1	1	3	11	8	0	2	3	1	0	1	0	0
1989	22251	Villanueva de Sigena	116	100	9	7	33	39	22	6	1	7	1	0	3	1	1	2
1989	22252	Yebra de Basa	37	24	2	11	3	7	8	6	0	0	2	0	5	3	0	3
1989	22253	Yésero	36	18	9	9	0	7	3	8	1	1	2	5	6	3	0	0
1989	22254	Zaidín	632	348	145	139	65	155	98	30	30	95	20	0	109	15	11	4
1989	22901	Valle de Hecho	281	190	25	66	9	61	55	65	1	11	11	2	37	18	8	3
1989	22902	Puente la Reina de Jaca	99	68	16	15	14	21	21	12	1	12	2	1	1	6	5	3
1989	22903	San Miguel del Cinca	426	268	88	70	38	98	64	68	7	45	27	9	54	11	4	1
1989	22904	Sotonera (La)	483	401	13	69	33	129	122	117	2	4	7	0	41	22	5	1
1989	22905	Lupiñén-Ortilla	116	102	2	12	5	39	26	32	0	2	0	0	7	3	2	0
1989	22906	Santa María de Dulcis	90	80	3	7	7	21	20	32	0	0	0	3	4	1	0	2
1989	22907	Aínsa-Sobrarbe	191	159	15	17	24	48	51	36	3	10	2	0	6	8	2	1
1989	22908	Hoz y Costeán	218	166	16	36	8	34	54	70	0	9	5	2	18	13	2	3
1989	22909	Vencillón	128	82	13	33	6	42	25	9	0	9	3	1	28	5	0	0
1989	44001	Ababuj	52	29	12	11	3	9	13	4	0	7	4	1	5	4	2	0
1989	44002	Abejuela	25	20	5	0	0	4	7	9	0	2	3	0	0	0	0	0
1989	44003	Aguatón	18	11	7	0	1	3	6	1	0	4	3	0	0	0	0	0
1989	44004	Aguaviva	220	151	60	9	9	34	48	60	2	24	31	3	7	2	0	0
1989	44005	Aguilar del Alfambra	52	31	17	4	0	7	15	9	0	10	4	3	4	0	0	0
1989	44006	Alacón	200	113	64	23	16	33	47	17	7	26	25	6	21	1	1	0
1989	44007	Alba	107	68	17	22	9	33	20	6	4	8	5	0	17	3	1	1
1989	44008	Albalate del Arzobispo	518	359	108	51	17	98	134	110	5	52	40	11	36	13	1	1
1989	44009	Albarracín	103	79	5	19	7	21	28	23	1	2	2	0	11	5	3	0
1989	44010	Albentosa	181	158	15	8	11	43	39	65	1	9	5	0	3	4	0	1
1989	44011	Alcaine	34	29	3	2	2	4	10	13	0	2	1	0	1	1	0	0
1989	44012	Alcalá de la Selva	200	181	13	6	5	51	53	72	0	7	6	0	4	2	0	0
1989	44013	Alcañiz	1414	868	314	232	72	339	296	161	28	172	95	19	121	69	25	17
1989	44014	Alcorisa	729	484	132	113	36	187	148	113	14	63	43	12	55	27	14	17
1989	44016	Alfambra	220	159	46	15	27	53	59	20	5	29	11	1	10	3	2	0
1989	44017	Aliaga	177	153	17	7	4	25	43	81	1	9	7	0	5	0	2	0
1989	44018	Almohaja	6	5	1	0	0	2	3	0	0	0	1	0	0	0	0	0
1989	44019	Alobras	70	36	20	14	3	6	7	20	1	3	7	9	10	0	3	1
1989	44020	Alpeñés	20	20	0	0	6	7	3	4	0	0	0	0	0	0	0	0
1989	44021	Allepuz	121	94	11	16	1	27	37	29	0	5	4	2	8	7	1	0
1989	44022	Alloza	249	169	45	35	11	52	47	59	3	24	12	6	14	11	6	4
1989	44023	Allueva	2	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0
1989	44024	Anadón	13	6	5	2	1	2	3	0	0	4	1	0	2	0	0	0
1989	44025	Andorra	588	312	166	110	20	129	117	46	10	93	50	13	81	18	5	6
1989	44026	Arcos de las Salinas	85	51	30	4	3	15	15	18	3	10	10	7	4	0	0	0
1989	44027	Arens de Lledó	148	89	34	25	7	33	35	14	2	17	12	3	15	8	2	0
1989	44028	Argente	119	70	29	20	8	31	27	4	3	14	9	3	14	3	2	1
1989	44029	Ariño	266	186	35	45	11	56	59	60	5	13	13	4	19	10	12	4
1989	44031	Azaila	57	50	3	4	8	23	16	3	0	2	1	0	3	0	0	1
1989	44032	Bádenas	10	8	2	0	1	4	3	0	1	1	0	0	0	0	0	0
1989	44033	Báguena	363	207	78	78	5	66	59	77	1	28	35	14	46	26	5	1
1989	44034	Bañón	69	40	17	12	5	15	19	1	1	10	6	0	9	1	1	1
1989	44035	Barrachina	79	46	26	7	0	15	17	14	0	12	9	5	3	1	1	2
1989	44036	Bea	13	12	0	1	3	3	5	1	0	0	0	0	1	0	0	0
1989	44037	Beceite	214	208	4	2	23	79	59	47	1	2	1	0	2	0	0	0
1989	44038	Belmonte de San José	157	112	36	9	2	19	21	70	2	11	13	10	3	3	3	0
1989	44039	Bello	203	94	70	39	1	25	42	26	1	25	31	13	30	4	5	0
1989	44040	Berge	131	84	26	21	3	19	34	28	0	12	12	2	9	4	4	4
1989	44041	Bezas	22	14	8	0	0	2	4	8	0	3	2	3	0	0	0	0
1989	44042	Blancas	75	48	19	8	10	20	17	1	1	11	6	1	3	4	1	0
1989	44043	Blesa	70	50	15	5	6	19	20	5	2	8	5	0	2	0	3	0
1989	44044	Bordón	69	45	17	7	4	12	17	12	2	8	5	2	5	0	2	0
1989	44045	Bronchales	75	73	1	1	3	19	26	25	0	1	0	0	0	1	0	0
1989	44046	Bueña	61	42	12	7	7	16	17	2	0	6	5	1	4	1	1	1
1989	44047	Burbáguena	391	241	35	115	4	56	75	106	0	17	15	3	22	56	28	9
1989	44048	Cabra de Mora	63	46	13	4	2	17	15	12	2	8	2	1	2	1	1	0
1989	44049	Calaceite	616	357	164	95	38	124	106	89	19	79	54	12	46	23	8	18
1989	44050	Calamocha	1109	828	176	105	32	218	289	289	15	85	62	14	52	22	26	5
1989	44051	Calanda	626	396	130	100	44	138	147	67	23	60	41	6	72	9	10	9
1989	44052	Calomarde	27	23	2	2	0	7	8	8	0	0	2	0	0	0	1	1
1989	44053	Camañas	69	44	13	12	6	20	17	1	2	7	3	1	10	0	2	0
1989	44054	Camarena de la Sierra	221	208	8	5	1	37	47	123	0	4	2	2	1	3	1	0
1989	44055	Camarillas	77	67	7	3	3	25	17	22	0	5	1	1	1	1	1	0
1989	44056	Caminreal	187	148	31	8	17	62	52	17	4	16	11	0	5	3	0	0
1989	44059	Cantavieja	176	100	41	35	15	40	37	8	5	28	8	0	21	8	4	2
1989	44060	Cañada de Benatanduz	50	26	10	14	0	9	10	7	0	4	6	0	6	7	1	0
1989	44061	Cañada de Verich (La)	93	61	19	13	4	13	15	29	1	5	7	6	7	2	4	0
1989	44062	Cañada Vellida	31	24	2	5	2	13	7	2	0	2	0	0	2	2	1	0
1989	44063	Cañizar del Olivar	70	58	5	7	1	11	18	28	0	2	2	1	3	2	2	0
1989	44064	Cascante del Río	245	212	14	19	7	54	41	110	0	8	5	1	8	9	1	1
1989	44065	Castejón de Tornos	62	28	24	10	2	10	13	3	1	13	7	3	7	3	0	0
1989	44066	Castel de Cabra	71	47	11	13	1	12	21	13	0	5	5	1	11	2	0	0
1989	44067	Castelnou	37	27	7	3	3	8	12	4	0	5	2	0	2	1	0	0
1989	44068	Castelserás	254	147	63	44	11	49	35	52	5	27	18	13	24	8	8	4
1989	44070	Castellar (El)	59	38	12	9	3	16	14	5	1	5	6	0	2	4	2	1
1989	44071	Castellote	552	387	81	84	23	109	100	155	8	42	17	14	41	28	9	6
1989	44074	Cedrillas	193	145	32	16	14	57	41	33	5	15	12	0	7	5	3	1
1989	44075	Celadas	222	121	62	39	16	48	47	10	4	31	22	5	36	1	1	1
1989	44076	Cella	911	501	246	164	32	225	180	64	23	135	82	6	99	49	13	3
1989	44077	Cerollera (La)	54	54	0	0	1	15	18	20	0	0	0	0	0	0	0	0
1989	44080	Codoñera (La)	130	70	39	21	10	23	27	10	4	21	13	1	17	2	1	1
1989	44082	Corbalán	54	33	16	5	0	7	18	8	0	7	5	4	4	0	1	0
1989	44084	Cortes de Aragón	32	20	9	3	1	5	8	6	2	4	3	0	1	2	0	0
1989	44085	Cosa	49	29	11	9	4	16	7	2	0	8	3	0	7	0	2	0
1989	44086	Cretas	412	264	86	62	15	97	89	63	4	45	32	5	40	15	3	4
1989	44087	Crivillén	100	97	2	1	1	13	26	57	0	1	1	0	0	0	1	0
1989	44088	Cuba (La)	37	23	10	4	2	7	10	4	1	2	5	2	2	2	0	0
1989	44089	Cubla	145	127	9	9	4	20	33	70	0	4	4	1	4	4	1	0
1989	44090	Cucalón	17	13	3	1	0	9	4	0	0	2	1	0	1	0	0	0
1989	44092	Cuervo (El)	88	53	23	12	1	17	13	22	1	7	4	11	5	4	1	2
1989	44093	Cuevas de Almudén	41	29	1	11	7	7	10	5	0	0	0	1	6	4	0	1
1989	44094	Cuevas Labradas	68	46	18	4	4	19	14	9	2	11	5	0	3	0	1	0
1989	44096	Ejulve	364	311	21	32	6	63	78	164	1	10	8	2	12	13	4	3
1989	44097	Escorihuela	143	68	53	22	2	22	24	20	3	17	28	5	18	2	0	2
