Mes y año	Temporalidad	Sexo	Afiliaciones en alta
Marzo 2015	Indefinido	Hombres	134814
Marzo 2015	Indefinido	Mujeres	121345
Marzo 2015	Temporal	Hombres	55315
Marzo 2015	Temporal	Mujeres	53449
Marzo 2015	Sin clasificar	Hombres	17096
Marzo 2015	Sin clasificar	Mujeres	23707
Junio 2015	Indefinido	Hombres	136064
Junio 2015	Indefinido	Mujeres	118825
Junio 2015	Temporal	Hombres	68958
Junio 2015	Temporal	Mujeres	60012
Junio 2015	Sin clasificar	Hombres	16350
Junio 2015	Sin clasificar	Mujeres	23240
Septiembre 2015	Indefinido	Hombres	136212
Septiembre 2015	Indefinido	Mujeres	120772
Septiembre 2015	Temporal	Hombres	61931
Septiembre 2015	Temporal	Mujeres	56643
Septiembre 2015	Sin clasificar	Hombres	16644
Septiembre 2015	Sin clasificar	Mujeres	23656
Diciembre 2015	Indefinido	Hombres	136858
Diciembre 2015	Indefinido	Mujeres	121956
Diciembre 2015	Temporal	Hombres	57007
Diciembre 2015	Temporal	Mujeres	58184
Diciembre 2015	Sin clasificar	Hombres	17196
Diciembre 2015	Sin clasificar	Mujeres	24372
Marzo 2016	Indefinido	Hombres	138447
Marzo 2016	Indefinido	Mujeres	122950
Marzo 2016	Temporal	Hombres	58311
Marzo 2016	Temporal	Mujeres	57106
Marzo 2016	Sin clasificar	Hombres	17243
Marzo 2016	Sin clasificar	Mujeres	24467
Junio 2016	Indefinido	Hombres	140413
Junio 2016	Indefinido	Mujeres	120091
Junio 2016	Temporal	Hombres	73122
Junio 2016	Temporal	Mujeres	63632
Junio 2016	Sin clasificar	Hombres	16627
Junio 2016	Sin clasificar	Mujeres	24116
