Año	Código de la comarca	Comarca	Total máquinas	Tractores	Motocultores	Cosechadoras	Otras máquinas	Explotaciones que usan maquinaria propia	Explotaciones con máquina en propiedad: tractor	Explotaciones con máquina en propiedad: motocultor	Explotaciones con máquina en propiedad: cosechadora	Explotaciones con máquina en propiedad: otra máquina	Explotaciones que usan maquinaria no en propiedad exclusiva	Explotaciones que usan maquinaria no en propiedad exclusiva: tractor	Explotaciones que usan maquinaria no en propiedad exclusiva: motocultor	Explotaciones que usan maquinaria no en propiedad exclusiva: cosechadora	Explotaciones que usan maquinaria no en propiedad exclusiva: otra máquina
1989	01	La Jacetania	1176	593	256	77	250	601	501	241	75	225	813	442	65	661	312
1989	02	Alto Gállego	833	376	158	31	268	388	331	153	28	221	336	116	44	265	97
1989	03	Sobrarbe	1393	654	460	32	247	736	572	421	32	209	594	188	43	476	338
1989	04	La Ribagorza	2085	1153	409	84	439	1139	969	394	82	342	1422	740	86	1065	625
1989	05	Cinco Villas	4069	3051	272	530	216	2616	2484	269	504	203	6376	4533	82	5701	389
1989	06	Hoya de Huesca / Plana de Uesca	4362	2586	965	517	294	2257	1878	944	489	261	2724	1360	75	2287	163
1989	07	Somontano de Barbastro	3075	1703	849	233	290	1814	1407	841	229	249	2160	1113	31	1700	131
1989	08	Cinca Medio	2292	1382	661	79	170	1509	1163	651	70	148	1825	822	85	1623	366
1989	09	La Litera / La Llitera	2960	2051	436	192	281	1867	1672	428	177	233	2172	1076	28	1934	883
1989	10	Los Monegros	4704	3095	504	416	689	2702	2514	497	394	575	3314	1229	26	3167	572
1989	11	Bajo Cinca / Baix Cinca	3225	2425	635	58	107	2300	1929	625	53	93	1473	548	16	1156	149
1989	12	Tarazona y el Moncayo	1017	572	367	52	26	839	517	367	50	22	1631	1121	249	979	143
1989	13	Campo de Borja	2122	1337	667	85	33	1534	1173	657	83	30	2609	1801	189	1718	425
1989	14	Aranda	485	415	54	10	6	421	376	53	9	5	1096	1001	10	158	0
1989	15	Ribera Alta del Ebro	2173	1279	700	88	106	1559	1113	695	77	91	3234	2152	195	2889	469
1989	16	Valdejalón	2358	1771	484	59	44	1791	1532	436	58	35	4001	3191	632	1463	174
1989	17	D.C. Zaragoza	5337	2848	1705	375	409	3367	2452	1630	343	355	5110	2757	597	4419	1352
1989	18	Ribera Baja del Ebro	1330	742	379	129	80	861	674	376	124	75	1562	907	138	1263	580
1989	19	Bajo Aragón-Caspe / Baix Aragó-Casp	2115	1151	829	63	72	1595	1050	803	59	64	1357	901	114	462	171
1989	20	Comunidad de Calatayud	3467	2786	450	140	91	2893	2505	440	139	76	5550	4796	87	1388	108
1989	21	Campo de Cariñena	1350	1060	194	83	13	946	827	193	79	13	2762	2341	70	889	4
1989	22	Campo de Belchite	1276	887	171	154	64	884	789	171	145	54	1283	683	41	1048	147
1989	23	Bajo Martín	1251	573	487	114	77	827	509	484	110	75	989	475	183	562	17
1989	24	Campo de Daroca	1264	947	65	174	78	803	774	65	169	75	1233	793	11	720	67
1989	25	Jiloca	2694	1691	101	388	514	1608	1511	101	352	446	2643	1396	21	2106	851
1989	26	Cuencas Mineras	951	602	112	91	146	628	547	112	84	136	795	288	65	666	206
1989	27	Andorra-Sierra de Arcos	686	443	160	55	28	540	416	159	53	25	740	466	15	374	46
1989	28	Bajo Aragón	2852	1655	1019	77	101	2029	1475	1011	73	92	2078	1174	40	1157	51
1989	29	Comunidad de Teruel	3283	2026	138	390	729	1943	1827	134	362	624	3213	1592	47	2638	1283
1989	30	Maestrazgo	589	336	131	38	84	374	314	128	37	70	763	560	30	539	264
1989	31	Sierra de Albarracín	529	343	27	70	89	332	314	22	55	75	717	421	24	652	442
1989	32	Gúdar-Javalambre	828	488	148	55	137	570	445	145	48	114	1597	1148	87	1183	710
1989	33	Matarraña / Matarranya	1900	1347	495	13	45	1479	1283	490	12	42	1484	991	17	618	194
1999	01	La Jacetania	957	602	257	67	31	532	461	234	92		575	277	55	488	
1999	02	Alto Gállego	576	381	171	22	2	337	315	151	24		255	78	33	206	
1999	03	Sobrarbe	1597	689	508	24	376	601	524	411	147		433	158	51	313	
1999	04	La Ribagorza	1948	1190	595	78	85	1045	895	519	136		904	486	75	719	
1999	05	Cinco Villas	4071	3094	518	354	105	2462	2288	498	421		3892	2139	134	3486	
1999	06	Hoya de Huesca / Plana de Uesca	4492	2675	1363	413	41	2317	1862	1291	426		2287	1120	119	1861	
