Año	Nº Accidentes	División (2 dígitos) Código	División (2 dígitos) Descripción	CCAA
2008	5143	45	Construcción	Aragón
2008	1232	28	Fabricación de productos metálicos, excepto maquinaria y equipo	Aragón
2008	993	60	Transporte terrestre; transporte por tuberías	Aragón
2008	934	29	Industria de la construción de maquinaria y equipo mecánico	Aragón
2008	885	34	Fabricación de vehículos de motor, remolques y semirremolques	Aragón
2008	755	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	Aragón
2008	666	75	Administración pública, defensa y seguridad social obligatoria	Aragón
2008	573	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	Aragón
2008	566	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	Aragón
2008	530	15	Industria de productos alimenticios y bebidas	Aragón
2007	6143	45	Construcción	Aragón
2007	1544	28	Fabricación de productos metálicos, excepto maquinaria y equipo	Aragón
2007	1164	60	Transporte terrestre; transporte por tuberías	Aragón
2007	1063	29	Industria de la construción de maquinaria y equipo mecánico	Aragón
2007	932	34	Fabricación de vehículos de motor, remolques y semirremolques	Aragón
2007	887	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	Aragón
2007	644	75	Administración pública, defensa y seguridad social obligatoria	Aragón
2007	571	15	Industria de productos alimenticios y bebidas	Aragón
2007	568	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	Aragón
2007	556	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	Aragón
2006	5566	45	Construcción	Aragón
2006	1450	28	Fabricación de productos metálicos, excepto maquinaria y equipo	Aragón
2006	1077	29	Industria de la construción de maquinaria y equipo mecánico	Aragón
2006	1073	60	Transporte terrestre; transporte por tuberías	Aragón
2006	898	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	Aragón
2006	749	34	Fabricación de vehículos de motor, remolques y semirremolques	Aragón
2006	631	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	Aragón
2006	611	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	Aragón
2006	609	15	Industria de productos alimenticios y bebidas	Aragón
2006	599	75	Administración pública, defensa y seguridad social obligatoria	Aragón
2005	5026	45	Construcción	Aragón
2005	1236	28	Fabricación de productos metálicos, excepto maquinaria y equipo	Aragón
2005	1036	29	Industria de la construción de maquinaria y equipo mecánico	Aragón
2005	1026	60	Transporte terrestre; transporte por tuberías	Aragón
2005	849	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	Aragón
2005	737	34	Fabricación de vehículos de motor, remolques y semirremolques	Aragón
2005	678	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	Aragón
2005	626	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	Aragón
2005	623	75	Administración pública, defensa y seguridad social obligatoria	Aragón
2005	592	15	Industria de productos alimenticios y bebidas	Aragón
2004	4529	45	Construcción	Aragón
2004	1261	28	Fabricación de productos metálicos, excepto maquinaria y equipo	Aragón
2004	1084	29	Industria de la construción de maquinaria y equipo mecánico	Aragón
2004	1048	60	Transporte terrestre; transporte por tuberías	Aragón
2004	793	34	Fabricación de vehículos de motor, remolques y semirremolques	Aragón
2004	783	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	Aragón
2004	605	15	Industria de productos alimenticios y bebidas	Aragón
2004	593	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	Aragón
2004	566	75	Administración pública, defensa y seguridad social obligatoria	Aragón
2004	544	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	Aragón
2003	4634	45	Construcción	Aragón
2003	1272	28	Fabricación de productos metálicos, excepto maquinaria y equipo	Aragón
2003	1083	29	Industria de la construción de maquinaria y equipo mecánico	Aragón
2003	1031	60	Transporte terrestre; transporte por tuberías	Aragón
2003	808	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	Aragón
2003	786	34	Fabricación de vehículos de motor, remolques y semirremolques	Aragón
2003	651	15	Industria de productos alimenticios y bebidas	Aragón
2003	589	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	Aragón
2003	588	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	Aragón
2003	564	75	Administración pública, defensa y seguridad social obligatoria	Aragón
