Año	Nº Accidentes	División (2 dígitos) Código	División (2 dígitos) Descripción	CCAA
2008	912	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	Aragón
2008	888	85	Actividades sanitarias y veterinarias, servicio social	Aragón
2007	874	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	Aragón
2007	842	85	Actividades sanitarias y veterinarias, servicio social	Aragón
2005	811	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	Aragón
2006	808	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	Aragón
2008	758	55	Hostelería	Aragón
2003	736	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	Aragón
2004	704	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	Aragón
2005	695	85	Actividades sanitarias y veterinarias, servicio social	Aragón
2006	679	85	Actividades sanitarias y veterinarias, servicio social	Aragón
2007	651	55	Hostelería	Aragón
2004	634	85	Actividades sanitarias y veterinarias, servicio social	Aragón
2006	585	55	Hostelería	Aragón
2005	543	55	Hostelería	Aragón
2003	520	55	Hostelería	Aragón
2003	514	85	Actividades sanitarias y veterinarias, servicio social	Aragón
2004	478	55	Hostelería	Aragón
2003	445	74	Otras actividades empresariales	Aragón
2008	437	74	Otras actividades empresariales	Aragón
2007	365	74	Otras actividades empresariales	Aragón
2005	362	75	Administración pública, defensa y seguridad social obligatoria	Aragón
2006	351	75	Administración pública, defensa y seguridad social obligatoria	Aragón
2004	343	74	Otras actividades empresariales	Aragón
2006	325	74	Otras actividades empresariales	Aragón
2005	314	74	Otras actividades empresariales	Aragón
2008	299	75	Administración pública, defensa y seguridad social obligatoria	Aragón
2007	298	75	Administración pública, defensa y seguridad social obligatoria	Aragón
2006	294	15	Industria de productos alimenticios y bebidas	Aragón
2007	288	15	Industria de productos alimenticios y bebidas	Aragón
2003	271	75	Administración pública, defensa y seguridad social obligatoria	Aragón
2004	269	75	Administración pública, defensa y seguridad social obligatoria	Aragón
2007	255	25	Fabricacion de productos de caucho y materias plasticas	Aragón
2006	253	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	Aragón
2008	248	15	Industria de productos alimenticios y bebidas	Aragón
2005	245	15	Industria de productos alimenticios y bebidas	Aragón
2005	242	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	Aragón
2006	236	25	Fabricacion de productos de caucho y materias plasticas	Aragón
2007	230	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	Aragón
2004	219	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	Aragón
2008	214	25	Fabricacion de productos de caucho y materias plasticas	Aragón
2008	214	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	Aragón
2003	208	15	Industria de productos alimenticios y bebidas	Aragón
2004	202	15	Industria de productos alimenticios y bebidas	Aragón
2003	197	34	Fabricación de vehículos de motor, remolques y semirremolques	Aragón
2004	193	34	Fabricación de vehículos de motor, remolques y semirremolques	Aragón
2007	192	34	Fabricación de vehículos de motor, remolques y semirremolques	Aragón
2003	190	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	Aragón
2006	161	34	Fabricación de vehículos de motor, remolques y semirremolques	Aragón
2005	161	25	Fabricacion de productos de caucho y materias plasticas	Aragón
2008	154	34	Fabricación de vehículos de motor, remolques y semirremolques	Aragón
2005	145	34	Fabricación de vehículos de motor, remolques y semirremolques	Aragón
2007	140	31	Fabricación de maquinaria y material eléctrico	Aragón
2005	135	31	Fabricación de maquinaria y material eléctrico	Aragón
2004	134	31	Fabricación de maquinaria y material eléctrico	Aragón
2004	132	25	Fabricacion de productos de caucho y materias plasticas	Aragón
2003	127	25	Fabricacion de productos de caucho y materias plasticas	Aragón
2008	122	80	Educación	Aragón
2006	122	31	Fabricación de maquinaria y material eléctrico	Aragón
2003	101	31	Fabricación de maquinaria y material eléctrico	Aragón
