Comarca código	Comarca nombre	Número habitaciones	Número habitaciones
01	La Jacetania	01	44
01	La Jacetania	02	184
01	La Jacetania	03	443
01	La Jacetania	04	965
01	La Jacetania	05	2232
01	La Jacetania	06	1267
01	La Jacetania	07	480
01	La Jacetania	08	270
01	La Jacetania	09	154
01	La Jacetania	10 o más	191
02	Alto Gállego	01	13
02	Alto Gállego	02	65
02	Alto Gállego	03	219
02	Alto Gállego	04	768
02	Alto Gállego	05	1891
02	Alto Gállego	06	846
02	Alto Gállego	07	257
02	Alto Gállego	08	143
02	Alto Gállego	09	90
02	Alto Gállego	10 o más	108
03	Sobrarbe	01	13
03	Sobrarbe	02	21
03	Sobrarbe	03	143
03	Sobrarbe	04	264
03	Sobrarbe	05	564
03	Sobrarbe	06	517
03	Sobrarbe	07	377
03	Sobrarbe	08	214
03	Sobrarbe	09	117
03	Sobrarbe	10 o más	225
04	La Ribagorza	01	19
04	La Ribagorza	02	90
04	La Ribagorza	03	331
04	La Ribagorza	04	588
04	La Ribagorza	05	1123
04	La Ribagorza	06	1171
04	La Ribagorza	07	526
04	La Ribagorza	08	261
04	La Ribagorza	09	134
04	La Ribagorza	10 o más	215
05	Cinco Villas	01	14
05	Cinco Villas	02	86
05	Cinco Villas	03	387
05	Cinco Villas	04	1488
05	Cinco Villas	05	4131
05	Cinco Villas	06	3331
05	Cinco Villas	07	1117
05	Cinco Villas	08	496
05	Cinco Villas	09	216
05	Cinco Villas	10 o más	322
06	Hoya de Huesca / Plana de Uesca	01	40
06	Hoya de Huesca / Plana de Uesca	02	176
06	Hoya de Huesca / Plana de Uesca	03	732
06	Hoya de Huesca / Plana de Uesca	04	2877
06	Hoya de Huesca / Plana de Uesca	05	7765
06	Hoya de Huesca / Plana de Uesca	06	6942
06	Hoya de Huesca / Plana de Uesca	07	1662
06	Hoya de Huesca / Plana de Uesca	08	754
06	Hoya de Huesca / Plana de Uesca	09	316
06	Hoya de Huesca / Plana de Uesca	10 o más	437
07	Somontano de Barbastro	01	6
07	Somontano de Barbastro	02	34
07	Somontano de Barbastro	03	213
07	Somontano de Barbastro	04	910
07	Somontano de Barbastro	05	2706
07	Somontano de Barbastro	06	2766
07	Somontano de Barbastro	07	768
07	Somontano de Barbastro	08	370
07	Somontano de Barbastro	09	183
07	Somontano de Barbastro	10 o más	266
08	Cinca Medio	01	5
08	Cinca Medio	02	41
08	Cinca Medio	03	304
08	Cinca Medio	04	1148
08	Cinca Medio	05	2996
08	Cinca Medio	06	2188
08	Cinca Medio	07	586
08	Cinca Medio	08	266
08	Cinca Medio	09	97
08	Cinca Medio	10 o más	130
09	La Litera / La Llitera	01	10
09	La Litera / La Llitera	02	24
09	La Litera / La Llitera	03	216
09	La Litera / La Llitera	04	902
09	La Litera / La Llitera	05	2348
09	La Litera / La Llitera	06	1954
09	La Litera / La Llitera	07	605
09	La Litera / La Llitera	08	283
09	La Litera / La Llitera	09	118
09	La Litera / La Llitera	10 o más	141
10	Los Monegros	01	5
10	Los Monegros	02	28
10	Los Monegros	03	197
10	Los Monegros	04	903
10	Los Monegros	05	2040
10	Los Monegros	06	2233
10	Los Monegros	07	962
10	Los Monegros	08	489
10	Los Monegros	09	230
10	Los Monegros	10 o más	348
11	Bajo Cinca / Baix Cinca	01	4
11	Bajo Cinca / Baix Cinca	02	99
11	Bajo Cinca / Baix Cinca	03	432
11	Bajo Cinca / Baix Cinca	04	1283
11	Bajo Cinca / Baix Cinca	05	2412
11	Bajo Cinca / Baix Cinca	06	2061
11	Bajo Cinca / Baix Cinca	07	632
11	Bajo Cinca / Baix Cinca	08	281
11	Bajo Cinca / Baix Cinca	09	94
11	Bajo Cinca / Baix Cinca	10 o más	129
12	Tarazona y el Moncayo	01	11
12	Tarazona y el Moncayo	02	35
12	Tarazona y el Moncayo	03	188
12	Tarazona y el Moncayo	04	646
12	Tarazona y el Moncayo	05	2263
12	Tarazona y el Moncayo	06	1403
12	Tarazona y el Moncayo	07	358
12	Tarazona y el Moncayo	08	196
12	Tarazona y el Moncayo	09	76
12	Tarazona y el Moncayo	10 o más	91
13	Campo de Borja	01	12
13	Campo de Borja	02	34
13	Campo de Borja	03	259
13	Campo de Borja	04	878
13	Campo de Borja	05	1733
13	Campo de Borja	06	1342
13	Campo de Borja	07	562
13	Campo de Borja	08	253
