Comarca código	Comarca nombre	Año	Sistema de cultivo	Total (A+B+C+D+E+F+G)	(A) CEREALES. Total	Trigo	Cebada	Avena	Centeno	Trigo escaña o Escaña	Tranquillón o Morcajo	Arroz	Maíz	Sorgo	Mijo y Panizo	Alpiste	Otros cereales	Triticale	Trigo espelta o Espelta	Mezcla de cereales	(B) LEGUMINOSAS. Total	Judías secas	Habas secas	Lentejas	Garbanzos	Guisantes secos	Veza	Almortas	Altramuz	Alhova	Yeros	Otras leguminosas	(C) TUBÉRCULOS. Total	Patata temprana	Patata media estación	Patata tardía	Chufa	(D) CULTIVOS INDUSTRIALES. Total	Cáñamo textil	Remolacha	Lino textil	Lino oleaginoso	Cominos	Girasol	Soja	Pimiento para pimentón	Cártamo	Azafrán	Otros cultivos industriales	Colza	Lavanda y lavandín	(E) FLORES Y ORNAMENTALES. Total	(F) FORRAJES. Total	Maíz forrajero	Sorgo forrajero	Vallico	Otras gramíneas forrajeras	Alfalfa	Trébol	Esparceta	Veza forrajera	Zulla	Habas forrajeras	Nabo forrajero	Remolacha forrajera	Praderas polifitas	Calabaza forrajera	Cardo y Otras	(G) HORTALIZAS. Total	Col y Repollo	Berza	Espárragos	Apio	Lechuga	Escarola	Espinacas	Acelga	Cardo	Achicoria verde	Sandía	Melón	Calabazas y Calabacín	Pepino	Pepinillo	Berenjena	Tomates	Pimiento	Fresa y Fresón	Alcachofa	Coliflor	Ajo	Cebolla	Cebolleta	Puerros	Remolacha de mesa	Zanahoria	Rábano	Nabo y Otras	Judías verdes	Guisantes verdes	Habas verdes	Setas	Otras hortalizas	Mezcla de hortalizas	Endivias	Borraja
01	La Jacetania	2014	Regadío	1086	685	373	308	2	0			0	0	1		0	0	1			9	0	0	0	0	9	0	0		0	0	0	0		0	0		1		0			0	0			0	0	0	1	0	0	390			5	6	92		2	1		10	5		248		21	1	0		0	0	0	0	0	0	0		0	0	0	0		0	0	0		0	0	0	0	0	0				0	0	0		0	1			0
01	La Jacetania	2014	Secano	18372	12531	5409	6710	309	5			0	0	20		0	0	78			125	0	0	0	0	120	1	0		0	0	4	0		0	0		280		0			0	0			0	0	0	280	0	0	5435			252	35	1576		316	316		53	233		2282		372	1	0		0	0	0	0	0	0	0		0	0	0	0		0	0	0		0	0	0	0	0	0				0	0	0	0	0	1			0
02	Alto Gállego	2014	Regadío	581	162	112	50	0	0			0	0	0		0	0	0			0	0	0	0	0	0	0	0		0	0	0	0		0	0		1		0			0	0			0	0	0	1	0	0	416			17	0	46		17	11		0	7		292		26	2	0		0	0	0	0	0	0	0		0	0	0	0		0	0	0		0	0	0	0	0	0				0	0	0		0	2			0
02	Alto Gállego	2014	Secano	5214	3148	1845	1234	15	2			0	0	7		0	0	45			27	0	0	0	0	4	23	0		0	0	0	0		0	0		24		0			0	2			0	0	0	22	0	0	2013			41	11	419		226	182		0	22		1022		90	2	0		0	0	0	0	0	0	0		0	0	0	0		0	0	0		0	0	0	0	0	0				0	0	0	0	0	2			0
03	Sobrarbe	2014	Regadío	1020	202	117	54	13	4			0	11	3		0	0	0			31	0	0	0	0	0	0	0		0	0	31	0		0	0		0		0			0	0			0	0	0	0	0	0	787			30	8	203		9	5		0	9		482		41	0	0		0	0	0	0	0	0	0		0	0	0	0		0	0	0		0	0	0	0	0	0				0	0	0		0	0			0
03	Sobrarbe	2014	Secano	8491	3089	1410	1390	91	19			0	0	31		0	0	148			116	0	0	0	0	0	8	0		0	0	108	0		0	0		39		0			0	3			0	0	0	36	0	0	5247			171	54	1596		371	319		0	54		2462		220	0	0		0	0	0	0	0	0	0		0	0	0	0		0	0	0		0	0	0	0	0	0				0	0	0	0	0	0			0
04	La Ribagorza	2014	Regadío	842	441	109	294	6	0			0	24	0		0	0	8			3	0	0	0	0	0	0	0		0	0	3	0		0	0		0		0			0	0			0	0	0	0	0	0	391			5	5	64		13	12		0	3		267		22	7	0		1	0	0	0	0	0	0		0	0	0	0		0	0	0		0	0	0	0	0	0				0	0	0		0	6			0
04	La Ribagorza	2014	Secano	22598	14686	3462	9952	64	138			0	0	12		0	4	1054			239	0	0	0	0	4	109	0		0	0	126	0		0	0		164		0			0	88			31	0	0	45	0	0	7500			194	26	1583		777	171		5	94		4270		380	9	0		0	0	0	0	0	0	0		0	0	0	0		0	0	0		0	0	0	0	0	0				0	0	0	0	0	9			0
05	Cinco Villas	2014	Regadío	68248	42630	13505	16722	46	0			2614	9260	267		0	11	205			785	0	59	1	8	656	61	0		0	0	0	0		0	0		1510		0			0	1208			0	0	3	299	0	1	20275			1032	4708	13469		11	295		133	209		209		209	3047	476		0	0	14	0	0	0	7		1	9	8	0		10	355	98		0	270	0	841	1	200				0	0	480		0	277			0
05	Cinco Villas	2014	Secano	59756	53772	20963	32346	162	72			0	4	1		0	4	220			2482	0	0	0	4	1233	1119	0		0	117	9	0		0	0		261		0			0	12			0	0	0	249	0	1	3234			114	195	1122		216	341		103	381		381		381	6	0		0	0	0	0	0	0	0		0	0	0	0		0	0	0		0	0	0	0	0	0				0	0	0	0	0	6			0
