Aragón	Sexo	Horas trabajadas	Personas residentes viviendas familiares
Aragón	Hombres	01-10	5008
Aragón	Hombres	11-20	4213
Aragón	Hombres	21-30	6071
Aragón	Hombres	31-40	233381
Aragón	Hombres	41-50	42170
Aragón	Hombres	Más de 50	19825
Aragón	Mujeres	01-10	5933
Aragón	Mujeres	11-20	16156
Aragón	Mujeres	21-30	18265
Aragón	Mujeres	31-40	125486
Aragón	Mujeres	41-50	14233
Aragón	Mujeres	Más de 50	5028
