Año	Código de la provincia	Provincia	Número total de explotaciones	Explotaciones con tierras	Explotaciones con tierras sin SAU	Explotaciones con tierras con SAU	Explotaciones con tierras con SAU <5 hectáreas	Explotaciones con tierras con SAU >= 5 y < 10 hectáreas	Explotaciones con tierras con SAU >= 10 y < 20 hectáreas	Explotaciones con tierras con SAU >= 20 y < 50 hectáreas	Explotaciones con tierras con SAU >= 50 y < 100 hectáreas	Explotaciones con tierras con SAU >= 100 hectáreas
1989	22	Huesca	23425	23269	1911	21358	6905	3454	4111	4049	1747	1092
1989	44	Teruel	25692	25468	3225	22243	9431	3173	3059	3370	1843	1367
1989	50	Zaragoza	51614	50912	2053	48859	25321	7751	6537	5169	2421	1660
1999	22	Huesca	21318	20887	1765	19122	6501	2630	3075	3557	1918	1441
1999	44	Teruel	17926	17347	1518	15829	6112	1977	2093	2627	1504	1516
1999	50	Zaragoza	40777	40010	2896	37114	18655	4945	4626	4459	2413	2016
