Año	Código de la comarca	Comarca	Hectáreas en tierras labradas con cultivos herbáceos	Hectáreas en tierras labradas con cultivos frutales	Hectáreas en tierras labradas con cultivo olivar	Hectáreas en tierras labradas con cultivo viñedo	Hectáreas en tierras labradas con otros cultivos	Hectáreas en tierras labradas de secano	Hectáreas en tierras labradas de regadío	Hectáreas en tierras labradas de secano cultivos herbáceos	Hectáreas en tierras labradas de secano cultivos frutales	Hectáreas en tierras labradas de secano cultivo olivar	Hectáreas en tierras labradas de secano cultivo viñedo	Hectáreas en tierras labradas de secano otros cultivos	Hectáreas en tierras labradas de regadío cultivos herbáceos	Hectáreas en tierras labradas de regadío cultivos frutales	Hectáreas en tierras labradas de regadío cultivo olivar	Hectáreas en tierras labradas de regadío cultivo viñedo	Hectáreas en tierras labradas de regadío otros cultivos	Número total de parcelas
1999	11	Bajo Cinca / Baix Cinca	52365	12256	1814	164	0	42326,06	24274,79	38273,18	2927,33	1096,13	29,42	0	14092,5	9329,25	718,4	134,34	0,3	22753
1999	12	Tarazona y el Moncayo	11899	1313	738	277	0	9150,88	5081,41	8191,07	707,86	140,84	111,11	0	3709,36	606,6	597,74	167,71	0	33105
1999	13	Campo de Borja	22827	3782	1478	6316	2	24323,56	10080,08	16412,21	3327,52	410,48	4172,78	0,57	6415,17	454,26	1067,3	2142,55	0,8	54651
1999	14	Aranda	5307	3326	657	455	6	9039,55	710,57	5090,99	2949,85	552,12	446,59	0	213,56	376,79	105,12	9,27	5,83	16715
1999	15	Ribera Alta del Ebro	24648	892	197	58	3	11277,12	14522,11	11164,72	21,82	58,93	31,37	0,28	13483,86	870,71	137,47	26,98	3,09	28168
1999	16	Valdejalón	34941	11284	2919	2361	16	37852,32	13667,21	30742,74	2918,31	2164,44	2026,83	0	4199,06	8364,73	752,96	334,49	15,97	46149
1999	17	D.C. Zaragoza	94343	1121	479	363	48	66267,29	30085,64	65549,13	239,49	211,07	266,8	0,8	28791,79	881,61	269,16	96,1	46,98	69120
1999	18	Ribera Baja del Ebro	53805	451	560	5	1	43418,51	11405,45	43396,74	8,91	9,95	2,91	0	10407,76	443,18	550,69	2,5	1,32	23046
1999	19	Bajo Aragón-Caspe / Baix Aragó-Casp	19840	10198	5218	594	37	28273,99	7616,06	16394,85	7264,2	4178,96	435,98	0	3445,8	2933,74	1039,48	159,14	37,9	36545
1999	20	Comunidad de Calatayud	50486	17440	1053	6103	74	66020,22	9136,47	46701,23	12779,51	739,03	5795,75	4,7	3785,19	4662,01	310,55	308,79	69,93	114841
1999	21	Campo de Cariñena	31755	2875	329	12916	14	43094,42	4795,9	29736,33	1683,21	266,79	11408,09	0	2018,44	1193,17	63,23	1507,16	13,9	37830
1999	22	Campo de Belchite	62585	1387	1097	832	6	62072,59	3832,48	60492,14	966,14	59,99	554,32	0	2092,26	421,8	1034,7	278,22	5,5	55085
