Año	Provincia código	Provincia nombre	Rústica   Base imponible (miles de euros)	Rústica   Cuota (euros)
2001	22	Huesca	677644,07	4198720
2001	44	Teruel	233720,13	1315778
2001	50	Zaragoza	858764,95	5048965
2002	22	Huesca	700191	4393092
2002	44	Teruel	242021	1364763
2002	50	Zaragoza	880161	5235155
