Tipo de vivienda	Tipo de vivienda, código	Tipo de vivienda principal	Tipo de vivienda principal, código	Municipio codigo	Provincia codigo	Municipio nombre	Nº viviendas
Vivienda principal	1	Vivienda principal convencional	1	22001	22	Abiego	105,5199575897
Vivienda principal	1	Vivienda principal convencional	1	22002	22	Abizanda	62,2068897152
Vivienda principal	1	Vivienda principal convencional	1	22003	22	Adahuesca	73,5457369678
Vivienda principal	1	Vivienda principal convencional	1	22004	22	Agüero	69,2077723335
Vivienda principal	1	Vivienda principal convencional	1	22006	22	Aísa	144,6166095631
Vivienda principal	1	Vivienda principal convencional	1	22007	22	Albalate de Cinca	443,1436837729
Vivienda principal	1	Vivienda principal convencional	1	22008	22	Albalatillo	87,1040904286
Vivienda principal	1	Vivienda principal convencional	1	22009	22	Albelda	341,8785952689
Vivienda principal	1	Vivienda principal convencional	1	22011	22	Albero Alto	52,9675502996
Vivienda principal	1	Vivienda principal convencional	1	22012	22	Albero Bajo	46,1713424381
Vivienda principal	1	Vivienda principal convencional	1	22013	22	Alberuela de Tubo	121,7053621644
Vivienda principal	1	Vivienda principal convencional	1	22014	22	Alcalá de Gurrea	140,4784460898
Vivienda principal	1	Vivienda principal convencional	1	22015	22	Alcalá del Obispo	136,7690129619
Vivienda principal	1	Vivienda principal convencional	1	22016	22	Alcampell	313,8667667327
Vivienda principal	1	Vivienda principal convencional	1	22017	22	Alcolea de Cinca	427,9219719244
Vivienda principal	1	Vivienda principal convencional	1	22018	22	Alcubierre	179,5004433507
Vivienda principal	1	Vivienda principal convencional	1	22019	22	Alerre	85,3863353816
Vivienda principal	1	Vivienda principal convencional	1	22020	22	Alfántega	62,9427285449
Vivienda principal	1	Vivienda principal convencional	1	22021	22	Almudévar	932,6831075917
Vivienda principal	1	Vivienda principal convencional	1	22022	22	Almunia de San Juan	266,4690299235
Vivienda principal	1	Vivienda principal convencional	1	22023	22	Almuniente	217,4188751557
Vivienda principal	1	Vivienda principal convencional	1	22024	22	Alquézar	141,6810628258
Vivienda principal	1	Vivienda principal convencional	1	22025	22	Altorricón	565,4236150221
Vivienda principal	1	Vivienda principal convencional	1	22027	22	Angüés	143,2122465594
Vivienda principal	1	Vivienda principal convencional	1	22028	22	Ansó	203,4312560133
Vivienda principal	1	Vivienda principal convencional	1	22029	22	Antillón	47,2296911845
Vivienda principal	1	Vivienda principal convencional	1	22032	22	Aragüés del Puerto	62,2478280257
Vivienda principal	1	Vivienda principal convencional	1	22035	22	Arén	140,8146997014
Vivienda principal	1	Vivienda principal convencional	1	22036	22	Argavieso	47,3618826066
Vivienda principal	1	Vivienda principal convencional	1	22037	22	Arguis	58,0478891621
Vivienda principal	1	Vivienda principal convencional	1	22039	22	Ayerbe	480,4226930251
Vivienda principal	1	Vivienda principal convencional	1	22040	22	Azanuy-Alins	76,4885028204
Vivienda principal	1	Vivienda principal convencional	1	22041	22	Azara	72,919246587
Vivienda principal	1	Vivienda principal convencional	1	22042	22	Azlor	52,3972209133
Vivienda principal	1	Vivienda principal convencional	1	22043	22	Baells	61,8626149358
Vivienda principal	1	Vivienda principal convencional	1	22044	22	Bailo	126,5187099272
Vivienda principal	1	Vivienda principal convencional	1	22045	22	Baldellou	48,3975909164
Vivienda principal	1	Vivienda principal convencional	1	22046	22	Ballobar	347,1970715733
Vivienda principal	1	Vivienda principal convencional	1	22047	22	Banastás	101,6667846068
Vivienda principal	1	Vivienda principal convencional	1	22048	22	Barbastro	7050,3552631221
Vivienda principal	1	Vivienda principal convencional	1	22049	22	Barbués	37,5143968832
Vivienda principal	1	Vivienda principal convencional	1	22050	22	Barbuñales	36,0185428219
Vivienda principal	1	Vivienda principal convencional	1	22051	22	Bárcabo	50,5929242475
Vivienda principal	1	Vivienda principal convencional	1	22052	22	Belver de Cinca	513,7856117824
Vivienda principal	1	Vivienda principal convencional	1	22053	22	Benabarre	455,9964717353
Vivienda principal	1	Vivienda principal convencional	1	22054	22	Benasque	938,2716169302
Vivienda principal	1	Vivienda principal convencional	1	22055	22	Berbegal	170,0444996868
Vivienda principal	1	Vivienda principal convencional	1	22057	22	Bielsa	190,1769748209
Vivienda principal	1	Vivienda principal convencional	1	22058	22	Bierge	107,8126069418
Vivienda principal	1	Vivienda principal convencional	1	22059	22	Biescas	684,7194228671
Vivienda principal	1	Vivienda principal convencional	1	22060	22	Binaced	545,1820128354
Vivienda principal	1	Vivienda principal convencional	1	22061	22	Binéfar	3652,170630747
Vivienda principal	1	Vivienda principal convencional	1	22062	22	Bisaurri	84,5375773824
Vivienda principal	1	Vivienda principal convencional	1	22063	22	Biscarrués	92,4692324934
Vivienda principal	1	Vivienda principal convencional	1	22064	22	Blecua y Torres	92,2630771113
Vivienda principal	1	Vivienda principal convencional	1	22066	22	Boltaña	415,9199948559
Vivienda principal	1	Vivienda principal convencional	1	22067	22	Bonansa	38,8812068809
Vivienda principal	1	Vivienda principal convencional	1	22068	22	Borau	42,1855050825
Vivienda principal	1	Vivienda principal convencional	1	22069	22	Broto	192,8479496987
Vivienda principal	1	Vivienda principal convencional	1	22072	22	Caldearenas	92,3458254628
Vivienda principal	1	Vivienda principal convencional	1	22074	22	Campo	148,0324594876
Vivienda principal	1	Vivienda principal convencional	1	22075	22	Camporrells	81,0333116873
Vivienda principal	1	Vivienda principal convencional	1	22076	22	Canal de Berdún	152,9657953749
Vivienda principal	1	Vivienda principal convencional	1	22077	22	Candasnos	173,3833185517
Vivienda principal	1	Vivienda principal convencional	1	22078	22	Canfranc	311,3355920848
Vivienda principal	1	Vivienda principal convencional	1	22079	22	Capdesaso	76,6546579857
Vivienda principal	1	Vivienda principal convencional	1	22080	22	Capella	152,1174670138
Vivienda principal	1	Vivienda principal convencional	1	22081	22	Casbas de Huesca	124,7550940328
Vivienda principal	1	Vivienda principal convencional	1	22082	22	Castejón del Puente	132,5893056647
Vivienda principal	1	Vivienda principal convencional	1	22083	22	Castejón de Monegros	252,036011673
Vivienda principal	1	Vivienda principal convencional	1	22084	22	Castejón de Sos	291,9285981846
Vivienda principal	1	Vivienda principal convencional	1	22085	22	Castelflorite	51,3948451618
Vivienda principal	1	Vivienda principal convencional	1	22086	22	Castiello de Jaca	108,774072237
Vivienda principal	1	Vivienda principal convencional	1	22087	22	Castigaleu	40,8462941625
Vivienda principal	1	Vivienda principal convencional	1	22088	22	Castillazuelo	89,1481651671
Vivienda principal	1	Vivienda principal convencional	1	22089	22	Castillonroy	143,4764407087
Vivienda principal	1	Vivienda principal convencional	1	22090	22	Colungo	66,8424113057
Vivienda principal	1	Vivienda principal convencional	1	22094	22	Chalamera	42,4332795272
Vivienda principal	1	Vivienda principal convencional	1	22095	22	Chía	41,9919598307
Vivienda principal	1	Vivienda principal convencional	1	22096	22	Chimillas	135,614844544
Vivienda principal	1	Vivienda principal convencional	1	22099	22	Esplús	245,3752355697
Vivienda principal	1	Vivienda principal convencional	1	22102	22	Estada	92,7496782699
Vivienda principal	1	Vivienda principal convencional	1	22103	22	Estadilla	314,0207558053
Vivienda principal	1	Vivienda principal convencional	1	22105	22	Estopiñán del Castillo	67,3993492141
Vivienda principal	1	Vivienda principal convencional	1	22106	22	Fago	11,9309298316
Vivienda principal	1	Vivienda principal convencional	1	22107	22	Fanlo	63,7775317014
Vivienda principal	1	Vivienda principal convencional	1	22109	22	Fiscal	119,3494736342
Vivienda principal	1	Vivienda principal convencional	1	22110	22	Fonz	398,3091774257
Vivienda principal	1	Vivienda principal convencional	1	22111	22	Foradada del Toscar	66,874155982
Vivienda principal	1	Vivienda principal convencional	1	22112	22	Fraga	5279,3467856949
Vivienda principal	1	Vivienda principal convencional	1	22113	22	Fueva (La)	204,8520982363
Vivienda principal	1	Vivienda principal convencional	1	22114	22	Gistaín	67,7821261435
Vivienda principal	1	Vivienda principal convencional	1	22115	22	Grado (El)	175,4107720672
Vivienda principal	1	Vivienda principal convencional	1	22116	22	Grañén	728,9569245448
Vivienda principal	1	Vivienda principal convencional	1	22117	22	Graus	1465,973179429
Vivienda principal	1	Vivienda principal convencional	1	22119	22	Gurrea de Gállego	695,3874650698
Vivienda principal	1	Vivienda principal convencional	1	22122	22	Hoz de Jaca	25,6104588596
Vivienda principal	1	Vivienda principal convencional	1	22124	22	Huerto	94,9638097154
Vivienda principal	1	Vivienda principal convencional	1	22125	22	Huesca	20786,3409791359
Vivienda principal	1	Vivienda principal convencional	1	22126	22	Ibieca	47,5505487432
Vivienda principal	1	Vivienda principal convencional	1	22127	22	Igriés	233,1599801739
Vivienda principal	1	Vivienda principal convencional	1	22128	22	Ilche	83,6971380446
Vivienda principal	1	Vivienda principal convencional	1	22129	22	Isábena	113,4774384549
Vivienda principal	1	Vivienda principal convencional	1	22130	22	Jaca	5294,7604520437
Vivienda principal	1	Vivienda principal convencional	1	22131	22	Jasa	56,2577007716
Vivienda principal	1	Vivienda principal convencional	1	22133	22	Labuerda	60,7673062675
Vivienda principal	1	Vivienda principal convencional	1	22135	22	Laluenga	86,8846754886
Vivienda principal	1	Vivienda principal convencional	1	22136	22	Lalueza	447,2543841011
Vivienda principal	1	Vivienda principal convencional	1	22137	22	Lanaja	527,2123696705
Vivienda principal	1	Vivienda principal convencional	1	22139	22	Laperdiguera	35,7522180113
Vivienda principal	1	Vivienda principal convencional	1	22141	22	Lascellas-Ponzano	60,0662478015
Vivienda principal	1	Vivienda principal convencional	1	22142	22	Lascuarre	54,7555089816
Vivienda principal	1	Vivienda principal convencional	1	22143	22	Laspaúles	151,0392281687
Vivienda principal	1	Vivienda principal convencional	1	22144	22	Laspuña	122,7152533581
Vivienda principal	1	Vivienda principal convencional	1	22149	22	Loarre	158,5726206188
Vivienda principal	1	Vivienda principal convencional	1	22150	22	Loporzano	237,1206297972
Vivienda principal	1	Vivienda principal convencional	1	22151	22	Loscorrales	40,2333081197
Vivienda principal	1	Vivienda principal convencional	1	22155	22	Monesma y Cajigar	34,2925525885
Vivienda principal	1	Vivienda principal convencional	1	22156	22	Monflorite-Lascasas	124,230621762
Vivienda principal	1	Vivienda principal convencional	1	22157	22	Montanuy	108,3532235294
Vivienda principal	1	Vivienda principal convencional	1	22158	22	Monzón	6573,1230944538
Vivienda principal	1	Vivienda principal convencional	1	22160	22	Naval	92,4165707033
Vivienda principal	1	Vivienda principal convencional	1	22162	22	Novales	62,9908961464
Vivienda principal	1	Vivienda principal convencional	1	22163	22	Nueno	222,779357785
Vivienda principal	1	Vivienda principal convencional	1	22164	22	Olvena	23,2264448482
Vivienda principal	1	Vivienda principal convencional	1	22165	22	Ontiñena	205,009883981
Vivienda principal	1	Vivienda principal convencional	1	22167	22	Osso de Cinca	264,2911788132
Vivienda principal	1	Vivienda principal convencional	1	22168	22	Palo	17,7119245049
Vivienda principal	1	Vivienda principal convencional	1	22170	22	Panticosa	321,4872288807
Vivienda principal	1	Vivienda principal convencional	1	22172	22	Peñalba	258,535753503
Vivienda principal	1	Vivienda principal convencional	1	22173	22	Peñas de Riglos (Las)	128,95261811
Vivienda principal	1	Vivienda principal convencional	1	22174	22	Peralta de Alcofea	235,4253551637
Vivienda principal	1	Vivienda principal convencional	1	22175	22	Peralta de Calasanz	121,1888424823
Vivienda principal	1	Vivienda principal convencional	1	22176	22	Peraltilla	76,0907385073
Vivienda principal	1	Vivienda principal convencional	1	22177	22	Perarrúa	36,3857841819
Vivienda principal	1	Vivienda principal convencional	1	22178	22	Pertusa	42,9628822307
Vivienda principal	1	Vivienda principal convencional	1	22181	22	Piracés	41,9971179369
Vivienda principal	1	Vivienda principal convencional	1	22182	22	Plan	127,0219760061
Vivienda principal	1	Vivienda principal convencional	1	22184	22	Poleñino	81,054236474
Vivienda principal	1	Vivienda principal convencional	1	22186	22	Pozán de Vero	99,9809919859
Vivienda principal	1	Vivienda principal convencional	1	22187	22	Puebla de Castro (La)	168,8452190068
Vivienda principal	1	Vivienda principal convencional	1	22188	22	Puente de Montañana	51,2922079669
Vivienda principal	1	Vivienda principal convencional	1	22189	22	Puértolas	92,7024270989
Vivienda principal	1	Vivienda principal convencional	1	22190	22	Pueyo de Araguás (El)	59,9653622025
Vivienda principal	1	Vivienda principal convencional	1	22193	22	Pueyo de Santa Cruz	144,3632434935
Vivienda principal	1	Vivienda principal convencional	1	22195	22	Quicena	99,231991192
Vivienda principal	1	Vivienda principal convencional	1	22197	22	Robres	233,2901089583
Vivienda principal	1	Vivienda principal convencional	1	22199	22	Sabiñánigo	4076,0008028485
Vivienda principal	1	Vivienda principal convencional	1	22200	22	Sahún	123,8115497445
Vivienda principal	1	Vivienda principal convencional	1	22201	22	Salas Altas	126,2358348388
Vivienda principal	1	Vivienda principal convencional	1	22202	22	Salas Bajas	63,0144651412
Vivienda principal	1	Vivienda principal convencional	1	22203	22	Salillas	43,6019788003
Vivienda principal	1	Vivienda principal convencional	1	22204	22	Sallent de Gállego	619,0158165496
Vivienda principal	1	Vivienda principal convencional	1	22205	22	San Esteban de Litera	221,1222688702
Vivienda principal	1	Vivienda principal convencional	1	22206	22	Sangarrén	101,1306269736
Vivienda principal	1	Vivienda principal convencional	1	22207	22	San Juan de Plan	58,0075265935
Vivienda principal	1	Vivienda principal convencional	1	22208	22	Santa Cilia	82,3321836851
Vivienda principal	1	Vivienda principal convencional	1	22209	22	Santa Cruz de la Serós	68,3782092061
Vivienda principal	1	Vivienda principal convencional	1	22212	22	Santaliestra y San Quílez	40,7897974384
Vivienda principal	1	Vivienda principal convencional	1	22213	22	Sariñena	1605,0718631687
Vivienda principal	1	Vivienda principal convencional	1	22214	22	Secastilla	51,0188713283
Vivienda principal	1	Vivienda principal convencional	1	22215	22	Seira	82,9071119679
Vivienda principal	1	Vivienda principal convencional	1	22217	22	Sena	208,310632495
Vivienda principal	1	Vivienda principal convencional	1	22218	22	Senés de Alcubierre	22,0597407272
Vivienda principal	1	Vivienda principal convencional	1	22220	22	Sesa	87,6548076297
Vivienda principal	1	Vivienda principal convencional	1	22221	22	Sesué	53,1851988125
Vivienda principal	1	Vivienda principal convencional	1	22222	22	Siétamo	262,8031428932
Vivienda principal	1	Vivienda principal convencional	1	22223	22	Sopeira	49,4779994485
Vivienda principal	1	Vivienda principal convencional	1	22225	22	Tamarite de Litera	1345,5939602697
Vivienda principal	1	Vivienda principal convencional	1	22226	22	Tardienta	419,6341730561
Vivienda principal	1	Vivienda principal convencional	1	22227	22	Tella-Sin	113,519894593
Vivienda principal	1	Vivienda principal convencional	1	22228	22	Tierz	255,2682020672
Vivienda principal	1	Vivienda principal convencional	1	22229	22	Tolva	68,4304461803
Vivienda principal	1	Vivienda principal convencional	1	22230	22	Torla	122,6305840572
Vivienda principal	1	Vivienda principal convencional	1	22232	22	Torralba de Aragón	45,6445234039
Vivienda principal	1	Vivienda principal convencional	1	22233	22	Torre la Ribera	34,2682139386
Vivienda principal	1	Vivienda principal convencional	1	22234	22	Torrente de Cinca	439,1812084638
Vivienda principal	1	Vivienda principal convencional	1	22235	22	Torres de Alcanadre	40,419337807
Vivienda principal	1	Vivienda principal convencional	1	22236	22	Torres de Barbués	122,2556794664
Vivienda principal	1	Vivienda principal convencional	1	22239	22	Tramaced	31,7743878011
Vivienda principal	1	Vivienda principal convencional	1	22242	22	Valfarta	30,2624370143
Vivienda principal	1	Vivienda principal convencional	1	22243	22	Valle de Bardají	13,5410074824
Vivienda principal	1	Vivienda principal convencional	1	22244	22	Valle de Lierp	22,1758461587
Vivienda principal	1	Vivienda principal convencional	1	22245	22	Velilla de Cinca	158,2592764138
Vivienda principal	1	Vivienda principal convencional	1	22246	22	Beranuy	43,8295144681
Vivienda principal	1	Vivienda principal convencional	1	22247	22	Viacamp y Litera	23,7473312432
Vivienda principal	1	Vivienda principal convencional	1	22248	22	Vicién	49,902147855
Vivienda principal	1	Vivienda principal convencional	1	22249	22	Villanova	59,8751522075
Vivienda principal	1	Vivienda principal convencional	1	22250	22	Villanúa	223,9655887048
Vivienda principal	1	Vivienda principal convencional	1	22251	22	Villanueva de Sigena	155,0154462564
Vivienda principal	1	Vivienda principal convencional	1	22252	22	Yebra de Basa	62,9505117324
Vivienda principal	1	Vivienda principal convencional	1	22253	22	Yésero	32,5093820544
Vivienda principal	1	Vivienda principal convencional	1	22254	22	Zaidín	607,7956916126
Vivienda principal	1	Vivienda principal convencional	1	22901	22	Valle de Hecho	352,0479382064
Vivienda principal	1	Vivienda principal convencional	1	22902	22	Puente la Reina de Jaca	111,7667675825
Vivienda principal	1	Vivienda principal convencional	1	22903	22	San Miguel del Cinca	324,6638559195
Vivienda principal	1	Vivienda principal convencional	1	22904	22	Sotonera (La)	425,9709511582
Vivienda principal	1	Vivienda principal convencional	1	22905	22	Lupiñén-Ortilla	145,0520572326
Vivienda principal	1	Vivienda principal convencional	1	22906	22	Santa María de Dulcis	77,3754182533
Vivienda principal	1	Vivienda principal convencional	1	22907	22	Aínsa-Sobrarbe	862,8260761701
Vivienda principal	1	Vivienda principal convencional	1	22908	22	Hoz y Costeán	82,0889416013
Vivienda principal	1	Vivienda principal convencional	1	22909	22	Vencillón	170,3130433083
Vivienda principal	1	Vivienda principal convencional	1	44001	44	Ababuj	30,3338591006
Vivienda principal	1	Vivienda principal convencional	1	44002	44	Abejuela	31,4623165993
Vivienda principal	1	Vivienda principal convencional	1	44003	44	Aguatón	6,7243949131
Vivienda principal	1	Vivienda principal convencional	1	44004	44	Aguaviva	258,1118894344
Vivienda principal	1	Vivienda principal convencional	1	44005	44	Aguilar del Alfambra	32,2818052448
Vivienda principal	1	Vivienda principal convencional	1	44006	44	Alacón	141,1729043959
Vivienda principal	1	Vivienda principal convencional	1	44007	44	Alba	102,05266293
Vivienda principal	1	Vivienda principal convencional	1	44008	44	Albalate del Arzobispo	848,5599182751
Vivienda principal	1	Vivienda principal convencional	1	44009	44	Albarracín	398,7088497313
Vivienda principal	1	Vivienda principal convencional	1	44010	44	Albentosa	113,9204320957
Vivienda principal	1	Vivienda principal convencional	1	44011	44	Alcaine	35,9972208636
Vivienda principal	1	Vivienda principal convencional	1	44012	44	Alcalá de la Selva	189,9915850303
Vivienda principal	1	Vivienda principal convencional	1	44013	44	Alcañiz	6457,0737430413
Vivienda principal	1	Vivienda principal convencional	1	44014	44	Alcorisa	1258,0982684226
Vivienda principal	1	Vivienda principal convencional	1	44016	44	Alfambra	253,6630309665
Vivienda principal	1	Vivienda principal convencional	1	44017	44	Aliaga	174,2069455811
Vivienda principal	1	Vivienda principal convencional	1	44018	44	Almohaja	14,5
Vivienda principal	1	Vivienda principal convencional	1	44019	44	Alobras	32,0552167092
Vivienda principal	1	Vivienda principal convencional	1	44020	44	Alpeñés	9,8407614088
Vivienda principal	1	Vivienda principal convencional	1	44021	44	Allepuz	49,2608405448
Vivienda principal	1	Vivienda principal convencional	1	44022	44	Alloza	301,1659723297
Vivienda principal	1	Vivienda principal convencional	1	44023	44	Allueva	10,2194228903
Vivienda principal	1	Vivienda principal convencional	1	44024	44	Anadón	11,9569053928
Vivienda principal	1	Vivienda principal convencional	1	44025	44	Andorra	3140,7526462015
Vivienda principal	1	Vivienda principal convencional	1	44026	44	Arcos de las Salinas	47,8687899453
Vivienda principal	1	Vivienda principal convencional	1	44027	44	Arens de Lledó	72,4777477582
Vivienda principal	1	Vivienda principal convencional	1	44028	44	Argente	86,1155598629
Vivienda principal	1	Vivienda principal convencional	1	44029	44	Ariño	350,9576819766
Vivienda principal	1	Vivienda principal convencional	1	44031	44	Azaila	70,3396784842
Vivienda principal	1	Vivienda principal convencional	1	44032	44	Bádenas	10,6079178472
Vivienda principal	1	Vivienda principal convencional	1	44033	44	Báguena	159,1733822794
Vivienda principal	1	Vivienda principal convencional	1	44034	44	Bañón	71,7334270683
Vivienda principal	1	Vivienda principal convencional	1	44035	44	Barrachina	65,5122534824
Vivienda principal	1	Vivienda principal convencional	1	44036	44	Bea	16,5139798845
Vivienda principal	1	Vivienda principal convencional	1	44037	44	Beceite	220,3135332837
Vivienda principal	1	Vivienda principal convencional	1	44038	44	Belmonte de San José	65,0547348242
Vivienda principal	1	Vivienda principal convencional	1	44039	44	Bello	123,1613563165
Vivienda principal	1	Vivienda principal convencional	1	44040	44	Berge	114,3499699533
Vivienda principal	1	Vivienda principal convencional	1	44041	44	Bezas	38,7074701039
