Provincia código	Provincia nombre	Sexo	Nacionalidad Continente codigo	Nacionalidad Continente	Año	Saldo migratorio
22	Huesca	Mujeres	1	Europa	2013	-200
22	Huesca	Mujeres	2	África	2013	85
22	Huesca	Mujeres	3	América	2013	19
22	Huesca	Mujeres	4	Asia	2013	21
22	Huesca	Mujeres	5	Otros continentes	2013	1
44	Teruel	Hombres	1	Europa	2013	-505
44	Teruel	Hombres	2	África	2013	-91
44	Teruel	Hombres	3	América	2013	-77
44	Teruel	Hombres	4	Asia	2013	3
44	Teruel	Hombres	5	Otros continentes	2013	1
44	Teruel	Mujeres	1	Europa	2013	-441
44	Teruel	Mujeres	2	África	2013	22
44	Teruel	Mujeres	3	América	2013	-1
44	Teruel	Mujeres	4	Asia	2013	-21
50	Zaragoza	Hombres	1	Europa	2013	-749
50	Zaragoza	Hombres	2	África	2013	-94
50	Zaragoza	Hombres	3	América	2013	-162
50	Zaragoza	Hombres	4	Asia	2013	108
50	Zaragoza	Hombres	5	Otros continentes	2013	-1
50	Zaragoza	Mujeres	1	Europa	2013	-240
50	Zaragoza	Mujeres	2	África	2013	94
50	Zaragoza	Mujeres	3	América	2013	130
50	Zaragoza	Mujeres	4	Asia	2013	154
50	Zaragoza	Mujeres	5	Otros continentes	2013	-2
22	Huesca	Hombres	1	Europa	2012	-221
22	Huesca	Hombres	2	África	2012	-5
22	Huesca	Hombres	3	América	2012	-45
22	Huesca	Hombres	4	Asia	2012	23
22	Huesca	Hombres	5	Otros continentes	2012	-1
22	Huesca	Mujeres	1	Europa	2012	-118
22	Huesca	Mujeres	2	África	2012	27
22	Huesca	Mujeres	3	América	2012	-10
22	Huesca	Mujeres	4	Asia	2012	-10
22	Huesca	Mujeres	5	Otros continentes	2012	1
44	Teruel	Hombres	1	Europa	2012	-388
44	Teruel	Hombres	2	África	2012	-121
44	Teruel	Hombres	3	América	2012	-155
44	Teruel	Hombres	4	Asia	2012	15
44	Teruel	Hombres	5	Otros continentes	2012	-1
44	Teruel	Mujeres	1	Europa	2012	-338
44	Teruel	Mujeres	2	África	2012	44
44	Teruel	Mujeres	3	América	2012	-72
44	Teruel	Mujeres	4	Asia	2012	7
44	Teruel	Mujeres	5	Otros continentes	2012	-1
50	Zaragoza	Hombres	1	Europa	2012	-728
50	Zaragoza	Hombres	2	África	2012	-49
50	Zaragoza	Hombres	3	América	2012	-70
50	Zaragoza	Hombres	4	Asia	2012	329
50	Zaragoza	Hombres	5	Otros continentes	2012	0
50	Zaragoza	Mujeres	1	Europa	2012	23
50	Zaragoza	Mujeres	2	África	2012	107
50	Zaragoza	Mujeres	3	América	2012	294
50	Zaragoza	Mujeres	4	Asia	2012	126
50	Zaragoza	Mujeres	5	Otros continentes	2012	-2
22	Huesca	Hombres	1	Europa	2011	-183
22	Huesca	Hombres	2	África	2011	-190
22	Huesca	Hombres	3	América	2011	-14
22	Huesca	Hombres	4	Asia	2011	-21
22	Huesca	Hombres	5	Otros continentes	2011	0
22	Huesca	Mujeres	1	Europa	2011	-18
22	Huesca	Mujeres	2	África	2011	-33
22	Huesca	Mujeres	3	América	2011	91
22	Huesca	Mujeres	4	Asia	2011	25
22	Huesca	Mujeres	5	Otros continentes	2011	0
44	Teruel	Hombres	1	Europa	2011	-260
44	Teruel	Hombres	2	África	2011	-100
44	Teruel	Hombres	3	América	2011	-83
44	Teruel	Hombres	4	Asia	2011	12
44	Teruel	Mujeres	1	Europa	2011	-330
44	Teruel	Mujeres	2	África	2011	62
44	Teruel	Mujeres	3	América	2011	-34
44	Teruel	Mujeres	4	Asia	2011	6
44	Teruel	Mujeres	5	Otros continentes	2011	1
50	Zaragoza	Hombres	1	Europa	2011	1094
50	Zaragoza	Hombres	2	África	2011	131
50	Zaragoza	Hombres	3	América	2011	349
50	Zaragoza	Hombres	4	Asia	2011	266
50	Zaragoza	Hombres	5	Otros continentes	2011	3
50	Zaragoza	Mujeres	1	Europa	2011	1726
50	Zaragoza	Mujeres	2	África	2011	247
50	Zaragoza	Mujeres	3	América	2011	910
50	Zaragoza	Mujeres	4	Asia	2011	139
22	Huesca	Hombres	1	Europa	2010	102
22	Huesca	Hombres	2	África	2010	-188
22	Huesca	Hombres	3	América	2010	-54
22	Huesca	Hombres	4	Asia	2010	44
22	Huesca	Hombres	5	Otros continentes	2010	1
22	Huesca	Mujeres	1	Europa	2010	115
22	Huesca	Mujeres	2	África	2010	-5
22	Huesca	Mujeres	3	América	2010	9
22	Huesca	Mujeres	4	Asia	2010	27
22	Huesca	Mujeres	5	Otros continentes	2010	0
44	Teruel	Hombres	1	Europa	2010	-100
44	Teruel	Hombres	2	África	2010	32
44	Teruel	Hombres	3	América	2010	-45
44	Teruel	Hombres	4	Asia	2010	56
44	Teruel	Mujeres	1	Europa	2010	11
44	Teruel	Mujeres	2	África	2010	39
44	Teruel	Mujeres	3	América	2010	-17
44	Teruel	Mujeres	4	Asia	2010	50
44	Teruel	Mujeres	5	Otros continentes	2010	1
50	Zaragoza	Hombres	1	Europa	2010	-102
50	Zaragoza	Hombres	2	África	2010	-327
50	Zaragoza	Hombres	3	América	2010	188
50	Zaragoza	Hombres	4	Asia	2010	220
50	Zaragoza	Hombres	5	Otros continentes	2010	1
50	Zaragoza	Mujeres	1	Europa	2010	942
50	Zaragoza	Mujeres	2	África	2010	197
50	Zaragoza	Mujeres	3	América	2010	943
50	Zaragoza	Mujeres	4	Asia	2010	197
50	Zaragoza	Mujeres	5	Otros continentes	2010	1
22	Huesca	Hombres	1	Europa	2009	-33
22	Huesca	Hombres	2	África	2009	27
22	Huesca	Hombres	3	América	2009	82
22	Huesca	Hombres	4	Asia	2009	30
22	Huesca	Hombres	5	Otros continentes	2009	2
22	Huesca	Mujeres	1	Europa	2009	61
22	Huesca	Mujeres	2	África	2009	67
22	Huesca	Mujeres	3	América	2009	174
22	Huesca	Mujeres	4	Asia	2009	16
22	Huesca	Mujeres	5	Otros continentes	2009	2
44	Teruel	Hombres	1	Europa	2009	-469
44	Teruel	Hombres	2	África	2009	-144
44	Teruel	Hombres	3	América	2009	49
44	Teruel	Hombres	4	Asia	2009	-17
44	Teruel	Mujeres	1	Europa	2009	-212
44	Teruel	Mujeres	2	África	2009	124
44	Teruel	Mujeres	3	América	2009	98
44	Teruel	Mujeres	4	Asia	2009	12
44	Teruel	Mujeres	5	Otros continentes	2009	0
50	Zaragoza	Hombres	1	Europa	2009	175
50	Zaragoza	Hombres	2	África	2009	734
50	Zaragoza	Hombres	3	América	2009	657
50	Zaragoza	Hombres	4	Asia	2009	318
50	Zaragoza	Hombres	5	Otros continentes	2009	1
50	Zaragoza	Mujeres	1	Europa	2009	906
50	Zaragoza	Mujeres	2	África	2009	740
50	Zaragoza	Mujeres	3	América	2009	1236
50	Zaragoza	Mujeres	4	Asia	2009	226
50	Zaragoza	Mujeres	5	Otros continentes	2009	2
22	Huesca	Hombres	1	Europa	2008	906
22	Huesca	Hombres	2	África	2008	545
22	Huesca	Hombres	3	América	2008	268
22	Huesca	Hombres	4	Asia	2008	25
22	Huesca	Hombres	5	Otros continentes	2008	2
22	Huesca	Mujeres	1	Europa	2008	581
22	Huesca	Mujeres	2	África	2008	241
22	Huesca	Mujeres	3	América	2008	341
22	Huesca	Mujeres	4	Asia	2008	12
44	Teruel	Hombres	1	Europa	2008	-49
44	Teruel	Hombres	2	África	2008	325
44	Teruel	Hombres	3	América	2008	278
44	Teruel	Hombres	4	Asia	2008	103
44	Teruel	Mujeres	1	Europa	2008	-35
44	Teruel	Mujeres	2	África	2008	221
44	Teruel	Mujeres	3	América	2008	274
44	Teruel	Mujeres	4	Asia	2008	51
50	Zaragoza	Hombres	1	Europa	2008	2973
50	Zaragoza	Hombres	2	África	2008	2643
50	Zaragoza	Hombres	3	América	2008	2401
50	Zaragoza	Hombres	4	Asia	2008	597
50	Zaragoza	Hombres	5	Otros continentes	2008	5
50	Zaragoza	Mujeres	1	Europa	2008	2672
50	Zaragoza	Mujeres	2	África	2008	1246
50	Zaragoza	Mujeres	3	América	2008	2597
50	Zaragoza	Mujeres	4	Asia	2008	446
50	Zaragoza	Mujeres	5	Otros continentes	2008	2
