Municipio código	Municipio nombre	Año	Orden	Siglas	Votos
22001	Abiego	2007	1	PSOE	72
22001	Abiego	2007	2	PP	148
22001	Abiego	2011	1	PP	132
22001	Abiego	2011	2	PSOE	55
22001	Abiego	2015	1	PP	52
22001	Abiego	2015	2	PSOE	126
22001	Abiego	2015	4	PAR	0
22002	Abizanda	2007	1	PSOE	68
22002	Abizanda	2007	2	PP	30
22002	Abizanda	2007	4	CHA	1
22002	Abizanda	2011	1	PP	40
22002	Abizanda	2011	2	PSOE	53
22002	Abizanda	2011	3	PAR	1
22002	Abizanda	2015	1	PP	55
22002	Abizanda	2015	2	PSOE	53
22002	Abizanda	2015	7	CHA	0
22003	Adahuesca	2007	1	PSOE	57
22003	Adahuesca	2007	2	PP	27
22003	Adahuesca	2007	3	PAR	34
22003	Adahuesca	2007	4	CHA	30
22003	Adahuesca	2011	1	PP	61
22003	Adahuesca	2011	2	PSOE	54
22003	Adahuesca	2011	3	PAR	59
22003	Adahuesca	2011	9	ECOLO	34
22003	Adahuesca	2015	1	PP	60
22003	Adahuesca	2015	2	PSOE	40
22003	Adahuesca	2015	4	PAR	64
22003	Adahuesca	2015	5	C's	23
22003	Adahuesca	2015	13	ARAGONSIPUEDE	34
22004	Agüero	2007	1	PSOE	25
22004	Agüero	2007	2	PP	51
22004	Agüero	2007	3	PAR	41
22004	Agüero	2007	4	CHA	3
22004	Agüero	2011	1	PP	51
22004	Agüero	2011	2	PSOE	25
22004	Agüero	2011	3	PAR	38
22004	Agüero	2015	1	PP	58
22004	Agüero	2015	2	PSOE	35
22004	Agüero	2015	4	PAR	25
22006	Aísa	2007	1	PSOE	159
22006	Aísa	2007	2	PP	35
22006	Aísa	2007	3	PAR	38
22006	Aísa	2011	1	PP	63
22006	Aísa	2011	2	PSOE	115
22006	Aísa	2011	3	PAR	32
22006	Aísa	2015	1	PP	49
22006	Aísa	2015	2	PSOE	115
22006	Aísa	2015	4	PAR	23
22007	Albalate de Cinca	2007	1	PSOE	274
22007	Albalate de Cinca	2007	2	PP	285
22007	Albalate de Cinca	2007	3	PAR	139
22007	Albalate de Cinca	2011	1	PP	314
22007	Albalate de Cinca	2011	2	PSOE	242
22007	Albalate de Cinca	2011	3	PAR	167
22007	Albalate de Cinca	2015	1	PP	323
22007	Albalate de Cinca	2015	2	PSOE	187
22007	Albalate de Cinca	2015	4	PAR	110
22008	Albalatillo	2007	1	PSOE	54
22008	Albalatillo	2007	3	PAR	135
22008	Albalatillo	2011	1	PP	20
22008	Albalatillo	2011	2	PSOE	43
22008	Albalatillo	2011	3	PAR	122
22008	Albalatillo	2015	1	PP	13
22008	Albalatillo	2015	2	PSOE	37
22008	Albalatillo	2015	4	PAR	87
22009	Albelda	2007	1	PSOE	376
22009	Albelda	2007	2	PP	4
22009	Albelda	2007	3	PAR	128
22009	Albelda	2007	4	CHA	63
22009	Albelda	2011	1	PP	144
22009	Albelda	2011	2	PSOE	233
22009	Albelda	2011	3	PAR	53
22009	Albelda	2011	4	CHA	73
22009	Albelda	2015	1	PP	105
22009	Albelda	2015	2	PSOE	197
22009	Albelda	2015	7	CHA	43
22009	Albelda	2015	15	CAMBIAR	124
22011	Albero Alto	2007	1	PSOE	41
22011	Albero Alto	2007	2	PP	13
22011	Albero Alto	2007	3	PAR	3
22011	Albero Alto	2007	4	CHA	2
22011	Albero Alto	2011	1	PP	46
22011	Albero Alto	2011	2	PSOE	37
22011	Albero Alto	2011	3	PAR	9
22011	Albero Alto	2015	1	PP	42
22011	Albero Alto	2015	2	PSOE	29
22011	Albero Alto	2015	4	PAR	5
22012	Albero Bajo	2007	1	PSOE	44
22012	Albero Bajo	2007	2	PP	45
22012	Albero Bajo	2007	3	PAR	8
22012	Albero Bajo	2007	4	CHA	2
22012	Albero Bajo	2011	1	PP	28
22012	Albero Bajo	2011	2	PSOE	26
22012	Albero Bajo	2011	3	PAR	24
22012	Albero Bajo	2015	1	PP	34
22012	Albero Bajo	2015	2	PSOE	44
22012	Albero Bajo	2015	4	PAR	13
22013	Alberuela de Tubo	2007	1	PSOE	248
22013	Alberuela de Tubo	2007	2	PP	31
22013	Alberuela de Tubo	2011	1	PP	91
22013	Alberuela de Tubo	2011	2	PSOE	186
22013	Alberuela de Tubo	2015	1	PP	102
22013	Alberuela de Tubo	2015	2	PSOE	154
22014	Alcalá de Gurrea	2007	1	PSOE	102
22014	Alcalá de Gurrea	2007	3	PAR	113
22014	Alcalá de Gurrea	2011	2	PSOE	69
22014	Alcalá de Gurrea	2011	3	PAR	140
22014	Alcalá de Gurrea	2015	1	PP	60
22014	Alcalá de Gurrea	2015	2	PSOE	65
22014	Alcalá de Gurrea	2015	4	PAR	86
22015	Alcalá del Obispo	2007	1	PSOE	128
22015	Alcalá del Obispo	2007	2	PP	74
22015	Alcalá del Obispo	2007	3	PAR	77
22015	Alcalá del Obispo	2007	43	AIEADO	9
22015	Alcalá del Obispo	2011	1	PP	62
22015	Alcalá del Obispo	2011	2	PSOE	128
22015	Alcalá del Obispo	2011	3	PAR	63
22015	Alcalá del Obispo	2015	1	PP	115
22015	Alcalá del Obispo	2015	2	PSOE	113
22016	Alcampell	2007	1	PSOE	375
22016	Alcampell	2007	2	PP	101
22016	Alcampell	2007	3	PAR	78
22016	Alcampell	2011	1	PP	119
22016	Alcampell	2011	2	PSOE	312
22016	Alcampell	2011	3	PAR	89
22016	Alcampell	2015	1	PP	77
22016	Alcampell	2015	2	PSOE	282
22016	Alcampell	2015	4	PAR	64
22016	Alcampell	2015	15	CAMBIAR	42
22017	Alcolea de Cinca	2007	1	PSOE	149
22017	Alcolea de Cinca	2007	2	PP	123
22017	Alcolea de Cinca	2007	3	PAR	471
22017	Alcolea de Cinca	2007	4	CHA	20
22017	Alcolea de Cinca	2007	5	IU	33
22017	Alcolea de Cinca	2011	1	PP	107
22017	Alcolea de Cinca	2011	2	PSOE	140
22017	Alcolea de Cinca	2011	3	PAR	419
22017	Alcolea de Cinca	2011	5	IU	48
22017	Alcolea de Cinca	2015	1	PP	116
22017	Alcolea de Cinca	2015	2	PSOE	159
22017	Alcolea de Cinca	2015	4	PAR	287
22017	Alcolea de Cinca	2015	15	CAMBIAR	76
22018	Alcubierre	2007	1	PSOE	173
22018	Alcubierre	2007	3	PAR	161
22018	Alcubierre	2011	2	PSOE	170
22018	Alcubierre	2011	3	PAR	150
22018	Alcubierre	2015	2	PSOE	160
22018	Alcubierre	2015	4	PAR	102
22019	Alerre	2007	1	PSOE	68
22019	Alerre	2007	2	PP	53
22019	Alerre	2007	3	PAR	59
22019	Alerre	2007	4	CHA	7
22019	Alerre	2011	1	PP	35
22019	Alerre	2011	2	PSOE	93
22019	Alerre	2011	3	PAR	34
22019	Alerre	2015	1	PP	27
22019	Alerre	2015	2	PSOE	92
22019	Alerre	2015	4	PAR	40
22020	Alfántega	2007	1	PSOE	48
22020	Alfántega	2007	2	PP	31
22020	Alfántega	2007	3	PAR	35
22020	Alfántega	2007	4	CHA	13
22020	Alfántega	2011	1	PP	24
22020	Alfántega	2011	2	PSOE	32
22020	Alfántega	2011	3	PAR	36
22020	Alfántega	2011	4	CHA	7
22020	Alfántega	2015	1	PP	11
22020	Alfántega	2015	2	PSOE	38
22020	Alfántega	2015	4	PAR	51
22021	Almudévar	2007	1	PSOE	720
22021	Almudévar	2007	2	PP	304
22021	Almudévar	2007	3	PAR	264
22021	Almudévar	2007	4	CHA	181
22021	Almudévar	2011	1	PP	424
22021	Almudévar	2011	2	PSOE	558
22021	Almudévar	2011	3	PAR	142
