Municipio código	Municipio nombre	Viviendas en el edificio	Número de edificios
22001	Abiego	01	178
22002	Abizanda	01	82
22003	Adahuesca	01	108
22004	Agüero	01	206
22006	Aísa	01	140
22007	Albalate de Cinca	01	363
22008	Albalatillo	01	115
22009	Albelda	01	386
22011	Albero Alto	01	48
22012	Albero Bajo	01	44
22013	Alberuela de Tubo	01	136
22014	Alcalá de Gurrea	01	201
22015	Alcalá del Obispo	01	257
22016	Alcampell	01	491
22017	Alcolea de Cinca	01	346
22018	Alcubierre	01	251
22019	Alerre	01	60
22020	Alfántega	01	69
22021	Almudévar	01	931
22022	Almunia de San Juan	01	338
22023	Almuniente	01	252
22024	Alquézar	01	190
22025	Altorricón	01	514
22027	Angüés	01	309
22028	Ansó	01	290
22029	Antillón	01	67
22032	Aragüés del Puerto	01	124
22035	Arén	01	198
22036	Argavieso	01	65
22037	Arguis	01	56
22039	Ayerbe	01	415
22040	Azanuy-Alins	01	198
22041	Azara	01	89
22042	Azlor	01	99
22043	Baells	01	95
22044	Bailo	01	152
22045	Baldellou	01	143
22046	Ballobar	01	442
22047	Banastás	01	67
22048	Barbastro	01	1144
22049	Barbués	01	58
22050	Barbuñales	01	75
22051	Bárcabo	01	64
22052	Belver de Cinca	01	482
22053	Benabarre	01	499
22054	Benasque	01	294
22055	Berbegal	01	264
22057	Bielsa	01	228
22058	Bierge	01	180
22059	Biescas	01	581
22060	Binaced	01	566
22061	Binéfar	01	1307
22062	Bisaurri	01	126
22063	Biscarrués	01	135
22064	Blecua y Torres	01	134
22066	Boltaña	01	243
22067	Bonansa	01	51
22068	Borau	01	79
22069	Broto	01	256
22072	Caldearenas	01	185
22074	Campo	01	199
22075	Camporrells	01	192
22076	Canal de Berdún	01	269
22077	Candasnos	01	262
22078	Canfranc	01	97
22079	Capdesaso	01	98
22080	Capella	01	203
22081	Casbas de Huesca	01	347
22082	Castejón del Puente	01	215
22083	Castejón de Monegros	01	333
22084	Castejón de Sos	01	185
22085	Castelflorite	01	57
22086	Castiello de Jaca	01	92
22087	Castigaleu	01	45
22088	Castillazuelo	01	125
22089	Castillonroy	01	245
22090	Colungo	01	85
22094	Chalamera	01	86
22095	Chía	01	55
22096	Chimillas	01	71
22099	Esplús	01	238
22102	Estada	01	94
22103	Estadilla	01	330
22105	Estopiñán del Castillo	01	175
22106	Fago	01	77
22107	Fanlo	01	118
22109	Fiscal	01	200
22110	Fonz	01	518
22111	Foradada del Toscar	01	136
22112	Fraga	01	1466
22113	Fueva (La)	01	266
22114	Gistaín	01	55
22115	Grado (El)	01	360
22116	Grañén	01	608
22117	Graus	01	1108
22119	Gurrea de Gállego	01	753
22122	Hoz de Jaca	01	66
22124	Huerto	01	192
22125	Huesca	01	1072
22126	Ibieca	01	77
22127	Igriés	01	104
22128	Ilche	01	137
22129	Isábena	01	135
22130	Jaca	01	1109
22131	Jasa	01	112
22133	Labuerda	01	85
22135	Laluenga	01	150
22136	Lalueza	01	531
22137	Lanaja	01	741
22139	Laperdiguera	01	75
22141	Lascellas-Ponzano	01	143
22142	Lascuarre	01	108
22143	Laspaúles	01	160
22144	Laspuña	01	106
22149	Loarre	01	261
22150	Loporzano	01	211
22151	Loscorrales	01	63
22155	Monesma y Cajigar	01	60
22156	Monflorite-Lascasas	01	86
22157	Montanuy	01	178
22158	Monzón	01	2285
22160	Naval	01	138
22162	Novales	01	73
22163	Nueno	01	214
22164	Olvena	01	39
22165	Ontiñena	01	395
22167	Osso de Cinca	01	247
22168	Palo	01	38
22170	Panticosa	01	203
22172	Peñalba	01	238
22173	Peñas de Riglos (Las)	01	393
22174	Peralta de Alcofea	01	403
22175	Peralta de Calasanz	01	335
22176	Peraltilla	01	88
