Provincia codigo	Provincia nombre	Sexo, código	Sexo	Relación lugar de residencia y nacimiento prov, código	Relación lugar de residencia y nacimiento	Personas
22	Huesca	1	Hombre	01	El mismo municipio que reside	48424,9816055992
22	Huesca	1	Hombre	02	Otro municipio de la misma provincia	26666,257075281
22	Huesca	1	Hombre	03	Otro municipio de Aragón	7037,192195184
22	Huesca	1	Hombre	04	En una provincia limítrofe a Aragón	5271,3699995949
22	Huesca	1	Hombre	05	Resto de España	11958,1441563514
22	Huesca	1	Hombre	06	El Extranjero	14252,3360872467
44	Teruel	1	Hombre	01	El mismo municipio que reside	35702,713419618
44	Teruel	1	Hombre	02	Otro municipio de la misma provincia	14864,1977128494
44	Teruel	1	Hombre	03	Otro municipio de Aragón	4532,7430164724
44	Teruel	1	Hombre	04	En una provincia limítrofe a Aragón	3113,3463099795
44	Teruel	1	Hombre	05	Resto de España	5423,6299132993
44	Teruel	1	Hombre	06	El Extranjero	8943,8312748496
50	Zaragoza	1	Hombre	01	El mismo municipio que reside	244281,893926842
50	Zaragoza	1	Hombre	02	Otro municipio de la misma provincia	83773,2412553105
50	Zaragoza	1	Hombre	03	Otro municipio de Aragón	23600,0081114877
50	Zaragoza	1	Hombre	04	En una provincia limítrofe a Aragón	18366,23375734
50	Zaragoza	1	Hombre	05	Resto de España	43876,3608763032
50	Zaragoza	1	Hombre	06	El Extranjero	64918,5673874455
22	Huesca	6	Mujer	01	El mismo municipio que reside	44177,0341657443
22	Huesca	6	Mujer	02	Otro municipio de la misma provincia	28835,3844753842
22	Huesca	6	Mujer	03	Otro municipio de Aragón	7167,0463060792
22	Huesca	6	Mujer	04	En una provincia limítrofe a Aragón	5656,1817481146
22	Huesca	6	Mujer	05	Resto de España	11584,1668050891
22	Huesca	6	Mujer	06	El Extranjero	12208,1814272203
44	Teruel	6	Mujer	01	El mismo municipio que reside	32742,7740347524
44	Teruel	6	Mujer	02	Otro municipio de la misma provincia	15191,007142924
44	Teruel	6	Mujer	03	Otro municipio de Aragón	4230,4239867206
44	Teruel	6	Mujer	04	En una provincia limítrofe a Aragón	3280,4213167378
44	Teruel	6	Mujer	05	Resto de España	5562,3646228182
44	Teruel	6	Mujer	06	El Extranjero	7423,1367470966
50	Zaragoza	6	Mujer	01	El mismo municipio que reside	239875,47136905
50	Zaragoza	6	Mujer	02	Otro municipio de la misma provincia	91823,2710203371
50	Zaragoza	6	Mujer	03	Otro municipio de Aragón	28492,9914364122
50	Zaragoza	6	Mujer	04	En una provincia limítrofe a Aragón	23097,7021078774
50	Zaragoza	6	Mujer	05	Resto de España	46327,7851337069
50	Zaragoza	6	Mujer	06	El Extranjero	58506,5519374171
