Municipio codigo	Municipio nombre	Nivel estudios, código	Nivel estudios	Personas
22001	Abiego	4	ESO, EGB, Bachillerato Elemental	63,1582874997
22002	Abizanda	4	ESO, EGB, Bachillerato Elemental	51,0658994861
22003	Adahuesca	4	ESO, EGB, Bachillerato Elemental	30,4092749836
22004	Agüero	4	ESO, EGB, Bachillerato Elemental	32,8416811075
22006	Aísa	4	ESO, EGB, Bachillerato Elemental	99,4751261893
22007	Albalate de Cinca	4	ESO, EGB, Bachillerato Elemental	390,8004412751
22008	Albalatillo	4	ESO, EGB, Bachillerato Elemental	54,6365988388
22009	Albelda	4	ESO, EGB, Bachillerato Elemental	227,8107222135
22011	Albero Alto	4	ESO, EGB, Bachillerato Elemental	16,5859050428
22012	Albero Bajo	4	ESO, EGB, Bachillerato Elemental	22,8912980189
22013	Alberuela de Tubo	4	ESO, EGB, Bachillerato Elemental	131,491183436
22014	Alcalá de Gurrea	4	ESO, EGB, Bachillerato Elemental	84,9782133809
22015	Alcalá del Obispo	4	ESO, EGB, Bachillerato Elemental	125,1361763537
22016	Alcampell	4	ESO, EGB, Bachillerato Elemental	225,1502879157
22017	Alcolea de Cinca	4	ESO, EGB, Bachillerato Elemental	288,7326469172
22018	Alcubierre	4	ESO, EGB, Bachillerato Elemental	113,6788705761
22019	Alerre	4	ESO, EGB, Bachillerato Elemental	34,2354177706
22020	Alfántega	4	ESO, EGB, Bachillerato Elemental	46,4906988498
22021	Almudévar	4	ESO, EGB, Bachillerato Elemental	567,6842875238
22022	Almunia de San Juan	4	ESO, EGB, Bachillerato Elemental	193,5554509088
22023	Almuniente	4	ESO, EGB, Bachillerato Elemental	170,1666936182
22024	Alquézar	4	ESO, EGB, Bachillerato Elemental	79,1587060182
22025	Altorricón	4	ESO, EGB, Bachillerato Elemental	414,7515325615
22027	Angüés	4	ESO, EGB, Bachillerato Elemental	68,2156075522
22028	Ansó	4	ESO, EGB, Bachillerato Elemental	162,0402167794
22029	Antillón	4	ESO, EGB, Bachillerato Elemental	47,8494432713
22032	Aragüés del Puerto	4	ESO, EGB, Bachillerato Elemental	44,9117770095
22035	Arén	4	ESO, EGB, Bachillerato Elemental	76,5370420319
22036	Argavieso	4	ESO, EGB, Bachillerato Elemental	39,0694572585
22037	Arguis	4	ESO, EGB, Bachillerato Elemental	32,0211692265
22039	Ayerbe	4	ESO, EGB, Bachillerato Elemental	223,8510041224
22040	Azanuy-Alins	4	ESO, EGB, Bachillerato Elemental	43,50355471
22041	Azara	4	ESO, EGB, Bachillerato Elemental	67,9102124702
22042	Azlor	4	ESO, EGB, Bachillerato Elemental	35,6882946911
22043	Baells	4	ESO, EGB, Bachillerato Elemental	42,68507439
22044	Bailo	4	ESO, EGB, Bachillerato Elemental	77,2876907358
22045	Baldellou	4	ESO, EGB, Bachillerato Elemental	33,1516625644
22046	Ballobar	4	ESO, EGB, Bachillerato Elemental	322,7061503133
22047	Banastás	4	ESO, EGB, Bachillerato Elemental	41,9103388784
22048	Barbastro	4	ESO, EGB, Bachillerato Elemental	3684,5933152847
22049	Barbués	4	ESO, EGB, Bachillerato Elemental	22,0750569088
22050	Barbuñales	4	ESO, EGB, Bachillerato Elemental	35,136246234
22051	Bárcabo	4	ESO, EGB, Bachillerato Elemental	36,3061442324
22052	Belver de Cinca	4	ESO, EGB, Bachillerato Elemental	367,5152242299
22053	Benabarre	4	ESO, EGB, Bachillerato Elemental	284,2626718295
22054	Benasque	4	ESO, EGB, Bachillerato Elemental	528,8624963667
22055	Berbegal	4	ESO, EGB, Bachillerato Elemental	99,2926429333
22057	Bielsa	4	ESO, EGB, Bachillerato Elemental	101,1927399806
22058	Bierge	4	ESO, EGB, Bachillerato Elemental	45,3147248373
22059	Biescas	4	ESO, EGB, Bachillerato Elemental	412,3327711972
22060	Binaced	4	ESO, EGB, Bachillerato Elemental	447,5416766522
22061	Binéfar	4	ESO, EGB, Bachillerato Elemental	2295,6010550437
22062	Bisaurri	4	ESO, EGB, Bachillerato Elemental	59,6438156364
22063	Biscarrués	4	ESO, EGB, Bachillerato Elemental	65,6699034399
22064	Blecua y Torres	4	ESO, EGB, Bachillerato Elemental	52,3420615174
22066	Boltaña	4	ESO, EGB, Bachillerato Elemental	279,0544206977
22067	Bonansa	4	ESO, EGB, Bachillerato Elemental	16,8833759515
22068	Borau	4	ESO, EGB, Bachillerato Elemental	24,9657746321
22069	Broto	4	ESO, EGB, Bachillerato Elemental	129,9877092292
22072	Caldearenas	4	ESO, EGB, Bachillerato Elemental	83,2941906733
22074	Campo	4	ESO, EGB, Bachillerato Elemental	92,199971492
