Municipio código	Municipio nombre	Explotaciones	Porcentaje SAU régimen tenencia código	Porcentaje SAU régimen tenencia
22001	Abiego	1	0	Si no hay SAU
22001	Abiego	26	1	Toda la SAU en propiedad
22001	Abiego	4	2	Toda la SAU en arrendamiento
22001	Abiego	1	3	Todo la SAU en aparcería u otro régimen de tenencia
22001	Abiego	12	4	Más del 50% de la SAU en propiedad
22001	Abiego	6	5	Más del 50% de la SAU en arrendamiento
22001	Abiego	2	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22001	Abiego	1	7	Ningún régimen superior al 50%
22002	Abizanda	2	0	Si no hay SAU
22002	Abizanda	15	1	Toda la SAU en propiedad
22002	Abizanda	2	2	Toda la SAU en arrendamiento
22002	Abizanda	2	3	Todo la SAU en aparcería u otro régimen de tenencia
22002	Abizanda	5	4	Más del 50% de la SAU en propiedad
22002	Abizanda	1	7	Ningún régimen superior al 50%
22003	Adahuesca	1	0	Si no hay SAU
22003	Adahuesca	24	1	Toda la SAU en propiedad
22003	Adahuesca	14	2	Toda la SAU en arrendamiento
22003	Adahuesca	2	3	Todo la SAU en aparcería u otro régimen de tenencia
22003	Adahuesca	6	4	Más del 50% de la SAU en propiedad
22003	Adahuesca	6	5	Más del 50% de la SAU en arrendamiento
22003	Adahuesca	3	7	Ningún régimen superior al 50%
22004	Agüero	16	1	Toda la SAU en propiedad
22004	Agüero	2	2	Toda la SAU en arrendamiento
22004	Agüero	1	3	Todo la SAU en aparcería u otro régimen de tenencia
22004	Agüero	5	4	Más del 50% de la SAU en propiedad
22004	Agüero	2	5	Más del 50% de la SAU en arrendamiento
22006	Aísa	9	1	Toda la SAU en propiedad
22006	Aísa	2	2	Toda la SAU en arrendamiento
22006	Aísa	1	3	Todo la SAU en aparcería u otro régimen de tenencia
22006	Aísa	3	4	Más del 50% de la SAU en propiedad
22006	Aísa	4	5	Más del 50% de la SAU en arrendamiento
22006	Aísa	1	7	Ningún régimen superior al 50%
22007	Albalate de Cinca	6	0	Si no hay SAU
22007	Albalate de Cinca	91	1	Toda la SAU en propiedad
22007	Albalate de Cinca	15	2	Toda la SAU en arrendamiento
22007	Albalate de Cinca	4	3	Todo la SAU en aparcería u otro régimen de tenencia
22007	Albalate de Cinca	17	4	Más del 50% de la SAU en propiedad
22007	Albalate de Cinca	17	5	Más del 50% de la SAU en arrendamiento
22007	Albalate de Cinca	3	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22007	Albalate de Cinca	1	7	Ningún régimen superior al 50%
22008	Albalatillo	3	0	Si no hay SAU
22008	Albalatillo	6	1	Toda la SAU en propiedad
22008	Albalatillo	6	2	Toda la SAU en arrendamiento
22008	Albalatillo	1	4	Más del 50% de la SAU en propiedad
22008	Albalatillo	1	5	Más del 50% de la SAU en arrendamiento
22009	Albelda	2	0	Si no hay SAU
22009	Albelda	153	1	Toda la SAU en propiedad
22009	Albelda	25	2	Toda la SAU en arrendamiento
22009	Albelda	8	3	Todo la SAU en aparcería u otro régimen de tenencia
22009	Albelda	30	4	Más del 50% de la SAU en propiedad
22009	Albelda	23	5	Más del 50% de la SAU en arrendamiento
22009	Albelda	11	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22009	Albelda	7	7	Ningún régimen superior al 50%
22011	Albero Alto	2	0	Si no hay SAU
22011	Albero Alto	12	1	Toda la SAU en propiedad
22011	Albero Alto	2	2	Toda la SAU en arrendamiento
22011	Albero Alto	4	4	Más del 50% de la SAU en propiedad
22011	Albero Alto	1	5	Más del 50% de la SAU en arrendamiento
22012	Albero Bajo	15	1	Toda la SAU en propiedad
22012	Albero Bajo	2	2	Toda la SAU en arrendamiento
22012	Albero Bajo	9	4	Más del 50% de la SAU en propiedad
22012	Albero Bajo	5	5	Más del 50% de la SAU en arrendamiento
22012	Albero Bajo	1	7	Ningún régimen superior al 50%
22013	Alberuela de Tubo	16	1	Toda la SAU en propiedad
22013	Alberuela de Tubo	9	2	Toda la SAU en arrendamiento
22013	Alberuela de Tubo	4	4	Más del 50% de la SAU en propiedad
22013	Alberuela de Tubo	7	5	Más del 50% de la SAU en arrendamiento
22013	Alberuela de Tubo	2	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22013	Alberuela de Tubo	3	7	Ningún régimen superior al 50%
22014	Alcalá de Gurrea	26	1	Toda la SAU en propiedad
22014	Alcalá de Gurrea	4	2	Toda la SAU en arrendamiento
22014	Alcalá de Gurrea	1	3	Todo la SAU en aparcería u otro régimen de tenencia
22014	Alcalá de Gurrea	6	4	Más del 50% de la SAU en propiedad
22014	Alcalá de Gurrea	4	5	Más del 50% de la SAU en arrendamiento
22014	Alcalá de Gurrea	1	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22014	Alcalá de Gurrea	2	7	Ningún régimen superior al 50%
22015	Alcalá del Obispo	6	0	Si no hay SAU
22015	Alcalá del Obispo	43	1	Toda la SAU en propiedad
22015	Alcalá del Obispo	8	2	Toda la SAU en arrendamiento
22015	Alcalá del Obispo	1	3	Todo la SAU en aparcería u otro régimen de tenencia
22015	Alcalá del Obispo	8	4	Más del 50% de la SAU en propiedad
22015	Alcalá del Obispo	10	5	Más del 50% de la SAU en arrendamiento
22015	Alcalá del Obispo	3	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22015	Alcalá del Obispo	1	7	Ningún régimen superior al 50%
22016	Alcampell	6	0	Si no hay SAU
22016	Alcampell	102	1	Toda la SAU en propiedad
22016	Alcampell	17	2	Toda la SAU en arrendamiento
22016	Alcampell	14	3	Todo la SAU en aparcería u otro régimen de tenencia
22016	Alcampell	28	4	Más del 50% de la SAU en propiedad
22016	Alcampell	17	5	Más del 50% de la SAU en arrendamiento
22016	Alcampell	7	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22016	Alcampell	4	7	Ningún régimen superior al 50%
22017	Alcolea de Cinca	8	0	Si no hay SAU
22017	Alcolea de Cinca	81	1	Toda la SAU en propiedad
22017	Alcolea de Cinca	17	2	Toda la SAU en arrendamiento
22017	Alcolea de Cinca	6	3	Todo la SAU en aparcería u otro régimen de tenencia
22017	Alcolea de Cinca	28	4	Más del 50% de la SAU en propiedad
22017	Alcolea de Cinca	12	5	Más del 50% de la SAU en arrendamiento
22017	Alcolea de Cinca	5	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22017	Alcolea de Cinca	7	7	Ningún régimen superior al 50%
22018	Alcubierre	7	0	Si no hay SAU
22018	Alcubierre	31	1	Toda la SAU en propiedad
22018	Alcubierre	5	2	Toda la SAU en arrendamiento
22018	Alcubierre	1	3	Todo la SAU en aparcería u otro régimen de tenencia
22018	Alcubierre	16	4	Más del 50% de la SAU en propiedad
22018	Alcubierre	12	5	Más del 50% de la SAU en arrendamiento
22018	Alcubierre	7	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22019	Alerre	9	1	Toda la SAU en propiedad
22019	Alerre	1	2	Toda la SAU en arrendamiento
22019	Alerre	1	3	Todo la SAU en aparcería u otro régimen de tenencia
22019	Alerre	2	4	Más del 50% de la SAU en propiedad
22019	Alerre	1	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22020	Alfántega	4	0	Si no hay SAU
22020	Alfántega	12	1	Toda la SAU en propiedad
22020	Alfántega	1	2	Toda la SAU en arrendamiento
22020	Alfántega	2	4	Más del 50% de la SAU en propiedad
22020	Alfántega	2	5	Más del 50% de la SAU en arrendamiento
22020	Alfántega	2	7	Ningún régimen superior al 50%
22021	Almudévar	5	0	Si no hay SAU
22021	Almudévar	209	1	Toda la SAU en propiedad
22021	Almudévar	25	2	Toda la SAU en arrendamiento
22021	Almudévar	6	3	Todo la SAU en aparcería u otro régimen de tenencia
22021	Almudévar	50	4	Más del 50% de la SAU en propiedad
22021	Almudévar	24	5	Más del 50% de la SAU en arrendamiento
22021	Almudévar	6	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22021	Almudévar	6	7	Ningún régimen superior al 50%
22022	Almunia de San Juan	51	1	Toda la SAU en propiedad
22022	Almunia de San Juan	8	2	Toda la SAU en arrendamiento
22022	Almunia de San Juan	5	3	Todo la SAU en aparcería u otro régimen de tenencia
22022	Almunia de San Juan	3	4	Más del 50% de la SAU en propiedad
22022	Almunia de San Juan	5	5	Más del 50% de la SAU en arrendamiento
22022	Almunia de San Juan	5	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22023	Almuniente	4	0	Si no hay SAU
22023	Almuniente	70	1	Toda la SAU en propiedad
22023	Almuniente	3	2	Toda la SAU en arrendamiento
22023	Almuniente	5	3	Todo la SAU en aparcería u otro régimen de tenencia
22023	Almuniente	13	4	Más del 50% de la SAU en propiedad
22023	Almuniente	7	5	Más del 50% de la SAU en arrendamiento
22023	Almuniente	3	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22023	Almuniente	2	7	Ningún régimen superior al 50%
22024	Alquézar	1	0	Si no hay SAU
22024	Alquézar	40	1	Toda la SAU en propiedad
22024	Alquézar	5	2	Toda la SAU en arrendamiento
22024	Alquézar	4	4	Más del 50% de la SAU en propiedad
22024	Alquézar	3	5	Más del 50% de la SAU en arrendamiento
22024	Alquézar	2	7	Ningún régimen superior al 50%
22025	Altorricón	14	0	Si no hay SAU
22025	Altorricón	92	1	Toda la SAU en propiedad
22025	Altorricón	18	2	Toda la SAU en arrendamiento
22025	Altorricón	4	3	Todo la SAU en aparcería u otro régimen de tenencia
22025	Altorricón	20	4	Más del 50% de la SAU en propiedad
22025	Altorricón	24	5	Más del 50% de la SAU en arrendamiento
22025	Altorricón	6	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22025	Altorricón	2	7	Ningún régimen superior al 50%
22027	Angüés	32	1	Toda la SAU en propiedad
22027	Angüés	9	2	Toda la SAU en arrendamiento
22027	Angüés	2	3	Todo la SAU en aparcería u otro régimen de tenencia
22027	Angüés	8	4	Más del 50% de la SAU en propiedad
22027	Angüés	9	5	Más del 50% de la SAU en arrendamiento
22027	Angüés	3	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22027	Angüés	2	7	Ningún régimen superior al 50%
22028	Ansó	3	0	Si no hay SAU
22028	Ansó	11	1	Toda la SAU en propiedad
22028	Ansó	7	2	Toda la SAU en arrendamiento
22028	Ansó	1	3	Todo la SAU en aparcería u otro régimen de tenencia
22028	Ansó	1	5	Más del 50% de la SAU en arrendamiento
22028	Ansó	2	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22029	Antillón	29	1	Toda la SAU en propiedad
22029	Antillón	3	2	Toda la SAU en arrendamiento
22029	Antillón	1	3	Todo la SAU en aparcería u otro régimen de tenencia
22029	Antillón	3	4	Más del 50% de la SAU en propiedad
22029	Antillón	2	5	Más del 50% de la SAU en arrendamiento
22029	Antillón	1	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22029	Antillón	1	7	Ningún régimen superior al 50%
22032	Aragüés del Puerto	5	1	Toda la SAU en propiedad
22032	Aragüés del Puerto	1	2	Toda la SAU en arrendamiento
22032	Aragüés del Puerto	1	3	Todo la SAU en aparcería u otro régimen de tenencia
22032	Aragüés del Puerto	2	5	Más del 50% de la SAU en arrendamiento
22035	Arén	2	0	Si no hay SAU
22035	Arén	31	1	Toda la SAU en propiedad
22035	Arén	19	2	Toda la SAU en arrendamiento
22035	Arén	13	4	Más del 50% de la SAU en propiedad
22035	Arén	18	5	Más del 50% de la SAU en arrendamiento
22035	Arén	1	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22035	Arén	1	7	Ningún régimen superior al 50%
22036	Argavieso	2	0	Si no hay SAU
22036	Argavieso	20	1	Toda la SAU en propiedad
22036	Argavieso	1	2	Toda la SAU en arrendamiento
22036	Argavieso	3	4	Más del 50% de la SAU en propiedad
22036	Argavieso	1	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22036	Argavieso	1	7	Ningún régimen superior al 50%
22037	Arguis	7	1	Toda la SAU en propiedad
22037	Arguis	2	2	Toda la SAU en arrendamiento
22037	Arguis	1	3	Todo la SAU en aparcería u otro régimen de tenencia
22037	Arguis	3	5	Más del 50% de la SAU en arrendamiento
22037	Arguis	1	7	Ningún régimen superior al 50%
22039	Ayerbe	60	1	Toda la SAU en propiedad
22039	Ayerbe	4	2	Toda la SAU en arrendamiento
22039	Ayerbe	4	3	Todo la SAU en aparcería u otro régimen de tenencia
22039	Ayerbe	8	4	Más del 50% de la SAU en propiedad
22039	Ayerbe	9	5	Más del 50% de la SAU en arrendamiento
22039	Ayerbe	2	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22039	Ayerbe	4	7	Ningún régimen superior al 50%
22040	Azanuy-Alins	1	0	Si no hay SAU
22040	Azanuy-Alins	34	1	Toda la SAU en propiedad
22040	Azanuy-Alins	6	2	Toda la SAU en arrendamiento
22040	Azanuy-Alins	2	3	Todo la SAU en aparcería u otro régimen de tenencia
22040	Azanuy-Alins	7	4	Más del 50% de la SAU en propiedad
22040	Azanuy-Alins	7	5	Más del 50% de la SAU en arrendamiento
22040	Azanuy-Alins	2	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22040	Azanuy-Alins	3	7	Ningún régimen superior al 50%
22041	Azara	27	1	Toda la SAU en propiedad
22041	Azara	3	2	Toda la SAU en arrendamiento
22041	Azara	5	4	Más del 50% de la SAU en propiedad
22041	Azara	2	5	Más del 50% de la SAU en arrendamiento
22041	Azara	1	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22041	Azara	1	7	Ningún régimen superior al 50%
22042	Azlor	25	1	Toda la SAU en propiedad
22042	Azlor	3	2	Toda la SAU en arrendamiento
22042	Azlor	7	4	Más del 50% de la SAU en propiedad
22042	Azlor	2	5	Más del 50% de la SAU en arrendamiento
22042	Azlor	3	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22043	Baells	1	0	Si no hay SAU
22043	Baells	19	1	Toda la SAU en propiedad
22043	Baells	1	2	Toda la SAU en arrendamiento
22043	Baells	3	3	Todo la SAU en aparcería u otro régimen de tenencia
22043	Baells	14	4	Más del 50% de la SAU en propiedad
22043	Baells	4	5	Más del 50% de la SAU en arrendamiento
22043	Baells	2	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22043	Baells	2	7	Ningún régimen superior al 50%
22044	Bailo	1	0	Si no hay SAU
22044	Bailo	38	1	Toda la SAU en propiedad
22044	Bailo	10	2	Toda la SAU en arrendamiento
22044	Bailo	2	3	Todo la SAU en aparcería u otro régimen de tenencia
22044	Bailo	10	4	Más del 50% de la SAU en propiedad
22044	Bailo	9	5	Más del 50% de la SAU en arrendamiento
22044	Bailo	1	7	Ningún régimen superior al 50%
22045	Baldellou	45	1	Toda la SAU en propiedad
22045	Baldellou	1	2	Toda la SAU en arrendamiento
22045	Baldellou	1	3	Todo la SAU en aparcería u otro régimen de tenencia
22045	Baldellou	4	4	Más del 50% de la SAU en propiedad
22046	Ballobar	2	0	Si no hay SAU
22046	Ballobar	65	1	Toda la SAU en propiedad
22046	Ballobar	9	2	Toda la SAU en arrendamiento
22046	Ballobar	4	3	Todo la SAU en aparcería u otro régimen de tenencia
22046	Ballobar	30	4	Más del 50% de la SAU en propiedad
22046	Ballobar	19	5	Más del 50% de la SAU en arrendamiento
22046	Ballobar	12	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22046	Ballobar	6	7	Ningún régimen superior al 50%
22047	Banastás	1	1	Toda la SAU en propiedad
22047	Banastás	2	3	Todo la SAU en aparcería u otro régimen de tenencia
22047	Banastás	1	5	Más del 50% de la SAU en arrendamiento
22047	Banastás	1	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22048	Barbastro	11	0	Si no hay SAU
22048	Barbastro	264	1	Toda la SAU en propiedad
22048	Barbastro	29	2	Toda la SAU en arrendamiento
22048	Barbastro	10	3	Todo la SAU en aparcería u otro régimen de tenencia
22048	Barbastro	26	4	Más del 50% de la SAU en propiedad
22048	Barbastro	25	5	Más del 50% de la SAU en arrendamiento
22048	Barbastro	4	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22048	Barbastro	5	7	Ningún régimen superior al 50%
22049	Barbués	19	1	Toda la SAU en propiedad
22049	Barbués	1	2	Toda la SAU en arrendamiento
22049	Barbués	1	3	Todo la SAU en aparcería u otro régimen de tenencia
22049	Barbués	7	4	Más del 50% de la SAU en propiedad
22049	Barbués	1	5	Más del 50% de la SAU en arrendamiento
22049	Barbués	1	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22049	Barbués	1	7	Ningún régimen superior al 50%
22050	Barbuñales	12	1	Toda la SAU en propiedad
22050	Barbuñales	2	2	Toda la SAU en arrendamiento
22050	Barbuñales	2	3	Todo la SAU en aparcería u otro régimen de tenencia
22050	Barbuñales	7	4	Más del 50% de la SAU en propiedad
22050	Barbuñales	1	5	Más del 50% de la SAU en arrendamiento
22050	Barbuñales	1	7	Ningún régimen superior al 50%
22051	Bárcabo	17	1	Toda la SAU en propiedad
22051	Bárcabo	28	2	Toda la SAU en arrendamiento
22051	Bárcabo	1	3	Todo la SAU en aparcería u otro régimen de tenencia
22051	Bárcabo	4	4	Más del 50% de la SAU en propiedad
22051	Bárcabo	14	5	Más del 50% de la SAU en arrendamiento
22051	Bárcabo	1	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22051	Bárcabo	3	7	Ningún régimen superior al 50%
22052	Belver de Cinca	14	0	Si no hay SAU
22052	Belver de Cinca	137	1	Toda la SAU en propiedad
22052	Belver de Cinca	23	2	Toda la SAU en arrendamiento
