CCAA código	CCAA nombre	Año	Siglas agrupada	Votos	Concejales
02	Aragón	2015	PP	186855	1232
02	Aragón	2015	PSOE	177214	1707
02	Aragón	2015	C. CONVERGENCIA	110667	131
02	Aragón	2015	PAR	59449	916
02	Aragón	2015	C's	52904	54
02	Aragón	2015	CHA	42119	163
02	Aragón	2015	RESTO	27762	83
02	Aragón	2011	PP	251188	1329
02	Aragón	2011	PSOE	213913	1716
02	Aragón	2011	PAR	77593	993
02	Aragón	2011	CHA	53149	185
02	Aragón	2011	IU	39440	49
02	Aragón	2011	UPyD	13109	1
02	Aragón	2011	COMPROMISO CON ARAGON	4036	50
02	Aragón	2011	ECOLO	2652	1
02	Aragón	2011	FIA	2634	13
02	Aragón	2011	LV-GV	1505	0
02	Aragón	2011	PACMA	1107	0
02	Aragón	2011	CDL	1030	3
02	Aragón	2011	CPC	862	3
02	Aragón	2011	PUM+J	587	0
02	Aragón	2011	TA	500	0
02	Aragón	2011	pCUA	465	0
02	Aragón	2011	AES	418	0
02	Aragón	2011	PCPE	384	0
02	Aragón	2011	PFYV	301	0
02	Aragón	2011	CDF	281	4
02	Aragón	2011	PH	271	0
02	Aragón	2011	L'VIA	227	1
02	Aragón	2011	ACC	221	0
02	Aragón	2011	A E	138	1
02	Aragón	2011	AISOS	73	1
02	Aragón	2011	ESQUERRA-AM	66	1
02	Aragón	2011	CAVA	65	0
02	Aragón	2011	AELEF	63	4
02	Aragón	2011	PIRUM	47	0
02	Aragón	2011	INDEPENDIENTE CALCENA	43	2
02	Aragón	2011	UCL	43	1
02	Aragón	2011	CCD	40	0
02	Aragón	2011	UCE	31	0
02	Aragón	2011	PYLN	29	1
02	Aragón	2011	DN	11	0
02	Aragón	2011	LVE	3	0
02	Aragón	2007	PSOE	260667	1822
02	Aragón	2007	PP	204120	1103
02	Aragón	2007	PAR	94079	983
02	Aragón	2007	CHA	58463	228
02	Aragón	2007	IU	30453	47
02	Aragón	2007	LV-FIA	2364	1
02	Aragón	2007	CPC	1640	5
02	Aragón	2007	pCUA	1565	3
02	Aragón	2007	CDL	1220	3
02	Aragón	2007	PACMA	916	0
02	Aragón	2007	CIPV	888	6
02	Aragón	2007	LV-GV	803	1
02	Aragón	2007	PFYV	530	0
02	Aragón	2007	PUM+J	521	0
02	Aragón	2007	PH	241	0
02	Aragón	2007	P.S.	236	1
02	Aragón	2007	ALCIVI	233	0
02	Aragón	2007	AEI-CP	184	4
02	Aragón	2007	GIC	154	1
02	Aragón	2007	IA	128	3
02	Aragón	2007	CAVA	108	1
02	Aragón	2007	PSD	104	0
02	Aragón	2007	A.E.S.	100	2
02	Aragón	2007	AI	91	0
02	Aragón	2007	I.E.I.	79	0
02	Aragón	2007	LV	74	0
02	Aragón	2007	L'ENTESA	69	1
02	Aragón	2007	IPN	64	1
02	Aragón	2007	UCL	55	1
02	Aragón	2007	AE	51	1
02	Aragón	2007	A AL	50	1
02	Aragón	2007	AESCSB	48	1
02	Aragón	2007	AIL	42	4
02	Aragón	2007	FIA	41	1
02	Aragón	2007	CDIG	31	1
02	Aragón	2007	IND	27	0
02	Aragón	2007	PAVIP	26	0
02	Aragón	2007	FV	15	0
02	Aragón	2007	AE NAVAL-MI	11	0
02	Aragón	2007	AIEADO	9	0
