Año	Municipio código	Municipio nombre	Provincia código	Provincia nombre	Total viviendas	Viviendas libres	Viviendas protegidas
2015	22001	Abiego	22	Huesca	1	1	0
2015	22002	Abizanda	22	Huesca	0	0	0
2015	22003	Adahuesca	22	Huesca	1	1	0
2015	22004	Agüero	22	Huesca	2	2	0
2015	22006	Aísa	22	Huesca	34	34	0
2015	22007	Albalate de Cinca	22	Huesca	3	2	1
2015	22008	Albalatillo	22	Huesca	0	0	0
2015	22009	Albelda	22	Huesca	2	2	0
2015	22011	Albero Alto	22	Huesca	0	0	0
2015	22012	Albero Bajo	22	Huesca	0	0	0
2015	22013	Alberuela de Tubo	22	Huesca	1	1	0
2015	22014	Alcalá de Gurrea	22	Huesca	2	2	0
2015	22015	Alcalá del Obispo	22	Huesca	2	2	0
2015	22016	Alcampell	22	Huesca	7	7	0
2015	22017	Alcolea de Cinca	22	Huesca	8	8	0
2015	22018	Alcubierre	22	Huesca	4	4	0
2015	22019	Alerre	22	Huesca	1	1	0
2015	22020	Alfántega	22	Huesca	2	2	0
2015	22021	Almudévar	22	Huesca	15	11	4
2015	22022	Almunia de San Juan	22	Huesca	2	2	0
2015	22023	Almuniente	22	Huesca	3	2	1
2015	22024	Alquézar	22	Huesca	4	4	0
2015	22025	Altorricón	22	Huesca	6	6	0
2015	22027	Angüés	22	Huesca	2	2	0
2015	22028	Ansó	22	Huesca	1	1	0
2015	22029	Antillón	22	Huesca	0	0	0
2015	22032	Aragüés del Puerto	22	Huesca	2	2	0
2015	22035	Arén	22	Huesca	4	3	1
2015	22036	Argavieso	22	Huesca	0	0	0
2015	22037	Arguis	22	Huesca	0	0	0
2015	22039	Ayerbe	22	Huesca	12	12	0
2015	22040	Azanuy-Alins	22	Huesca	3	3	0
2015	22041	Azara	22	Huesca	1	1	0
2015	22042	Azlor	22	Huesca	0	0	0
2015	22043	Baells	22	Huesca	1	1	0
2015	22044	Bailo	22	Huesca	0	0	0
2015	22045	Baldellou	22	Huesca	0	0	0
2015	22046	Ballobar	22	Huesca	1	1	0
2015	22047	Banastás	22	Huesca	2	2	0
2015	22048	Barbastro	22	Huesca	110	110	0
2015	22049	Barbués	22	Huesca	0	0	0
2015	22050	Barbuñales	22	Huesca	1	1	0
2015	22051	Bárcabo	22	Huesca	0	0	0
2015	22052	Belver de Cinca	22	Huesca	4	4	0
2015	22053	Benabarre	22	Huesca	13	13	0
2015	22054	Benasque	22	Huesca	76	76	0
2015	22055	Berbegal	22	Huesca	1	1	0
2015	22057	Bielsa	22	Huesca	9	9	0
2015	22058	Bierge	22	Huesca	2	2	0
2015	22059	Biescas	22	Huesca	38	37	1
2015	22060	Binaced	22	Huesca	11	11	0
2015	22061	Binéfar	22	Huesca	69	65	4
2015	22062	Bisaurri	22	Huesca	1	1	0
2015	22063	Biscarrués	22	Huesca	3	3	0
2015	22064	Blecua y Torres	22	Huesca	1	1	0
2015	22066	Boltaña	22	Huesca	12	12	0
2015	22067	Bonansa	22	Huesca	1	1	0
2015	22068	Borau	22	Huesca	2	2	0
2015	22069	Broto	22	Huesca	18	18	0
2015	22072	Caldearenas	22	Huesca	0	0	0
2015	22074	Campo	22	Huesca	9	9	0
2015	22075	Camporrells	22	Huesca	0	0	0
2015	22076	Canal de Berdún	22	Huesca	1	1	0
2015	22077	Candasnos	22	Huesca	3	3	0
2015	22078	Canfranc	22	Huesca	21	21	0
2015	22079	Capdesaso	22	Huesca	2	2	0
2015	22080	Capella	22	Huesca	0	0	0
2015	22081	Casbas de Huesca	22	Huesca	4	4	0
2015	22082	Castejón del Puente	22	Huesca	3	3	0
2015	22083	Castejón de Monegros	22	Huesca	0	0	0
2015	22084	Castejón de Sos	22	Huesca	10	10	0
2015	22085	Castelflorite	22	Huesca	0	0	0
2015	22086	Castiello de Jaca	22	Huesca	10	10	0
2015	22087	Castigaleu	22	Huesca	0	0	0
2015	22088	Castillazuelo	22	Huesca	0	0	0
2015	22089	Castillonroy	22	Huesca	4	4	0
2015	22090	Colungo	22	Huesca	1	1	0
2015	22094	Chalamera	22	Huesca	0	0	0
2015	22095	Chía	22	Huesca	0	0	0
2015	22096	Chimillas	22	Huesca	4	4	0
2015	22099	Esplús	22	Huesca	1	1	0
2015	22102	Estada	22	Huesca	0	0	0
2015	22103	Estadilla	22	Huesca	6	6	0
2015	22105	Estopiñán del Castillo	22	Huesca	0	0	0
2015	22106	Fago	22	Huesca	0	0	0
2015	22107	Fanlo	22	Huesca	1	1	0
2015	22109	Fiscal	22	Huesca	4	4	0
2015	22110	Fonz	22	Huesca	6	6	0
2015	22111	Foradada del Toscar	22	Huesca	3	3	0
2015	22112	Fraga	22	Huesca	65	65	0
2015	22113	Fueva (La)	22	Huesca	2	2	0
2015	22114	Gistaín	22	Huesca	0	0	0
2015	22115	Grado (El)	22	Huesca	7	7	0
2015	22116	Grañén	22	Huesca	1	1	0
2015	22117	Graus	22	Huesca	23	23	0
2015	22119	Gurrea de Gállego	22	Huesca	9	9	0
2015	22122	Hoz de Jaca	22	Huesca	1	1	0
2015	22124	Huerto	22	Huesca	1	1	0
2015	22125	Huesca	22	Huesca	498	437	61
2015	22126	Ibieca	22	Huesca	1	1	0
2015	22127	Igriés	22	Huesca	5	5	0
2015	22128	Ilche	22	Huesca	1	1	0
2015	22129	Isábena	22	Huesca	4	4	0
2015	22130	Jaca	22	Huesca	264	263	1
2015	22131	Jasa	22	Huesca	2	2	0
2015	22133	Labuerda	22	Huesca	2	2	0
2015	22135	Laluenga	22	Huesca	4	4	0
2015	22136	Lalueza	22	Huesca	1	1	0
2015	22137	Lanaja	22	Huesca	6	6	0
2015	22139	Laperdiguera	22	Huesca	0	0	0
2015	22141	Lascellas-Ponzano	22	Huesca	2	2	0
2015	22142	Lascuarre	22	Huesca	2	2	0
2015	22143	Laspaúles	22	Huesca	6	6	0
2015	22144	Laspuña	22	Huesca	2	2	0
2015	22149	Loarre	22	Huesca	5	5	0
2015	22150	Loporzano	22	Huesca	5	5	0
2015	22151	Loscorrales	22	Huesca	2	2	0
2015	22155	Monesma y Cajigar	22	Huesca	0	0	0
2015	22156	Monflorite-Lascasas	22	Huesca	31	31	0
2015	22157	Montanuy	22	Huesca	2	2	0
2015	22158	Monzón	22	Huesca	134	131	3
2015	22160	Naval	22	Huesca	2	2	0
2015	22162	Novales	22	Huesca	1	1	0
2015	22163	Nueno	22	Huesca	6	6	0
2015	22164	Olvena	22	Huesca	0	0	0
2015	22165	Ontiñena	22	Huesca	1	1	0
2015	22167	Osso de Cinca	22	Huesca	1	1	0
2015	22168	Palo	22	Huesca	0	0	0
2015	22170	Panticosa	22	Huesca	38	38	0
2015	22172	Peñalba	22	Huesca	4	4	0
2015	22173	Peñas de Riglos (Las)	22	Huesca	0	0	0
2015	22174	Peralta de Alcofea	22	Huesca	8	8	0
2015	22175	Peralta de Calasanz	22	Huesca	6	6	0
