Municipio código	Municipio nombre	Año de construcción	Número hogares
22001	Abiego	 Antes de 1900	1
22001	Abiego	1941 - 1950	1
22001	Abiego	1951 - 1960	3
22001	Abiego	1961 - 1970	11
22001	Abiego	1971 - 1980	44
22001	Abiego	1981 - 1990	33
22001	Abiego	1991	1
22001	Abiego	1992	1
22001	Abiego	1994	3
22001	Abiego	1996	1
22001	Abiego	1999	1
22001	Abiego	2000	2
22001	Abiego	2001	2
22002	Abizanda	 Antes de 1900	44
22002	Abizanda	1971 - 1980	1
22002	Abizanda	2000	1
22003	Adahuesca	1921 - 1940	2
22003	Adahuesca	1951 - 1960	2
22003	Adahuesca	1961 - 1970	1
22003	Adahuesca	1971 - 1980	23
22003	Adahuesca	1981 - 1990	35
22003	Adahuesca	1991	1
22003	Adahuesca	1993	1
22003	Adahuesca	1995	2
22004	Agüero	 Antes de 1900	32
22004	Agüero	1900 - 1920	2
22004	Agüero	1921 - 1940	2
22004	Agüero	1951 - 1960	1
22004	Agüero	1961 - 1970	5
22004	Agüero	1971 - 1980	10
22004	Agüero	1981 - 1990	9
22004	Agüero	1992	1
22004	Agüero	1993	2
22004	Agüero	1994	2
22004	Agüero	1995	1
22004	Agüero	1996	1
22004	Agüero	1998	1
22004	Agüero	1999	2
22004	Agüero	2000	1
22006	Aísa	 Antes de 1900	68
22006	Aísa	1900 - 1920	5
22006	Aísa	1921 - 1940	2
22006	Aísa	1941 - 1950	1
22006	Aísa	1951 - 1960	2
22006	Aísa	1961 - 1970	4
22006	Aísa	1971 - 1980	21
22006	Aísa	1981 - 1990	21
22006	Aísa	1991	1
22006	Aísa	1992	1
22006	Aísa	1993	3
22006	Aísa	1994	2
22006	Aísa	1995	1
22006	Aísa	1996	1
22006	Aísa	1997	3
22006	Aísa	1998	3
22006	Aísa	1999	4
22006	Aísa	2000	2
22006	Aísa	2001	4
22007	Albalate de Cinca	  No aplicable	3
22007	Albalate de Cinca	 Antes de 1900	15
22007	Albalate de Cinca	1900 - 1920	8
22007	Albalate de Cinca	1921 - 1940	18
22007	Albalate de Cinca	1941 - 1950	34
22007	Albalate de Cinca	1951 - 1960	81
22007	Albalate de Cinca	1961 - 1970	85
22007	Albalate de Cinca	1971 - 1980	58
22007	Albalate de Cinca	1981 - 1990	41
22007	Albalate de Cinca	1991	9
22007	Albalate de Cinca	1992	4
22007	Albalate de Cinca	1993	5
22007	Albalate de Cinca	1994	4
22007	Albalate de Cinca	1995	3
22007	Albalate de Cinca	1996	3
22007	Albalate de Cinca	1997	5
22007	Albalate de Cinca	1998	12
22007	Albalate de Cinca	1999	1
22007	Albalate de Cinca	2000	3
22007	Albalate de Cinca	2001	6
22008	Albalatillo	 Antes de 1900	20
22008	Albalatillo	1900 - 1920	34
22008	Albalatillo	1921 - 1940	8
22008	Albalatillo	1941 - 1950	9
22008	Albalatillo	1951 - 1960	5
22008	Albalatillo	1961 - 1970	5
22008	Albalatillo	1971 - 1980	10
22008	Albalatillo	1981 - 1990	7
22008	Albalatillo	1994	1
22008	Albalatillo	1999	1
22008	Albalatillo	2001	1
22009	Albelda	  No aplicable	1
22009	Albelda	 Antes de 1900	16
22009	Albelda	1900 - 1920	27
22009	Albelda	1921 - 1940	57
22009	Albelda	1941 - 1950	58
22009	Albelda	1951 - 1960	26
22009	Albelda	1961 - 1970	31
22009	Albelda	1971 - 1980	33
22009	Albelda	1981 - 1990	59
22009	Albelda	1992	2
22009	Albelda	1993	1
22009	Albelda	1994	4
22009	Albelda	1996	2
22009	Albelda	1997	1
22009	Albelda	1998	1
22009	Albelda	1999	2
22009	Albelda	2000	5
22009	Albelda	2001	1
22011	Albero Alto	 Antes de 1900	26
22011	Albero Alto	1900 - 1920	4
22011	Albero Alto	1921 - 1940	2
22011	Albero Alto	1941 - 1950	1
22011	Albero Alto	1951 - 1960	2
22011	Albero Alto	1961 - 1970	1
22011	Albero Alto	1971 - 1980	1
22012	Albero Bajo	 Antes de 1900	21
22012	Albero Bajo	1900 - 1920	5
22012	Albero Bajo	1921 - 1940	1
22012	Albero Bajo	1941 - 1950	1
22012	Albero Bajo	1951 - 1960	2
22012	Albero Bajo	1961 - 1970	3
22012	Albero Bajo	1971 - 1980	3
22012	Albero Bajo	1981 - 1990	3
22012	Albero Bajo	1991	1
22013	Alberuela de Tubo	1921 - 1940	2
22013	Alberuela de Tubo	1941 - 1950	2
22013	Alberuela de Tubo	1951 - 1960	72
22013	Alberuela de Tubo	1961 - 1970	2
22013	Alberuela de Tubo	1971 - 1980	7
22013	Alberuela de Tubo	1981 - 1990	13
22013	Alberuela de Tubo	1991	1
22013	Alberuela de Tubo	1993	1
22013	Alberuela de Tubo	1994	1
22013	Alberuela de Tubo	1995	1
22013	Alberuela de Tubo	1996	4
22013	Alberuela de Tubo	1997	2
22013	Alberuela de Tubo	1998	2
22013	Alberuela de Tubo	2000	3
22014	Alcalá de Gurrea	 Antes de 1900	14
22014	Alcalá de Gurrea	1900 - 1920	36
22014	Alcalá de Gurrea	1921 - 1940	33
22014	Alcalá de Gurrea	1941 - 1950	17
22014	Alcalá de Gurrea	1951 - 1960	8
22014	Alcalá de Gurrea	1961 - 1970	5
22014	Alcalá de Gurrea	1971 - 1980	8
22014	Alcalá de Gurrea	1981 - 1990	9
22014	Alcalá de Gurrea	1996	1
22014	Alcalá de Gurrea	2001	1
22015	Alcalá del Obispo	 Antes de 1900	29
22015	Alcalá del Obispo	1900 - 1920	5
22015	Alcalá del Obispo	1921 - 1940	3
22015	Alcalá del Obispo	1941 - 1950	3
22015	Alcalá del Obispo	1951 - 1960	14
22015	Alcalá del Obispo	1961 - 1970	10
22015	Alcalá del Obispo	1971 - 1980	24
22015	Alcalá del Obispo	1981 - 1990	24
22015	Alcalá del Obispo	1991	2
22015	Alcalá del Obispo	1992	1
22015	Alcalá del Obispo	1993	3
22015	Alcalá del Obispo	1994	3
22015	Alcalá del Obispo	1995	2
22015	Alcalá del Obispo	1996	2
22015	Alcalá del Obispo	1997	6
22015	Alcalá del Obispo	1998	1
22015	Alcalá del Obispo	1999	2
22015	Alcalá del Obispo	2000	4
22015	Alcalá del Obispo	2001	7
22016	Alcampell	 Antes de 1900	22
22016	Alcampell	1900 - 1920	16
22016	Alcampell	1921 - 1940	50
22016	Alcampell	1941 - 1950	62
22016	Alcampell	1951 - 1960	54
22016	Alcampell	1961 - 1970	48
22016	Alcampell	1971 - 1980	41
22016	Alcampell	1981 - 1990	25
22016	Alcampell	1993	3
22016	Alcampell	1998	1
22016	Alcampell	1999	3
22016	Alcampell	2000	1
22016	Alcampell	2001	4
22017	Alcolea de Cinca	  No aplicable	4
22017	Alcolea de Cinca	 Antes de 1900	25
22017	Alcolea de Cinca	1900 - 1920	53
22017	Alcolea de Cinca	1921 - 1940	34
22017	Alcolea de Cinca	1941 - 1950	41
22017	Alcolea de Cinca	1951 - 1960	81
22017	Alcolea de Cinca	1961 - 1970	32
22017	Alcolea de Cinca	1971 - 1980	67
22017	Alcolea de Cinca	1981 - 1990	29
22017	Alcolea de Cinca	1991	2
22017	Alcolea de Cinca	1992	3
22017	Alcolea de Cinca	1993	8
22017	Alcolea de Cinca	1994	1
22017	Alcolea de Cinca	1996	13
22017	Alcolea de Cinca	1997	3
22017	Alcolea de Cinca	1998	5
22017	Alcolea de Cinca	1999	2
22017	Alcolea de Cinca	2000	3
22017	Alcolea de Cinca	2001	7
22018	Alcubierre	 Antes de 1900	93
22018	Alcubierre	1921 - 1940	7
22018	Alcubierre	1941 - 1950	4
22018	Alcubierre	1951 - 1960	3
22018	Alcubierre	1961 - 1970	20
22018	Alcubierre	1971 - 1980	25
22018	Alcubierre	1981 - 1990	13
22018	Alcubierre	1993	2
22018	Alcubierre	1994	1
22018	Alcubierre	1995	4
22018	Alcubierre	1996	1
22018	Alcubierre	1997	1
22019	Alerre	 Antes de 1900	24
22019	Alerre	1900 - 1920	4
22019	Alerre	1951 - 1960	2
22019	Alerre	1961 - 1970	2
22019	Alerre	1971 - 1980	7
22019	Alerre	1981 - 1990	8
22019	Alerre	1991	2
22019	Alerre	1992	1
22019	Alerre	1993	1
22019	Alerre	1994	2
22019	Alerre	1995	3
22019	Alerre	1996	2
22019	Alerre	1997	4
22019	Alerre	1998	3
22019	Alerre	2000	1
22020	Alfántega	 Antes de 1900	21
22020	Alfántega	1900 - 1920	4
22020	Alfántega	1921 - 1940	3
22020	Alfántega	1941 - 1950	4
22020	Alfántega	1951 - 1960	1
22020	Alfántega	1961 - 1970	2
22020	Alfántega	1971 - 1980	3
22020	Alfántega	1981 - 1990	2
22020	Alfántega	1994	1
22021	Almudévar	  No aplicable	2
22021	Almudévar	 Antes de 1900	202
22021	Almudévar	1900 - 1920	54
22021	Almudévar	1921 - 1940	35
22021	Almudévar	1941 - 1950	68
22021	Almudévar	1951 - 1960	131
22021	Almudévar	1961 - 1970	65
22021	Almudévar	1971 - 1980	64
22021	Almudévar	1981 - 1990	126
22021	Almudévar	1991	2
22021	Almudévar	1992	4
22021	Almudévar	1993	4
22021	Almudévar	1994	10
22021	Almudévar	1995	2
22021	Almudévar	1996	2
22021	Almudévar	1997	19
22021	Almudévar	1998	6
22021	Almudévar	1999	7
22021	Almudévar	2000	9
22021	Almudévar	2001	8
22022	Almunia de San Juan	  No aplicable	2
22022	Almunia de San Juan	 Antes de 1900	41
22022	Almunia de San Juan	1900 - 1920	18
22022	Almunia de San Juan	1921 - 1940	26
22022	Almunia de San Juan	1941 - 1950	22
22022	Almunia de San Juan	1951 - 1960	25
22022	Almunia de San Juan	1961 - 1970	27
22022	Almunia de San Juan	1971 - 1980	19
22022	Almunia de San Juan	1981 - 1990	23
22022	Almunia de San Juan	1991	2
22022	Almunia de San Juan	1992	3
22022	Almunia de San Juan	1993	1
22022	Almunia de San Juan	1994	2
22022	Almunia de San Juan	1995	3
22022	Almunia de San Juan	1996	8
22022	Almunia de San Juan	1997	2
22022	Almunia de San Juan	1998	6
22022	Almunia de San Juan	1999	2
22022	Almunia de San Juan	2000	2
22022	Almunia de San Juan	2001	3
22023	Almuniente	 Antes de 1900	34
22023	Almuniente	1900 - 1920	1
22023	Almuniente	1921 - 1940	5
22023	Almuniente	1941 - 1950	5
22023	Almuniente	1951 - 1960	100
22023	Almuniente	1961 - 1970	17
22023	Almuniente	1971 - 1980	9
22023	Almuniente	1981 - 1990	21
22023	Almuniente	1991	1
22023	Almuniente	1993	1
22023	Almuniente	1997	2
22023	Almuniente	1999	3
22023	Almuniente	2000	5
22024	Alquézar	1941 - 1950	2
22024	Alquézar	1951 - 1960	1
22024	Alquézar	1961 - 1970	2
22024	Alquézar	1971 - 1980	25
22024	Alquézar	1981 - 1990	71
22024	Alquézar	1991	2
22024	Alquézar	1992	1
22024	Alquézar	1993	1
22024	Alquézar	1995	4
22024	Alquézar	1996	2
22024	Alquézar	1997	1
22024	Alquézar	1998	1
22024	Alquézar	1999	3
22024	Alquézar	2000	2
22025	Altorricón	  No aplicable	5
22025	Altorricón	 Antes de 1900	45
22025	Altorricón	1900 - 1920	33
22025	Altorricón	1921 - 1940	48
22025	Altorricón	1941 - 1950	51
22025	Altorricón	1951 - 1960	69
22025	Altorricón	1961 - 1970	21
22025	Altorricón	1971 - 1980	122
22025	Altorricón	1981 - 1990	64
22025	Altorricón	1991	3
22025	Altorricón	1993	5
22025	Altorricón	1995	2
22025	Altorricón	1996	3
22025	Altorricón	1997	3
22025	Altorricón	1998	9
22025	Altorricón	1999	5
22025	Altorricón	2000	8
22025	Altorricón	2001	2
22027	Angüés	 Antes de 1900	93
22027	Angüés	1900 - 1920	8
22027	Angüés	1921 - 1940	6
22027	Angüés	1941 - 1950	3
22027	Angüés	1951 - 1960	7
22027	Angüés	1961 - 1970	18
22027	Angüés	1971 - 1980	13
22027	Angüés	1981 - 1990	15
22027	Angüés	1991	1
22027	Angüés	1993	1
22027	Angüés	1995	1
22027	Angüés	1996	3
22027	Angüés	1999	1
22027	Angüés	2000	2
22028	Ansó	  No aplicable	2
22028	Ansó	 Antes de 1900	120
22028	Ansó	1921 - 1940	1
22028	Ansó	1941 - 1950	3
22028	Ansó	1951 - 1960	6
22028	Ansó	1961 - 1970	12
22028	Ansó	1971 - 1980	14
22028	Ansó	1981 - 1990	22
22028	Ansó	1991	7
22028	Ansó	1993	1
22028	Ansó	1994	1
22028	Ansó	1995	2
22028	Ansó	1996	1
22028	Ansó	1997	1
22028	Ansó	1998	2
22028	Ansó	1999	7
