Año	Municipio código	Municipio nombre	Contenedores de envases	Kg recogidos envases	Provincia codigo
2017	22001	Abiego	2	2828	22
2017	22002	Abizanda	2	3870	22
2017	22003	Adahuesca	2	1901	22
2017	22004	Agüero	2	6423	22
2017	22006	Aísa	11	10788	22
2017	22007	Albalate de Cinca	13	20236	22
2017	22008	Albalatillo	9	4477	22
2017	22009	Albelda	13	16265	22
2017	22011	Albero Alto	1	5193	22
2017	22012	Albero Bajo	5	3129	22
2017	22013	Alberuela de Tubo	9	7195	22
2017	22014	Alcalá de Gurrea	4	8318	22
2017	22015	Alcalá del Obispo	5	15487	22
2017	22016	Alcampell	17	15003	22
2017	22017	Alcolea de Cinca	17	20430	22
2017	22018	Alcubierre	11	8794	22
2017	22019	Alerre	2	6410	22
2017	22020	Alfántega	2	2311	22
2017	22021	Almudévar	27	77297	22
2017	22022	Almunia de San Juan	10	11856	22
2017	22023	Almuniente	16	11443	22
2017	22024	Alquézar	5	3423	22
2017	22025	Altorricón	20	32441	22
2017	22027	Angüés	5	17765	22
2017	22028	Ansó	10	12883	22
2017	22029	Antillón	1	7060	22
2017	22032	Aragüés del Puerto	2	3596	22
2017	22035	Arén	16	10695	22
2017	22036	Argavieso	1	4601	22
2017	22037	Arguis	4	3815	22
2017	22039	Ayerbe	16	34396	22
2017	22040	Azanuy-Alins	8	3718	22
2017	22041	Azara	1	2141	22
2017	22042	Azlor	1	1569	22
2017	22043	Baells	4	2324	22
2017	22044	Bailo	7	8974	22
2017	22045	Baldellou	1	2014	22
2017	22046	Ballobar	7	13608	22
2017	22047	Banastás	2	9287	22
2017	22048	Barbastro	41	194200	22
2017	22049	Barbués	2	1896	22
2017	22050	Barbuñales	1	1088	22
2017	22051	Bárcabo	5	3080	22
2017	22052	Belver de Cinca	7	21344	22
2017	22053	Benabarre	26	37015	22
2017	22054	Benasque	55	68199	22
2017	22055	Berbegal	2	4156	22
2017	22057	Bielsa	6	13164	22
2017	22058	Bierge	5	2874	22
2017	22059	Biescas	48	45966	22
2017	22060	Binaced	19	26958	22
2017	22061	Binéfar	128	227528	22
2017	22062	Bisaurri	6	6164	22
2017	22063	Biscarrués	4	6097	22
2017	22064	Blecua y Torres	2	9201	22
2017	22066	Boltaña	13	26137	22
2017	22067	Bonansa	2	2665	22
2017	22068	Borau	1	2845	22
2017	22069	Broto	8	14499	22
2017	22072	Caldearenas	11	7125	22
2017	22074	Campo	16	12161	22
2017	22075	Camporrells	4	3054	22
2017	22076	Canal de Berdún	9	11288	22
2017	22077	Candasnos	6	5245	22
2017	22078	Canfranc	15	16979	22
2017	22079	Capdesaso	3	3837	22
2017	22080	Capella	8	12127	22
2017	22081	Casbas de Huesca	4	13346	22
2017	22082	Castejón del Puente	2	3721	22
2017	22083	Castejón de Monegros	9	12403	22
2017	22084	Castejón de Sos	25	24654	22
2017	22085	Castelflorite	4	2604	22
2017	22086	Castiello de Jaca	7	7974	22
2017	22087	Castigaleu	1	2965	22
2017	22088	Castillazuelo	1	2015	22
