Año	Nº Accidentes	División (2 dígitos) Código	División (2 dígitos) Descripción	Comarca Código	Comarca Nombre
2008	14	15	Industria de productos alimenticios y bebidas	32	Gúdar-Javalambre
2008	13	45	Construcción	03	Sobrarbe
2008	12	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	02	Alto Gállego
2008	12	45	Construcción	04	La Ribagorza
2008	12	15	Industria de productos alimenticios y bebidas	09	La Litera / La Llitera
2008	12	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	12	Tarazona y el Moncayo
2008	12	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	14	Aranda
2008	12	55	Hostelería	17	Central
2008	12	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	31	Sierra de Albarracín
2008	12	55	Hostelería	31	Sierra de Albarracín
2008	10	28	Fabricación de productos metálicos, excepto maquinaria y equipo	27	Andorra-Sierra de Arcos
2008	9	29	Industria de la construción de maquinaria y equipo mecánico	20	Comunidad de Calatayud
2008	8	26	Fabricación de otros productos minerales no metálicos	09	La Litera / La Llitera
2008	8	15	Industria de productos alimenticios y bebidas	10	Los Monegros
2008	8	74	Otras actividades empresariales	29	Comunidad de Teruel
2008	8	15	Industria de productos alimenticios y bebidas	30	Maestrazgo
2008	7	29	Industria de la construción de maquinaria y equipo mecánico	15	Ribera Alta del Ebro
2008	7	34	Fabricación de vehículos de motor, remolques y semirremolques	15	Ribera Alta del Ebro
2008	7	60	Transporte terrestre; transporte por tuberías	16	Valdejalón
2008	7	55	Hostelería	27	Andorra-Sierra de Arcos
2008	6	60	Transporte terrestre; transporte por tuberías	02	Alto Gállego
2008	6	71	Alquiler de maquinaria y equipo sin operario, de efectos personales y enseres domesticos	02	Alto Gállego
2008	6	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	04	La Ribagorza
2008	6	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	17	Central
2008	6	20	Industria de la madera y del corcho, excepto muebles; cestería y espartería	25	Jiloca
2008	6	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	30	Maestrazgo
2008	6	75	Administración pública, defensa y seguridad social obligatoria	30	Maestrazgo
2008	6	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	32	Gúdar-Javalambre
2008	6	75	Administración pública, defensa y seguridad social obligatoria	32	Gúdar-Javalambre
2008	5	60	Transporte terrestre; transporte por tuberías	01	La Jacetania
2008	5	15	Industria de productos alimenticios y bebidas	03	Sobrarbe
2008	5	60	Transporte terrestre; transporte por tuberías	05	Cinco Villas
2008	5	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	08	Cinca Medio
2008	5	28	Fabricación de productos metálicos, excepto maquinaria y equipo	10	Los Monegros
2008	5	29	Industria de la construción de maquinaria y equipo mecánico	10	Los Monegros
2008	5	74	Otras actividades empresariales	16	Valdejalón
2008	5	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	20	Comunidad de Calatayud
2008	5	28	Fabricación de productos metálicos, excepto maquinaria y equipo	20	Comunidad de Calatayud
2008	5	15	Industria de productos alimenticios y bebidas	24	Campo de Daroca
2008	5	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	32	Gúdar-Javalambre
2008	4	75	Administración pública, defensa y seguridad social obligatoria	03	Sobrarbe
2008	4	34	Fabricación de vehículos de motor, remolques y semirremolques	07	Somontano de Barbastro
2008	4	41	Captación, depuración y distribución de agua	11	Bajo Cinca / Baix Cinca
2008	4	20	Industria de la madera y del corcho, excepto muebles; cestería y espartería	12	Tarazona y el Moncayo
2008	4	28	Fabricación de productos metálicos, excepto maquinaria y equipo	12	Tarazona y el Moncayo
2008	4	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	23	Bajo Martín
2008	4	21	Industria del papel	23	Bajo Martín
2008	4	26	Fabricación de otros productos minerales no metálicos	23	Bajo Martín
2008	4	26	Fabricación de otros productos minerales no metálicos	25	Jiloca
2008	4	60	Transporte terrestre; transporte por tuberías	33	Matarraña / Matarranya
2008	3	20	Industria de la madera y del corcho, excepto muebles; cestería y espartería	03	Sobrarbe
2008	3	21	Industria del papel	06	Hoya de Huesca / Plana de Uesca
2008	3	25	Fabricacion de productos de caucho y materias plasticas	06	Hoya de Huesca / Plana de Uesca
2008	3	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	13	Campo de Borja
2008	3	75	Administración pública, defensa y seguridad social obligatoria	15	Ribera Alta del Ebro
2008	3	22	Edición, artes gráficas y reproducción de soportes grabados	17	Central
2008	3	71	Alquiler de maquinaria y equipo sin operario, de efectos personales y enseres domesticos	22	Campo de Belchite
