Año	CCAA nombre	Superficie total de las explotaciones	Superficie Agrícola Utilizada (SAU)	Hectáreas de SAU en propiedad	Hectáreas de SAU en arrendamiento	Hectáreas de SAU en aparcería	Hectáreas de SAU en otros regímenes de tenencia de las tierras
1999	Aragón	4146171,59	2462700,86	1557844	651767	196615	56481
1989	Aragón	4442988	2460183	1661583	441557	200571	156503
