Mes y año	Provincia código	Provincia nombre	División (2 dígitos) código	División (2 dígitos) descripción	Afiliaciones en alta
Septiembre 2016	44	Teruel	72	Investigación y desarrollo	101
Septiembre 2016	44	Teruel	73	Publicidad y estudios de mercado	34
Septiembre 2016	44	Teruel	74	Otras actividades profesionales, científicas y técnicas	122
Septiembre 2016	44	Teruel	75	Actividades veterinarias	75
Septiembre 2016	44	Teruel	77	Actividades de alquiler	47
Septiembre 2016	44	Teruel	78	Actividades relacionadas con el empleo	204
Septiembre 2016	44	Teruel	79	Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos	78
Septiembre 2016	44	Teruel	80	Actividades de seguridad e investigación	145
Septiembre 2016	44	Teruel	81	Servicios a edificios y actividades de jardinería	1328
Septiembre 2016	44	Teruel	82	Actividades administrativas de oficina y otras actividades auxiliares a las empresas	104
Septiembre 2016	44	Teruel	84	Administración Pública y defensa; Seguridad Social obligatoria	5069
Septiembre 2016	44	Teruel	85	Educación	816
Septiembre 2016	44	Teruel	86	Actividades sanitarias	3230
Septiembre 2016	44	Teruel	87	Asistencia en establecimientos residenciales	1645
Septiembre 2016	44	Teruel	88	Actividades de servicios sociales sin alojamiento	305
Septiembre 2016	44	Teruel	90	Actividades de creación, artísticas y espectáculos	102
Septiembre 2016	44	Teruel	91	Actividades de bibliotecas, archivos, museos y otras actividades culturales	112
Septiembre 2016	44	Teruel	92	Actividades de juegos de azar y apuestas	69
Septiembre 2016	44	Teruel	93	Actividades deportivas, recreativas y de entretenimiento	276
Septiembre 2016	44	Teruel	94	Actividades asociativas	464
Septiembre 2016	44	Teruel	95	Reparación de ordenadores, efectos personales y artículos de uso doméstico	210
Septiembre 2016	44	Teruel	96	Otros servicios personales	731
Septiembre 2016	44	Teruel	97	Actividades de los hogares como empleadores de personal doméstico	1023
Septiembre 2016	50	Zaragoza	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	18916
Septiembre 2016	50	Zaragoza	02	Silvicultura y explotación forestal	651
Septiembre 2016	50	Zaragoza	03	Pesca y acuicultura	33
Septiembre 2016	50	Zaragoza	05	Extracción de antracita, hulla y lignito	51
Septiembre 2016	50	Zaragoza	07	Extracción de minerales metálicos	59
Septiembre 2016	50	Zaragoza	08	Otras industrias extractivas	329
Septiembre 2016	50	Zaragoza	09	Actividades de apoyo a las industrias extractivas	4
Septiembre 2016	50	Zaragoza	10	Industria de la alimentación	8284
Septiembre 2016	50	Zaragoza	11	Fabricación de bebidas	987
Septiembre 2016	50	Zaragoza	13	Industria textil	686
Septiembre 2016	50	Zaragoza	14	Confección de prendas de vestir	795
Septiembre 2016	50	Zaragoza	15	Industria del cuero y del calzado	794
Septiembre 2016	50	Zaragoza	16	Industria de la madera y del corcho, excepto muebles; cestería y espartería	974
Septiembre 2016	50	Zaragoza	17	Industria del papel	1846
Septiembre 2016	50	Zaragoza	18	Artes gráficas y reproducción de soportes grabados	1253
Septiembre 2016	50	Zaragoza	20	Industria química	2032
Septiembre 2016	50	Zaragoza	21	Fabricación de productos farmacéuticos	843
Septiembre 2016	50	Zaragoza	22	Fabricación de productos de caucho y plásticos	3475
Septiembre 2016	50	Zaragoza	23	Fabricación de otros productos minerales no metálicos	1603
Septiembre 2016	50	Zaragoza	24	Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	1850
Septiembre 2016	50	Zaragoza	25	Fabricación de productos metálicos, excepto maquinaria y equipo	7428
Septiembre 2016	50	Zaragoza	26	Fabricación de productos informáticos, electrónicos y ópticos	1383
Septiembre 2016	50	Zaragoza	27	Fabricación de material y equipo eléctrico	5291
Septiembre 2016	50	Zaragoza	28	Fabricación de maquinaria y equipo n.c.o.p.	5350
Septiembre 2016	50	Zaragoza	29	Fabricación de vehículos de motor, remolques y semirremolques	14468
Septiembre 2016	50	Zaragoza	30	Fabricación de otro material de transporte	1050
Septiembre 2016	50	Zaragoza	31	Fabricación de muebles	3141
Septiembre 2016	50	Zaragoza	32	Otras industrias manufactureras	819
Septiembre 2016	50	Zaragoza	33	Reparación e instalación de maquinaria y equipo	2107
Septiembre 2016	50	Zaragoza	35	Suministro de energía eléctrica, gas, vapor y aire acondicionado	653
Septiembre 2016	50	Zaragoza	36	Captación, depuración y distribución de agua	988
Septiembre 2016	50	Zaragoza	37	Recogida y tratamiento de aguas residuales	101
Septiembre 2016	50	Zaragoza	38	Recogida, tratamiento y eliminación de residuos; valorización	2604
Septiembre 2016	50	Zaragoza	39	Actividades de descontaminación y otros servicios de gestión de residuos	22
Septiembre 2016	50	Zaragoza	41	Construcción de edificios	4978
Septiembre 2016	50	Zaragoza	42	Ingeniería civil	1219
Septiembre 2016	50	Zaragoza	43	Actividades de construcción especializada	14258
Septiembre 2016	50	Zaragoza	45	Venta y reparación de vehículos de motor y motocicletas	5957
Septiembre 2016	50	Zaragoza	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	20667
Septiembre 2016	50	Zaragoza	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	37588
Septiembre 2016	50	Zaragoza	49	Transporte terrestre y por tubería	15671
Septiembre 2016	50	Zaragoza	50	Transporte marítimo y por vías navegables interiores	3
Septiembre 2016	50	Zaragoza	51	Transporte aéreo	36
Septiembre 2016	50	Zaragoza	52	Almacenamiento y actividades anexas al transporte	5551
Septiembre 2016	50	Zaragoza	53	Actividades postales y de correos	1270
Septiembre 2016	50	Zaragoza	55	Servicios de alojamiento	2348
Septiembre 2016	50	Zaragoza	56	Servicios de comidas y bebidas	22753
Septiembre 2016	50	Zaragoza	58	Edición	958
Septiembre 2016	50	Zaragoza	59	Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical	678
Septiembre 2016	50	Zaragoza	60	Actividades de programación y emisión de radio y televisión	379
Septiembre 2016	50	Zaragoza	61	Telecomunicaciones	1076
Septiembre 2016	50	Zaragoza	62	Programación, consultoría y otras actividades relacionadas con la informática	4093
Septiembre 2016	50	Zaragoza	63	Servicios de información	254
Septiembre 2016	50	Zaragoza	64	Servicios financieros, excepto seguros y fondos de pensiones	4583
Septiembre 2016	50	Zaragoza	65	Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria	983
Septiembre 2016	50	Zaragoza	66	Actividades auxiliares a los servicios financieros y a los seguros	2143
Septiembre 2016	50	Zaragoza	68	Actividades inmobiliarias	2166
Septiembre 2016	50	Zaragoza	69	Actividades jurídicas y de contabilidad	5278
Septiembre 2016	50	Zaragoza	70	Actividades de las sedes centrales; actividades de consultoría de gestión empresarial	1511
Septiembre 2016	50	Zaragoza	71	Servicios técnicos de arquitectura e ingeniería; ensayos y análisis técnicos	3861
Septiembre 2016	50	Zaragoza	72	Investigación y desarrollo	1505
