Año	Comarca código	Comarca nombre	VAB	Sector VAB código	Sector VAB descripción
2009	01	La Jacetania	27258	10	A Agricultura, ganadería, silvicultura y pesca
2009	02	Alto Gállego	15315,3	10	A Agricultura, ganadería, silvicultura y pesca
2009	03	Sobrarbe	37248,4	10	A Agricultura, ganadería, silvicultura y pesca
2009	04	La Ribagorza	71817,2	10	A Agricultura, ganadería, silvicultura y pesca
2009	05	Cinco Villas	89459,3	10	A Agricultura, ganadería, silvicultura y pesca
2009	06	Hoya de Huesca / Plana de Uesca	117614,1	10	A Agricultura, ganadería, silvicultura y pesca
2009	07	Somontano de Barbastro	49240,9	10	A Agricultura, ganadería, silvicultura y pesca
2009	08	Cinca Medio	33865,2	10	A Agricultura, ganadería, silvicultura y pesca
2009	09	La Litera / La Llitera	61635,6	10	A Agricultura, ganadería, silvicultura y pesca
2009	10	Los Monegros	107173,1	10	A Agricultura, ganadería, silvicultura y pesca
2009	11	Bajo Cinca / Baix Cinca	58839,4	10	A Agricultura, ganadería, silvicultura y pesca
2009	12	Tarazona y el Moncayo	7875,6	10	A Agricultura, ganadería, silvicultura y pesca
2009	13	Campo de Borja	33116,3	10	A Agricultura, ganadería, silvicultura y pesca
2009	14	Aranda	8377,1	10	A Agricultura, ganadería, silvicultura y pesca
2009	15	Ribera Alta del Ebro	14047,5	10	A Agricultura, ganadería, silvicultura y pesca
2009	16	Valdejalón	43791,9	10	A Agricultura, ganadería, silvicultura y pesca
2009	17	D.C. Zaragoza	41129,4	10	A Agricultura, ganadería, silvicultura y pesca
2009	18	Ribera Baja del Ebro	28789,9	10	A Agricultura, ganadería, silvicultura y pesca
2009	19	Bajo Aragón-Caspe / Baix Aragó-Casp	42971,2	10	A Agricultura, ganadería, silvicultura y pesca
2009	20	Comunidad de Calatayud	53974,2	10	A Agricultura, ganadería, silvicultura y pesca
2009	21	Campo de Cariñena	32610,5	10	A Agricultura, ganadería, silvicultura y pesca
2009	22	Campo de Belchite	41569,2	10	A Agricultura, ganadería, silvicultura y pesca
2009	23	Bajo Martín	12506,6	10	A Agricultura, ganadería, silvicultura y pesca
2009	24	Campo de Daroca	43093,9	10	A Agricultura, ganadería, silvicultura y pesca
2009	25	Jiloca	22862,6	10	A Agricultura, ganadería, silvicultura y pesca
2009	26	Cuencas Mineras	7813,4	10	A Agricultura, ganadería, silvicultura y pesca
2009	27	Andorra-Sierra de Arcos	3780,6	10	A Agricultura, ganadería, silvicultura y pesca
2009	28	Bajo Aragón	21257,3	10	A Agricultura, ganadería, silvicultura y pesca
2009	29	Comunidad de Teruel	18996,3	10	A Agricultura, ganadería, silvicultura y pesca
2009	30	Maestrazgo	8153,5	10	A Agricultura, ganadería, silvicultura y pesca
2009	31	Sierra de Albarracín	4085,2	10	A Agricultura, ganadería, silvicultura y pesca
2009	32	Gúdar-Javalambre	7917,1	10	A Agricultura, ganadería, silvicultura y pesca
2009	33	Matarraña / Matarranya	20154,4	10	A Agricultura, ganadería, silvicultura y pesca
2009	01	La Jacetania	11380,6	21	B y E Extractivas; Energía y agua
2009	02	Alto Gállego	20452,6	21	B y E Extractivas; Energía y agua
2009	03	Sobrarbe	17902,9	21	B y E Extractivas; Energía y agua
2009	04	La Ribagorza	25050,5	21	B y E Extractivas; Energía y agua
2009	05	Cinco Villas	13679,4	21	B y E Extractivas; Energía y agua
2009	06	Hoya de Huesca / Plana de Uesca	49764	21	B y E Extractivas; Energía y agua
2009	07	Somontano de Barbastro	22780,8	21	B y E Extractivas; Energía y agua
2009	08	Cinca Medio	33921,3	21	B y E Extractivas; Energía y agua
2009	09	La Litera / La Llitera	9963,6	21	B y E Extractivas; Energía y agua
2009	10	Los Monegros	16664,8	21	B y E Extractivas; Energía y agua
2009	11	Bajo Cinca / Baix Cinca	33363	21	B y E Extractivas; Energía y agua
2009	12	Tarazona y el Moncayo	4775,4	21	B y E Extractivas; Energía y agua
2009	13	Campo de Borja	11980	21	B y E Extractivas; Energía y agua
2009	14	Aranda	6352,9	21	B y E Extractivas; Energía y agua
2009	15	Ribera Alta del Ebro	28750,9	21	B y E Extractivas; Energía y agua
2009	16	Valdejalón	28636,9	21	B y E Extractivas; Energía y agua
2009	17	D.C. Zaragoza	419594,1	21	B y E Extractivas; Energía y agua
2009	18	Ribera Baja del Ebro	157912,4	21	B y E Extractivas; Energía y agua
2009	19	Bajo Aragón-Caspe / Baix Aragó-Casp	3820,6	21	B y E Extractivas; Energía y agua
2009	20	Comunidad de Calatayud	13106,3	21	B y E Extractivas; Energía y agua
2009	21	Campo de Cariñena	7794,1	21	B y E Extractivas; Energía y agua
2009	22	Campo de Belchite	11867,3	21	B y E Extractivas; Energía y agua
2009	23	Bajo Martín	58128,3	21	B y E Extractivas; Energía y agua
2009	24	Campo de Daroca	2026,4	21	B y E Extractivas; Energía y agua
2009	25	Jiloca	14085,5	21	B y E Extractivas; Energía y agua
2009	26	Cuencas Mineras	29854,3	21	B y E Extractivas; Energía y agua
2009	27	Andorra-Sierra de Arcos	151637,5	21	B y E Extractivas; Energía y agua
2009	28	Bajo Aragón	28904,4	21	B y E Extractivas; Energía y agua
2009	29	Comunidad de Teruel	56009,5	21	B y E Extractivas; Energía y agua
2009	30	Maestrazgo	4172,6	21	B y E Extractivas; Energía y agua
2009	31	Sierra de Albarracín	2838,6	21	B y E Extractivas; Energía y agua
2009	32	Gúdar-Javalambre	12908,1	21	B y E Extractivas; Energía y agua
2009	33	Matarraña / Matarranya	8680,1	21	B y E Extractivas; Energía y agua
2009	01	La Jacetania	8239	22	C Industria manufacturera
2009	02	Alto Gállego	40684,3	22	C Industria manufacturera
2009	03	Sobrarbe	2221,5	22	C Industria manufacturera
2009	04	La Ribagorza	10312,2	22	C Industria manufacturera
2009	05	Cinco Villas	106434	22	C Industria manufacturera
2009	06	Hoya de Huesca / Plana de Uesca	105200,4	22	C Industria manufacturera
2009	07	Somontano de Barbastro	105857,3	22	C Industria manufacturera
2009	08	Cinca Medio	112835,1	22	C Industria manufacturera
2009	09	La Litera / La Llitera	85080,2	22	C Industria manufacturera
2009	10	Los Monegros	26447,6	22	C Industria manufacturera
2009	11	Bajo Cinca / Baix Cinca	79145,1	22	C Industria manufacturera
2009	12	Tarazona y el Moncayo	37501,6	22	C Industria manufacturera
2009	13	Campo de Borja	59077,7	22	C Industria manufacturera
2009	14	Aranda	32880,1	22	C Industria manufacturera
2009	15	Ribera Alta del Ebro	456495,2	22	C Industria manufacturera
2009	16	Valdejalón	216965,1	22	C Industria manufacturera
2009	17	D.C. Zaragoza	2601231,4	22	C Industria manufacturera
2009	18	Ribera Baja del Ebro	62722,1	22	C Industria manufacturera
2009	19	Bajo Aragón-Caspe / Baix Aragó-Casp	14433,5	22	C Industria manufacturera
2009	20	Comunidad de Calatayud	88860,3	22	C Industria manufacturera
2009	21	Campo de Cariñena	125604,2	22	C Industria manufacturera
2009	22	Campo de Belchite	10123,5	22	C Industria manufacturera
2009	23	Bajo Martín	34166,2	22	C Industria manufacturera
2009	24	Campo de Daroca	11979,8	22	C Industria manufacturera
2009	25	Jiloca	38862,7	22	C Industria manufacturera
2009	26	Cuencas Mineras	40059,6	22	C Industria manufacturera
2009	27	Andorra-Sierra de Arcos	14756,6	22	C Industria manufacturera
2009	28	Bajo Aragón	55994,6	22	C Industria manufacturera
2009	29	Comunidad de Teruel	109243,5	22	C Industria manufacturera
2009	30	Maestrazgo	1534,7	22	C Industria manufacturera
2009	31	Sierra de Albarracín	2851,6	22	C Industria manufacturera
2009	32	Gúdar-Javalambre	16827,6	22	C Industria manufacturera
2009	33	Matarraña / Matarranya	14587,6	22	C Industria manufacturera
2009	01	La Jacetania	80881,1	30	F Construcción
2009	02	Alto Gállego	65509,7	30	F Construcción
2009	03	Sobrarbe	52102,5	30	F Construcción
2009	04	La Ribagorza	66238,7	30	F Construcción
2009	05	Cinco Villas	139371,8	30	F Construcción
2009	06	Hoya de Huesca / Plana de Uesca	265815,1	30	F Construcción
2009	07	Somontano de Barbastro	90349,4	30	F Construcción
2009	08	Cinca Medio	90829,6	30	F Construcción
2009	09	La Litera / La Llitera	91740,9	30	F Construcción
2009	10	Los Monegros	95824,9	30	F Construcción
2009	11	Bajo Cinca / Baix Cinca	85856,6	30	F Construcción
2009	12	Tarazona y el Moncayo	40224,1	30	F Construcción
2009	13	Campo de Borja	43751,8	30	F Construcción
