Año	Residencia comarca código	Residencia comarca nombre	Nacionalidad área código	Nacionalidad área nombre	Nacionalidad país código	Nacionalidad país nombre	Edad (grandes grupos)	Extranjeros
1998	01	La Jacetania	01	UE-15	110	Francia	0 a 15	5
1998	01	La Jacetania	01	UE-15	110	Francia	16 a 64	21
1998	01	La Jacetania	01	UE-15	110	Francia	65 y más	5
1998	01	La Jacetania	01	UE-15	113	Irlanda	16 a 64	1
1998	01	La Jacetania	01	UE-15	115	Italia	16 a 64	3
1998	01	La Jacetania	01	UE-15	123	Portugal	16 a 64	1
1998	01	La Jacetania	01	UE-15	125	Reino Unido	16 a 64	12
1998	01	La Jacetania	01	UE-15	125	Reino Unido	65 y más	4
1998	01	La Jacetania	01	UE-15	126	Alemania	16 a 64	2
1998	01	La Jacetania	02	Resto de Europa	122	Polonia	0 a 15	1
1998	01	La Jacetania	02	Resto de Europa	122	Polonia	16 a 64	1
1998	01	La Jacetania	02	Resto de Europa	132	Suiza	65 y más	1
1998	01	La Jacetania	03	Magreb	228	Marruecos	0 a 15	1
1998	01	La Jacetania	03	Magreb	228	Marruecos	16 a 64	6
1998	01	La Jacetania	03	Magreb	228	Marruecos	65 y más	1
1998	01	La Jacetania	05	América del Norte	301	Canadá	16 a 64	1
1998	01	La Jacetania	05	América del Norte	302	Estados Unidos de América	16 a 64	2
1998	01	La Jacetania	05	América del Norte	302	Estados Unidos de América	65 y más	1
1998	01	La Jacetania	06	Resto de América	303	México	16 a 64	1
1998	01	La Jacetania	06	Resto de América	326	República Dominicana	16 a 64	5
1998	01	La Jacetania	06	Resto de América	340	Argentina	16 a 64	5
1998	01	La Jacetania	06	Resto de América	342	Brasil	16 a 64	1
1998	01	La Jacetania	06	Resto de América	343	Colombia	16 a 64	2
1998	01	La Jacetania	06	Resto de América	344	Chile	16 a 64	1
1998	01	La Jacetania	06	Resto de América	345	Ecuador	0 a 15	1
1998	01	La Jacetania	06	Resto de América	345	Ecuador	16 a 64	4
1998	01	La Jacetania	06	Resto de América	348	Perú	0 a 15	1
1998	01	La Jacetania	06	Resto de América	348	Perú	16 a 64	4
1998	01	La Jacetania	06	Resto de América	351	Venezuela	16 a 64	3
1998	01	La Jacetania	07	Asia	433	Siria	0 a 15	1
1998	01	La Jacetania	07	Asia	433	Siria	16 a 64	1
1998	02	Alto Gállego	01	UE-15	102	Austria	16 a 64	1
1998	02	Alto Gállego	01	UE-15	110	Francia	16 a 64	20
1998	02	Alto Gállego	01	UE-15	110	Francia	65 y más	4
1998	02	Alto Gállego	01	UE-15	113	Irlanda	16 a 64	2
1998	02	Alto Gállego	01	UE-15	115	Italia	0 a 15	1
1998	02	Alto Gállego	01	UE-15	115	Italia	16 a 64	1
1998	02	Alto Gállego	01	UE-15	121	Países Bajos	16 a 64	4
1998	02	Alto Gállego	01	UE-15	123	Portugal	16 a 64	1
1998	02	Alto Gállego	01	UE-15	125	Reino Unido	0 a 15	1
1998	02	Alto Gállego	01	UE-15	125	Reino Unido	16 a 64	8
1998	02	Alto Gállego	01	UE-15	125	Reino Unido	65 y más	1
1998	02	Alto Gállego	01	UE-15	126	Alemania	16 a 64	1
1998	02	Alto Gállego	05	América del Norte	302	Estados Unidos de América	16 a 64	1
1998	02	Alto Gállego	06	Resto de América	326	República Dominicana	16 a 64	2
1998	02	Alto Gállego	06	Resto de América	343	Colombia	16 a 64	1
1998	02	Alto Gállego	06	Resto de América	348	Perú	16 a 64	3
1998	02	Alto Gállego	06	Resto de América	351	Venezuela	0 a 15	1
1998	02	Alto Gállego	07	Asia	435	Tailandia	16 a 64	2
1998	02	Alto Gállego	08	Oceanía	501	Australia	16 a 64	3
1998	03	Sobrarbe	01	UE-15	103	Bélgica	0 a 15	2
1998	03	Sobrarbe	01	UE-15	103	Bélgica	16 a 64	4
1998	03	Sobrarbe	01	UE-15	110	Francia	0 a 15	1
1998	03	Sobrarbe	01	UE-15	110	Francia	16 a 64	27
1998	03	Sobrarbe	01	UE-15	110	Francia	65 y más	12
1998	03	Sobrarbe	01	UE-15	121	Países Bajos	16 a 64	3
1998	03	Sobrarbe	01	UE-15	123	Portugal	16 a 64	4
1998	03	Sobrarbe	01	UE-15	125	Reino Unido	16 a 64	1
1998	03	Sobrarbe	01	UE-15	126	Alemania	0 a 15	2
1998	03	Sobrarbe	01	UE-15	126	Alemania	16 a 64	9
1998	03	Sobrarbe	02	Resto de Europa	132	Suiza	0 a 15	1
1998	03	Sobrarbe	02	Resto de Europa	132	Suiza	16 a 64	1
1998	03	Sobrarbe	02	Resto de Europa	199	Países sin relaciones diplomáticas	16 a 64	2
1998	03	Sobrarbe	03	Magreb	224	Libia	16 a 64	1
1998	03	Sobrarbe	03	Magreb	228	Marruecos	16 a 64	1
1998	03	Sobrarbe	04	Resto de África	233	Níger	65 y más	1
1998	03	Sobrarbe	04	Resto de África	236	Sudáfrica	16 a 64	1
1998	03	Sobrarbe	05	América del Norte	301	Canadá	16 a 64	1
1998	03	Sobrarbe	05	América del Norte	302	Estados Unidos de América	16 a 64	1
1998	03	Sobrarbe	06	Resto de América	315	Cuba	65 y más	1
1998	03	Sobrarbe	06	Resto de América	316	Dominica	16 a 64	1
1998	03	Sobrarbe	06	Resto de América	326	República Dominicana	16 a 64	2
1998	03	Sobrarbe	06	Resto de América	341	Bolivia	65 y más	1
1998	03	Sobrarbe	06	Resto de América	342	Brasil	16 a 64	1
1998	03	Sobrarbe	06	Resto de América	348	Perú	16 a 64	1
1998	03	Sobrarbe	07	Asia	415	Japón	16 a 64	1
1998	03	Sobrarbe	07	Asia	441	Yemen	16 a 64	1
1998	04	La Ribagorza	01	UE-15	102	Austria	16 a 64	1
1998	04	La Ribagorza	01	UE-15	103	Bélgica	16 a 64	5
1998	04	La Ribagorza	01	UE-15	110	Francia	0 a 15	3
1998	04	La Ribagorza	01	UE-15	110	Francia	16 a 64	10
1998	04	La Ribagorza	01	UE-15	110	Francia	65 y más	4
1998	04	La Ribagorza	01	UE-15	113	Irlanda	16 a 64	1
1998	04	La Ribagorza	01	UE-15	115	Italia	16 a 64	2
1998	04	La Ribagorza	01	UE-15	121	Países Bajos	16 a 64	6
1998	04	La Ribagorza	01	UE-15	123	Portugal	16 a 64	1
1998	04	La Ribagorza	01	UE-15	125	Reino Unido	16 a 64	1
1998	04	La Ribagorza	01	UE-15	126	Alemania	0 a 15	3
1998	04	La Ribagorza	01	UE-15	126	Alemania	16 a 64	6
1998	04	La Ribagorza	02	Resto de Europa	128	Rumanía	16 a 64	1
1998	04	La Ribagorza	02	Resto de Europa	132	Suiza	0 a 15	3
1998	04	La Ribagorza	02	Resto de Europa	132	Suiza	16 a 64	4
1998	04	La Ribagorza	03	Magreb	228	Marruecos	16 a 64	2
1998	04	La Ribagorza	04	Resto de África	207	Cabo Verde	16 a 64	1
1998	04	La Ribagorza	04	Resto de África	220	Guinea Ecuatorial	16 a 64	1
1998	04	La Ribagorza	05	América del Norte	302	Estados Unidos de América	16 a 64	1
1998	04	La Ribagorza	06	Resto de América	315	Cuba	0 a 15	2
1998	04	La Ribagorza	06	Resto de América	315	Cuba	16 a 64	4
1998	04	La Ribagorza	06	Resto de América	315	Cuba	65 y más	1
1998	04	La Ribagorza	06	Resto de América	326	República Dominicana	0 a 15	1
1998	04	La Ribagorza	06	Resto de América	326	República Dominicana	16 a 64	2
1998	04	La Ribagorza	06	Resto de América	340	Argentina	16 a 64	2
1998	04	La Ribagorza	06	Resto de América	340	Argentina	65 y más	1
1998	04	La Ribagorza	06	Resto de América	343	Colombia	16 a 64	1
1998	04	La Ribagorza	06	Resto de América	347	Paraguay	16 a 64	1
1998	04	La Ribagorza	06	Resto de América	351	Venezuela	16 a 64	1
1998	04	La Ribagorza	07	Asia	420	Líbano	16 a 64	1
1998	04	La Ribagorza	08	Oceanía	512	Tuvalu	16 a 64	1
1998	05	Cinco Villas	01	UE-15	110	Francia	0 a 15	2
1998	05	Cinco Villas	01	UE-15	110	Francia	16 a 64	11
1998	05	Cinco Villas	01	UE-15	110	Francia	65 y más	1
1998	05	Cinco Villas	01	UE-15	123	Portugal	0 a 15	3
1998	05	Cinco Villas	01	UE-15	123	Portugal	16 a 64	2
1998	05	Cinco Villas	01	UE-15	126	Alemania	16 a 64	2
1998	05	Cinco Villas	01	UE-15	126	Alemania	65 y más	1
1998	05	Cinco Villas	02	Resto de Europa	101	Albania	65 y más	1
1998	05	Cinco Villas	02	Resto de Europa	122	Polonia	16 a 64	1
1998	05	Cinco Villas	02	Resto de Europa	132	Suiza	0 a 15	1
1998	05	Cinco Villas	02	Resto de Europa	132	Suiza	16 a 64	3
1998	05	Cinco Villas	03	Magreb	203	Argelia	16 a 64	18
1998	05	Cinco Villas	03	Magreb	228	Marruecos	0 a 15	3
1998	05	Cinco Villas	03	Magreb	228	Marruecos	16 a 64	3
