Año	Residencia comarca código	Residencia comarca nombre	Nacionalidad área código	Nacionalidad área nombre	Nacionalidad país código	Nacionalidad país nombre	Edad (grandes grupos)	Extranjeros
1998	05	Cinco Villas	04	Resto de África	208	Camerún	16 a 64	2
1998	05	Cinco Villas	04	Resto de África	220	Guinea Ecuatorial	16 a 64	1
1998	05	Cinco Villas	05	América del Norte	302	Estados Unidos de América	16 a 64	1
1998	05	Cinco Villas	05	América del Norte	302	Estados Unidos de América	65 y más	1
1998	05	Cinco Villas	06	Resto de América	315	Cuba	0 a 15	1
1998	05	Cinco Villas	06	Resto de América	315	Cuba	16 a 64	4
1998	05	Cinco Villas	06	Resto de América	317	El Salvador	16 a 64	1
1998	05	Cinco Villas	06	Resto de América	340	Argentina	16 a 64	1
1998	05	Cinco Villas	06	Resto de América	345	Ecuador	16 a 64	1
1998	05	Cinco Villas	06	Resto de América	348	Perú	0 a 15	3
1998	05	Cinco Villas	06	Resto de América	348	Perú	16 a 64	3
1998	06	Hoya de Huesca / Plana de Uesca	01	UE-15	102	Austria	0 a 15	2
1998	06	Hoya de Huesca / Plana de Uesca	01	UE-15	102	Austria	16 a 64	1
1998	06	Hoya de Huesca / Plana de Uesca	01	UE-15	110	Francia	0 a 15	3
1998	06	Hoya de Huesca / Plana de Uesca	01	UE-15	110	Francia	16 a 64	39
1998	06	Hoya de Huesca / Plana de Uesca	01	UE-15	110	Francia	65 y más	7
1998	06	Hoya de Huesca / Plana de Uesca	01	UE-15	113	Irlanda	16 a 64	1
1998	06	Hoya de Huesca / Plana de Uesca	01	UE-15	115	Italia	16 a 64	10
1998	06	Hoya de Huesca / Plana de Uesca	01	UE-15	121	Países Bajos	16 a 64	4
1998	06	Hoya de Huesca / Plana de Uesca	01	UE-15	121	Países Bajos	65 y más	1
1998	06	Hoya de Huesca / Plana de Uesca	01	UE-15	123	Portugal	0 a 15	4
1998	06	Hoya de Huesca / Plana de Uesca	01	UE-15	123	Portugal	16 a 64	20
1998	06	Hoya de Huesca / Plana de Uesca	01	UE-15	123	Portugal	65 y más	1
1998	06	Hoya de Huesca / Plana de Uesca	01	UE-15	125	Reino Unido	16 a 64	11
1998	06	Hoya de Huesca / Plana de Uesca	01	UE-15	126	Alemania	16 a 64	5
1998	06	Hoya de Huesca / Plana de Uesca	02	Resto de Europa	132	Suiza	16 a 64	1
1998	06	Hoya de Huesca / Plana de Uesca	03	Magreb	203	Argelia	16 a 64	13
1998	06	Hoya de Huesca / Plana de Uesca	03	Magreb	228	Marruecos	16 a 64	17
1998	06	Hoya de Huesca / Plana de Uesca	04	Resto de África	207	Cabo Verde	16 a 64	1
1998	06	Hoya de Huesca / Plana de Uesca	04	Resto de África	216	Gambia	0 a 15	9
1998	06	Hoya de Huesca / Plana de Uesca	04	Resto de África	216	Gambia	16 a 64	23
1998	06	Hoya de Huesca / Plana de Uesca	04	Resto de África	217	Ghana	16 a 64	7
1998	06	Hoya de Huesca / Plana de Uesca	04	Resto de África	218	Guinea	16 a 64	2
1998	06	Hoya de Huesca / Plana de Uesca	04	Resto de África	220	Guinea Ecuatorial	16 a 64	1
1998	06	Hoya de Huesca / Plana de Uesca	04	Resto de África	221	Kenia	16 a 64	4
1998	06	Hoya de Huesca / Plana de Uesca	04	Resto de África	223	Liberia	16 a 64	1
1998	06	Hoya de Huesca / Plana de Uesca	04	Resto de África	239	Senegal	16 a 64	7
1998	06	Hoya de Huesca / Plana de Uesca	05	América del Norte	301	Canadá	16 a 64	1
1998	06	Hoya de Huesca / Plana de Uesca	05	América del Norte	302	Estados Unidos de América	0 a 15	5
1998	06	Hoya de Huesca / Plana de Uesca	05	América del Norte	302	Estados Unidos de América	16 a 64	10
1998	06	Hoya de Huesca / Plana de Uesca	06	Resto de América	315	Cuba	16 a 64	10
1998	06	Hoya de Huesca / Plana de Uesca	06	Resto de América	316	Dominica	0 a 15	1
1998	06	Hoya de Huesca / Plana de Uesca	06	Resto de América	316	Dominica	16 a 64	4
1998	06	Hoya de Huesca / Plana de Uesca	06	Resto de América	326	República Dominicana	0 a 15	6
1998	06	Hoya de Huesca / Plana de Uesca	06	Resto de América	326	República Dominicana	16 a 64	16
1998	06	Hoya de Huesca / Plana de Uesca	06	Resto de América	340	Argentina	0 a 15	3
1998	06	Hoya de Huesca / Plana de Uesca	06	Resto de América	340	Argentina	16 a 64	15
1998	06	Hoya de Huesca / Plana de Uesca	06	Resto de América	342	Brasil	16 a 64	2
1998	06	Hoya de Huesca / Plana de Uesca	06	Resto de América	343	Colombia	16 a 64	3
1998	06	Hoya de Huesca / Plana de Uesca	06	Resto de América	344	Chile	16 a 64	2
1998	06	Hoya de Huesca / Plana de Uesca	06	Resto de América	347	Paraguay	16 a 64	1
1998	06	Hoya de Huesca / Plana de Uesca	06	Resto de América	348	Perú	16 a 64	5
1998	06	Hoya de Huesca / Plana de Uesca	06	Resto de América	348	Perú	65 y más	1
1998	06	Hoya de Huesca / Plana de Uesca	07	Asia	407	China	0 a 15	4
1998	06	Hoya de Huesca / Plana de Uesca	07	Asia	407	China	16 a 64	14
1998	06	Hoya de Huesca / Plana de Uesca	07	Asia	409	Filipinas	16 a 64	1
1998	06	Hoya de Huesca / Plana de Uesca	07	Asia	419	Laos	16 a 64	3
1998	06	Hoya de Huesca / Plana de Uesca	07	Asia	420	Líbano	16 a 64	1
1998	06	Hoya de Huesca / Plana de Uesca	07	Asia	423	Mongolia	16 a 64	1
1998	06	Hoya de Huesca / Plana de Uesca	07	Asia	430	República de Corea	0 a 15	1
1998	06	Hoya de Huesca / Plana de Uesca	07	Asia	430	República de Corea	16 a 64	3
1998	07	Somontano de Barbastro	01	UE-15	102	Austria	16 a 64	1
1998	07	Somontano de Barbastro	01	UE-15	103	Bélgica	0 a 15	1
1998	07	Somontano de Barbastro	01	UE-15	103	Bélgica	16 a 64	6
1998	07	Somontano de Barbastro	01	UE-15	103	Bélgica	65 y más	2
1998	07	Somontano de Barbastro	01	UE-15	107	Dinamarca	16 a 64	1
1998	07	Somontano de Barbastro	01	UE-15	110	Francia	0 a 15	3
1998	07	Somontano de Barbastro	01	UE-15	110	Francia	16 a 64	27
1998	07	Somontano de Barbastro	01	UE-15	110	Francia	65 y más	6
1998	07	Somontano de Barbastro	01	UE-15	115	Italia	16 a 64	1
1998	07	Somontano de Barbastro	01	UE-15	115	Italia	65 y más	1
1998	07	Somontano de Barbastro	01	UE-15	121	Países Bajos	0 a 15	3
1998	07	Somontano de Barbastro	01	UE-15	121	Países Bajos	16 a 64	3
1998	07	Somontano de Barbastro	01	UE-15	123	Portugal	0 a 15	2
1998	07	Somontano de Barbastro	01	UE-15	123	Portugal	16 a 64	10
1998	07	Somontano de Barbastro	01	UE-15	125	Reino Unido	16 a 64	1
1998	07	Somontano de Barbastro	01	UE-15	126	Alemania	16 a 64	3
1998	07	Somontano de Barbastro	02	Resto de Europa	104	Bulgaria	0 a 15	1
1998	07	Somontano de Barbastro	02	Resto de Europa	104	Bulgaria	16 a 64	4
1998	07	Somontano de Barbastro	02	Resto de Europa	132	Suiza	0 a 15	1
1998	07	Somontano de Barbastro	03	Magreb	203	Argelia	0 a 15	1
1998	07	Somontano de Barbastro	03	Magreb	203	Argelia	16 a 64	5
1998	07	Somontano de Barbastro	03	Magreb	228	Marruecos	0 a 15	20
1998	07	Somontano de Barbastro	03	Magreb	228	Marruecos	16 a 64	36
1998	07	Somontano de Barbastro	04	Resto de África	216	Gambia	0 a 15	4
1998	07	Somontano de Barbastro	04	Resto de África	216	Gambia	16 a 64	7
1998	07	Somontano de Barbastro	04	Resto de África	236	Sudáfrica	16 a 64	1
1998	07	Somontano de Barbastro	05	América del Norte	302	Estados Unidos de América	16 a 64	2
1998	07	Somontano de Barbastro	06	Resto de América	303	México	0 a 15	1
1998	07	Somontano de Barbastro	06	Resto de América	303	México	16 a 64	1
1998	07	Somontano de Barbastro	06	Resto de América	315	Cuba	16 a 64	1
1998	07	Somontano de Barbastro	06	Resto de América	317	El Salvador	16 a 64	2
1998	07	Somontano de Barbastro	06	Resto de América	326	República Dominicana	0 a 15	2
1998	07	Somontano de Barbastro	06	Resto de América	326	República Dominicana	16 a 64	5
1998	07	Somontano de Barbastro	06	Resto de América	340	Argentina	16 a 64	3
1998	07	Somontano de Barbastro	06	Resto de América	340	Argentina	65 y más	2
1998	07	Somontano de Barbastro	06	Resto de América	342	Brasil	16 a 64	1
1998	07	Somontano de Barbastro	06	Resto de América	343	Colombia	16 a 64	2
1998	07	Somontano de Barbastro	07	Asia	401	Afganistán	16 a 64	1
1998	07	Somontano de Barbastro	07	Asia	407	China	0 a 15	1
1998	07	Somontano de Barbastro	07	Asia	407	China	16 a 64	3
1998	07	Somontano de Barbastro	07	Asia	416	Jordania	16 a 64	1
1998	07	Somontano de Barbastro	08	Oceanía	501	Australia	16 a 64	1
1998	08	Cinca Medio	01	UE-15	102	Austria	16 a 64	1
1998	08	Cinca Medio	01	UE-15	103	Bélgica	16 a 64	1
1998	08	Cinca Medio	01	UE-15	110	Francia	16 a 64	16
1998	08	Cinca Medio	01	UE-15	110	Francia	65 y más	4
1998	08	Cinca Medio	01	UE-15	111	Grecia	16 a 64	1
1998	08	Cinca Medio	01	UE-15	113	Irlanda	16 a 64	1
1998	08	Cinca Medio	01	UE-15	115	Italia	16 a 64	6
1998	08	Cinca Medio	01	UE-15	123	Portugal	16 a 64	1
1998	08	Cinca Medio	01	UE-15	125	Reino Unido	16 a 64	1
1998	08	Cinca Medio	01	UE-15	126	Alemania	16 a 64	3
1998	08	Cinca Medio	02	Resto de Europa	122	Polonia	16 a 64	2
1998	08	Cinca Medio	02	Resto de Europa	132	Suiza	65 y más	1
1998	08	Cinca Medio	02	Resto de Europa	154	Rusia	16 a 64	1
1998	08	Cinca Medio	03	Magreb	203	Argelia	16 a 64	27
1998	08	Cinca Medio	03	Magreb	228	Marruecos	0 a 15	3
1998	08	Cinca Medio	03	Magreb	228	Marruecos	16 a 64	28
1998	08	Cinca Medio	03	Magreb	230	Mauritania	16 a 64	1
1998	08	Cinca Medio	03	Magreb	248	Túnez	16 a 64	3
1998	08	Cinca Medio	04	Resto de África	207	Cabo Verde	16 a 64	1
1998	08	Cinca Medio	04	Resto de África	216	Gambia	16 a 64	13
1998	08	Cinca Medio	04	Resto de África	218	Guinea	16 a 64	8
1998	08	Cinca Medio	04	Resto de África	220	Guinea Ecuatorial	16 a 64	3
1998	08	Cinca Medio	04	Resto de África	227	Mali	16 a 64	1
1998	08	Cinca Medio	04	Resto de África	239	Senegal	16 a 64	2
1998	08	Cinca Medio	04	Resto de África	241	Sierra Leona	16 a 64	1
1998	08	Cinca Medio	05	América del Norte	302	Estados Unidos de América	0 a 15	2
1998	08	Cinca Medio	05	América del Norte	302	Estados Unidos de América	16 a 64	1
1998	08	Cinca Medio	06	Resto de América	303	México	0 a 15	2
1998	08	Cinca Medio	06	Resto de América	303	México	16 a 64	2
1998	08	Cinca Medio	06	Resto de América	315	Cuba	0 a 15	1
1998	08	Cinca Medio	06	Resto de América	315	Cuba	16 a 64	1
1998	08	Cinca Medio	06	Resto de América	326	República Dominicana	0 a 15	1
1998	08	Cinca Medio	06	Resto de América	326	República Dominicana	16 a 64	1
1998	08	Cinca Medio	06	Resto de América	340	Argentina	16 a 64	1
1998	08	Cinca Medio	06	Resto de América	340	Argentina	65 y más	1
1998	08	Cinca Medio	06	Resto de América	343	Colombia	16 a 64	1
1998	08	Cinca Medio	06	Resto de América	348	Perú	0 a 15	1
1998	08	Cinca Medio	06	Resto de América	348	Perú	16 a 64	4
1998	08	Cinca Medio	07	Asia	407	China	16 a 64	2
1998	08	Cinca Medio	07	Asia	409	Filipinas	65 y más	1
1998	08	Cinca Medio	07	Asia	433	Siria	16 a 64	1
1998	09	La Litera / La Llitera	01	UE-15	110	Francia	16 a 64	11
1998	09	La Litera / La Llitera	01	UE-15	110	Francia	65 y más	3
1998	09	La Litera / La Llitera	01	UE-15	113	Irlanda	16 a 64	1
1998	09	La Litera / La Llitera	01	UE-15	123	Portugal	16 a 64	6
1998	09	La Litera / La Llitera	01	UE-15	125	Reino Unido	16 a 64	2
1998	09	La Litera / La Llitera	01	UE-15	126	Alemania	16 a 64	2
1998	09	La Litera / La Llitera	02	Resto de Europa	128	Rumanía	16 a 64	1
1998	09	La Litera / La Llitera	02	Resto de Europa	132	Suiza	65 y más	1
1998	09	La Litera / La Llitera	03	Magreb	203	Argelia	16 a 64	15
1998	09	La Litera / La Llitera	03	Magreb	228	Marruecos	0 a 15	1
1998	09	La Litera / La Llitera	03	Magreb	228	Marruecos	16 a 64	12
1998	09	La Litera / La Llitera	04	Resto de África	216	Gambia	0 a 15	5
1998	09	La Litera / La Llitera	04	Resto de África	216	Gambia	16 a 64	20
1998	09	La Litera / La Llitera	04	Resto de África	227	Mali	0 a 15	3
1998	09	La Litera / La Llitera	04	Resto de África	227	Mali	16 a 64	6
1998	09	La Litera / La Llitera	04	Resto de África	239	Senegal	16 a 64	1
1998	09	La Litera / La Llitera	04	Resto de África	242	Somalia	16 a 64	1
1998	09	La Litera / La Llitera	06	Resto de América	303	México	16 a 64	1
1998	09	La Litera / La Llitera	06	Resto de América	314	Costa Rica	0 a 15	1
1998	09	La Litera / La Llitera	06	Resto de América	314	Costa Rica	16 a 64	1
1998	09	La Litera / La Llitera	06	Resto de América	315	Cuba	0 a 15	1
1998	09	La Litera / La Llitera	06	Resto de América	315	Cuba	16 a 64	4
1998	09	La Litera / La Llitera	06	Resto de América	316	Dominica	16 a 64	1
1998	09	La Litera / La Llitera	06	Resto de América	318	Granada	16 a 64	1
1998	09	La Litera / La Llitera	06	Resto de América	321	Honduras	0 a 15	2
1998	09	La Litera / La Llitera	06	Resto de América	321	Honduras	16 a 64	5
1998	09	La Litera / La Llitera	06	Resto de América	326	República Dominicana	16 a 64	3
1998	09	La Litera / La Llitera	06	Resto de América	326	República Dominicana	65 y más	1
1998	09	La Litera / La Llitera	06	Resto de América	340	Argentina	0 a 15	1
1998	09	La Litera / La Llitera	06	Resto de América	340	Argentina	16 a 64	2
1998	09	La Litera / La Llitera	06	Resto de América	348	Perú	0 a 15	1
1998	09	La Litera / La Llitera	06	Resto de América	348	Perú	16 a 64	7
1998	09	La Litera / La Llitera	06	Resto de América	351	Venezuela	0 a 15	3
1998	09	La Litera / La Llitera	06	Resto de América	351	Venezuela	16 a 64	1
1998	09	La Litera / La Llitera	07	Asia	409	Filipinas	16 a 64	2
1998	09	La Litera / La Llitera	07	Asia	426	Pakistán	16 a 64	2
1998	09	La Litera / La Llitera	07	Asia	435	Tailandia	16 a 64	1
1998	09	La Litera / La Llitera	08	Oceanía	511	Micronesia	16 a 64	1
1998	10	Los Monegros	01	UE-15	107	Dinamarca	16 a 64	1
1998	10	Los Monegros	01	UE-15	110	Francia	16 a 64	21
1998	10	Los Monegros	01	UE-15	110	Francia	65 y más	10
1998	10	Los Monegros	01	UE-15	123	Portugal	16 a 64	4
1998	10	Los Monegros	01	UE-15	125	Reino Unido	0 a 15	1
1998	10	Los Monegros	01	UE-15	125	Reino Unido	16 a 64	1
1998	10	Los Monegros	01	UE-15	126	Alemania	0 a 15	1
1998	10	Los Monegros	01	UE-15	126	Alemania	16 a 64	5
1998	10	Los Monegros	02	Resto de Europa	112	Hungría	16 a 64	1
1998	10	Los Monegros	02	Resto de Europa	112	Hungría	65 y más	1
1998	10	Los Monegros	02	Resto de Europa	122	Polonia	16 a 64	2
1998	10	Los Monegros	02	Resto de Europa	128	Rumanía	16 a 64	1
1998	10	Los Monegros	02	Resto de Europa	132	Suiza	16 a 64	1
1998	10	Los Monegros	02	Resto de Europa	154	Rusia	16 a 64	1
1998	10	Los Monegros	03	Magreb	228	Marruecos	0 a 15	3
1998	10	Los Monegros	03	Magreb	228	Marruecos	16 a 64	15
1998	10	Los Monegros	04	Resto de África	216	Gambia	0 a 15	1
1998	10	Los Monegros	04	Resto de África	216	Gambia	16 a 64	5
1998	10	Los Monegros	04	Resto de África	220	Guinea Ecuatorial	16 a 64	1
1998	10	Los Monegros	04	Resto de África	239	Senegal	16 a 64	4
1998	10	Los Monegros	04	Resto de África	242	Somalia	16 a 64	1
1998	10	Los Monegros	05	América del Norte	302	Estados Unidos de América	0 a 15	3
1998	10	Los Monegros	05	América del Norte	302	Estados Unidos de América	16 a 64	4
1998	10	Los Monegros	06	Resto de América	303	México	16 a 64	3
1998	10	Los Monegros	06	Resto de América	315	Cuba	0 a 15	2
1998	10	Los Monegros	06	Resto de América	315	Cuba	16 a 64	6
1998	10	Los Monegros	06	Resto de América	319	Guatemala	0 a 15	2
1998	10	Los Monegros	06	Resto de América	319	Guatemala	16 a 64	2
1998	10	Los Monegros	06	Resto de América	321	Honduras	16 a 64	1
1998	10	Los Monegros	06	Resto de América	326	República Dominicana	0 a 15	1
1998	10	Los Monegros	06	Resto de América	326	República Dominicana	16 a 64	8
1998	10	Los Monegros	06	Resto de América	340	Argentina	16 a 64	5
1998	10	Los Monegros	06	Resto de América	340	Argentina	65 y más	2
1998	10	Los Monegros	06	Resto de América	342	Brasil	0 a 15	1
1998	10	Los Monegros	06	Resto de América	342	Brasil	16 a 64	2
1998	10	Los Monegros	06	Resto de América	351	Venezuela	16 a 64	2
1998	10	Los Monegros	07	Asia	409	Filipinas	16 a 64	1
1998	11	Bajo Cinca / Baix Cinca	01	UE-15	102	Austria	16 a 64	1
1998	11	Bajo Cinca / Baix Cinca	01	UE-15	110	Francia	16 a 64	2
1998	11	Bajo Cinca / Baix Cinca	01	UE-15	110	Francia	65 y más	2
1998	11	Bajo Cinca / Baix Cinca	01	UE-15	115	Italia	16 a 64	1
1998	11	Bajo Cinca / Baix Cinca	01	UE-15	121	Países Bajos	16 a 64	2
1998	11	Bajo Cinca / Baix Cinca	01	UE-15	123	Portugal	16 a 64	1
1998	11	Bajo Cinca / Baix Cinca	01	UE-15	126	Alemania	16 a 64	1
1998	11	Bajo Cinca / Baix Cinca	02	Resto de Europa	114	Islandia	16 a 64	1
1998	11	Bajo Cinca / Baix Cinca	03	Magreb	203	Argelia	16 a 64	2
1998	11	Bajo Cinca / Baix Cinca	03	Magreb	228	Marruecos	0 a 15	12
1998	11	Bajo Cinca / Baix Cinca	03	Magreb	228	Marruecos	16 a 64	31
1998	11	Bajo Cinca / Baix Cinca	04	Resto de África	216	Gambia	16 a 64	2
1998	11	Bajo Cinca / Baix Cinca	04	Resto de África	227	Mali	65 y más	1
1998	11	Bajo Cinca / Baix Cinca	04	Resto de África	234	Nigeria	65 y más	1
1998	11	Bajo Cinca / Baix Cinca	06	Resto de América	303	México	0 a 15	1
1998	11	Bajo Cinca / Baix Cinca	06	Resto de América	303	México	16 a 64	1
1998	11	Bajo Cinca / Baix Cinca	06	Resto de América	318	Granada	16 a 64	1
1998	11	Bajo Cinca / Baix Cinca	06	Resto de América	340	Argentina	16 a 64	1
