'Aragón'	Año	Tipo de vehículo	Tipo de vehículo (orden)	Cantidad
Aragón	2000	Autobuses	4	1501
Aragón	2000	Camiones y furgonetas	3	115543
Aragón	2000	Motocicletas	2	30533
Aragón	2000	Otros vehículos	6	15753
Aragón	2000	Tractores industriales	5	5509
Aragón	2000	Turismos	1	458862
Aragón	2001	Autobuses	4	1510
Aragón	2001	Camiones y furgonetas	3	120016
Aragón	2001	Motocicletas	2	31345
Aragón	2001	Otros vehículos	6	17551
Aragón	2001	Tractores industriales	5	5953
Aragón	2001	Turismos	1	472364
Aragón	2002	Autobuses	4	1580
Aragón	2002	Camiones y furgonetas	3	124122
Aragón	2002	Motocicletas	2	32226
Aragón	2002	Otros vehículos	6	19608
Aragón	2002	Tractores industriales	5	6386
Aragón	2002	Turismos	1	484241
Aragón	2003	Autobuses	4	1534
Aragón	2003	Camiones y furgonetas	3	127454
Aragón	2003	Motocicletas	2	32167
Aragón	2003	Otros vehículos	6	21587
Aragón	2003	Tractores industriales	5	6743
Aragón	2003	Turismos	1	487054
Aragón	2004	Autobuses	4	1581
Aragón	2004	Camiones y furgonetas	3	134762
Aragón	2004	Motocicletas	2	34166
Aragón	2004	Otros vehículos	6	24347
Aragón	2004	Tractores industriales	5	7146
Aragón	2004	Turismos	1	503996
Aragón	2005	Autobuses	4	1602
Aragón	2005	Camiones y furgonetas	3	144857
Aragón	2005	Ciclomotores	7	56472
Aragón	2005	Motocicletas	2	38458
Aragón	2005	Otros vehículos	6	27655
Aragón	2005	Tractores industriales	5	7634
Aragón	2005	Turismos	1	519912
Aragón	2006	Autobuses	4	1658
Aragón	2006	Camiones y furgonetas	3	156786
Aragón	2006	Ciclomotores	7	57842
Aragón	2006	Motocicletas	2	44718
Aragón	2006	Otros vehículos	6	31053
Aragón	2006	Tractores industriales	5	8195
Aragón	2006	Turismos	1	550479
Aragón	2007	Autobuses	4	1711
Aragón	2007	Camiones y furgonetas	3	169534
Aragón	2007	Ciclomotores	7	59073
Aragón	2007	Motocicletas	2	50609
Aragón	2007	Otros vehículos	6	33460
Aragón	2007	Tractores industriales	5	8920
Aragón	2007	Turismos	1	563990
Aragón	2008	Autobuses	4	1722
Aragón	2008	Camiones y furgonetas	3	175806
Aragón	2008	Ciclomotores	7	58741
Aragón	2008	Motocicletas	2	55614
Aragón	2008	Otros vehículos	6	34499
Aragón	2008	Tractores industriales	5	8942
Aragón	2008	Turismos	1	577546
Aragón	2009	Autobuses	4	1690
Aragón	2009	Camiones y furgonetas	3	165969
Aragón	2009	Ciclomotores	7	57730
Aragón	2009	Motocicletas	2	58261
Aragón	2009	Otros vehículos	6	35024
Aragón	2009	Tractores industriales	5	8654
Aragón	2009	Turismos	1	573107
Aragón	2010	Autobuses	4	1673
Aragón	2010	Camiones y furgonetas	3	159945
Aragón	2010	Ciclomotores	7	56545
Aragón	2010	Motocicletas	2	60790
Aragón	2010	Otros vehículos	6	35833
Aragón	2010	Tractores industriales	5	8520
Aragón	2010	Turismos	1	573660
Aragón	2011	Autobuses	4	1652
Aragón	2011	Camiones y furgonetas	3	152911
Aragón	2011	Ciclomotores	7	55240
Aragón	2011	Motocicletas	2	63029
Aragón	2011	Otros vehículos	6	36854
Aragón	2011	Tractores industriales	5	8311
Aragón	2011	Turismos	1	571842
Aragón	2012	Autobuses	4	1603
Aragón	2012	Camiones y furgonetas	3	150708
Aragón	2012	Ciclomotores	7	53839
Aragón	2012	Motocicletas	2	64381
Aragón	2012	Otros vehículos	6	37466
Aragón	2012	Tractores industriales	5	8020
Aragón	2012	Turismos	1	571765
Aragón	2013	Autobuses	4	1545
Aragón	2013	Camiones y furgonetas	3	147648
Aragón	2013	Ciclomotores	7	52391
Aragón	2013	Motocicletas	2	65212
Aragón	2013	Otros vehículos	6	38154
Aragón	2013	Tractores industriales	5	7784
Aragón	2013	Turismos	1	565991
Aragón	2014	Autobuses	4	1507
Aragón	2014	Camiones y furgonetas	3	145606
Aragón	2014	Ciclomotores	7	51285
Aragón	2014	Motocicletas	2	67198
Aragón	2014	Otros vehículos	6	39394
Aragón	2014	Tractores industriales	5	8125
Aragón	2014	Turismos	1	567011
