Año	Código de la provincia	Provincia	Número total de explotaciones	Explotaciones con tierras	Explotaciones con tierras sin SAU	Explotaciones con tierras con SAU  <25% de su propiedad	Explotaciones con tierras con SAU >=25% y <50% de su propiedad	Explotaciones con tierras con SAU >=50% y <75% de su propiedad	Explotaciones con tierras con SAU >=75% y <100% de su propiedad	Explotaciones con tierras con SAU totalmente de su propiedad	Explotaciones con tierras con SAU
1989	22	Huesca	23425	23269	1911	2101	1391	1936	2046	13884	21358
1989	44	Teruel	25692	25468	3225	2919	1810	1746	1981	13787	22243
1989	50	Zaragoza	51614	50912	2053	7210	3272	3584	3377	31416	48859
1999	22	Huesca	21318	20887	1765	2264	1230	1557	1877	12194	19122
1999	44	Teruel	17926	17347	1518	2433	1230	1351	1426	9389	15829
1999	50	Zaragoza	40777	40010	2896	5622	2454	2536	2599	23903	37114
