Continente	Area nacionalidad, código	Area nacionalidad	Aragón	Nivel estudios (agregado)	Grado de formación
Europa	01	UE-15	Aragón	Analfabetos	195
Europa	01	UE-15	Aragón	Sin estudios	260
Europa	01	UE-15	Aragón	Primer grado	494
Europa	01	UE-15	Aragón	Segundo grado	1375
Europa	01	UE-15	Aragón	Tercer grado	786
Europa	02	Resto de Europa	Aragón	Analfabetos	409
Europa	02	Resto de Europa	Aragón	Sin estudios	710
Europa	02	Resto de Europa	Aragón	Primer grado	1428
Europa	02	Resto de Europa	Aragón	Segundo grado	4164
Europa	02	Resto de Europa	Aragón	Tercer grado	716
África	03	Magreb	Aragón	Analfabetos	900
África	03	Magreb	Aragón	Sin estudios	1216
África	03	Magreb	Aragón	Primer grado	1908
África	03	Magreb	Aragón	Segundo grado	2770
África	03	Magreb	Aragón	Tercer grado	397
África	04	Resto de África	Aragón	Analfabetos	690
África	04	Resto de África	Aragón	Sin estudios	892
África	04	Resto de África	Aragón	Primer grado	1044
África	04	Resto de África	Aragón	Segundo grado	1637
África	04	Resto de África	Aragón	Tercer grado	201
América	05	América del Norte	Aragón	Analfabetos	24
América	05	América del Norte	Aragón	Sin estudios	27
América	05	América del Norte	Aragón	Primer grado	42
América	05	América del Norte	Aragón	Segundo grado	162
América	05	América del Norte	Aragón	Tercer grado	127
América	06	Resto de América	Aragón	Analfabetos	1112
América	06	Resto de América	Aragón	Sin estudios	1384
América	06	Resto de América	Aragón	Primer grado	2971
América	06	Resto de América	Aragón	Segundo grado	7081
América	06	Resto de América	Aragón	Tercer grado	1386
Asia	07	Asia	Aragón	Analfabetos	141
Asia	07	Asia	Aragón	Sin estudios	163
Asia	07	Asia	Aragón	Primer grado	277
Asia	07	Asia	Aragón	Segundo grado	435
Asia	07	Asia	Aragón	Tercer grado	74
Oceanía	08	Oceanía	Aragón	Analfabetos	3
Oceanía	08	Oceanía	Aragón	Sin estudios	10
Oceanía	08	Oceanía	Aragón	Primer grado	6
Oceanía	08	Oceanía	Aragón	Segundo grado	14
Oceanía	08	Oceanía	Aragón	Tercer grado	5
 Apátridas y no consta	09	Apátridas y no consta	Aragón	Analfabetos	1
 Apátridas y no consta	09	Apátridas y no consta	Aragón	Primer grado	6
 Apátridas y no consta	09	Apátridas y no consta	Aragón	Segundo grado	4
 Apátridas y no consta	09	Apátridas y no consta	Aragón	Tercer grado	2
