Municipio código	Municipio nombre	Corine Land Cover 2000 nivel 5 descripción	Superficie (has)	Año
22001	Abiego	Aeropuertos	0	2000
22001	Abiego	Afloramientos rocosos y canchales	0	2000
22001	Abiego	Arrozales	0	2000
22001	Abiego	Autopistas, autovías y terrenos asociados	0	2000
22001	Abiego	Bosque mixto	32,473941	2000
22001	Abiego	Bosques de coníferas con hojas aciculares	274,456857	2000
22001	Abiego	Bosques de coníferas con hojas de tipo cupresáceo	0	2000
22001	Abiego	Bosques de ribera	0	2000
22001	Abiego	Caducifolias y marcescentes	53,240616	2000
22001	Abiego	Campos de golf	0	2000
22001	Abiego	Canales artificiales	0	2000
22001	Abiego	Complejos ferroviarios	0	2000
22001	Abiego	Cultivos herbáceos en regadío	0	2000
22001	Abiego	Cárcavas y/o zonas en proceso de erosión	0	2000
22001	Abiego	Embalses	0	2000
22001	Abiego	Escombreras y vertederos	0	2000
22001	Abiego	Espacios orófilos altitudinales con vegetación escasa	0	2000
22001	Abiego	Estructura urbana abierta	5,260613	2000
22001	Abiego	Frutales en secano	0	2000
22001	Abiego	Glaciares y nieves permanentes	0	2000
22001	Abiego	Grandes formaciones de matorral denso o medianamente denso	76,431229	2000
22001	Abiego	Grandes superficies de equipamientos y servicios	0	2000
22001	Abiego	Humedales y zonas pantanosas	0	2000
22001	Abiego	Lagos y lagunas	0	2000
22001	Abiego	Landas y matorrales en climas húmedos. Vegetación mesófila	0	2000
22001	Abiego	Matorral boscoso de bosque mixto	71,484505	2000
22001	Abiego	Matorral boscoso de coníferas	34,490369	2000
22001	Abiego	Matorral boscoso de frondosas	525,779327	2000
22001	Abiego	Matorrales subarbustivos o arbustivos muy poco densos	0,174104	2000
22001	Abiego	Mezcla de frondosas	0	2000
22001	Abiego	Mosaico de cultivos agrícolas en regadío con espacios significativos de vegetación natural y semi-natural	0	2000
22001	Abiego	Mosaico de cultivos agrícolas en secano con espacios significativos de vegetación natural y semi-natural	247,246596	2000
22001	Abiego	Mosaico de cultivos anuales con cultivos  permanentes en  secano	318,525291	2000
22001	Abiego	Mosaico de cultivos anuales con cultivos permanentes en regadío	0	2000
