Año	Dirección Provincial Código	Dirección Provincial Nombre	Temporalidad	Sector Código	Sector Descripción	Nº Accidentes
2018	22	Huesca	Indefinido	1	Agricultura, ganadería y pesca	10
2018	22	Huesca	Temporal	1	Agricultura, ganadería y pesca	21
2018	22	Huesca	Indefinido	2	Industria y energía	25
2018	22	Huesca	Temporal	2	Industria y energía	15
2018	22	Huesca	Indefinido	3	Construcción	6
2018	22	Huesca	Temporal	3	Construcción	5
2018	22	Huesca	Indefinido	4	Servicios	57
2018	22	Huesca	Temporal	4	Servicios	82
2018	22	Huesca	Sin clasificar	4	Servicios	1
2018	44	Teruel	Indefinido	1	Agricultura, ganadería y pesca	2
2018	44	Teruel	Temporal	1	Agricultura, ganadería y pesca	1
2018	44	Teruel	Sin clasificar	1	Agricultura, ganadería y pesca	1
2018	44	Teruel	Indefinido	2	Industria y energía	12
2018	44	Teruel	Temporal	2	Industria y energía	7
2018	44	Teruel	Indefinido	3	Construcción	9
2018	44	Teruel	Temporal	3	Construcción	3
2018	44	Teruel	Indefinido	4	Servicios	44
2018	44	Teruel	Temporal	4	Servicios	27
2018	50	Zaragoza	Indefinido	1	Agricultura, ganadería y pesca	11
2018	50	Zaragoza	Temporal	1	Agricultura, ganadería y pesca	27
2018	50	Zaragoza	Indefinido	2	Industria y energía	215
2018	50	Zaragoza	Temporal	2	Industria y energía	119
2018	50	Zaragoza	Indefinido	3	Construcción	36
2018	50	Zaragoza	Temporal	3	Construcción	33
2018	50	Zaragoza	Sin clasificar	3	Construcción	1
2018	50	Zaragoza	Indefinido	4	Servicios	873
2018	50	Zaragoza	Temporal	4	Servicios	451
2018	50	Zaragoza	Sin clasificar	4	Servicios	5
2017	22	Huesca	Indefinido	1	Agricultura, ganadería y pesca	8
2017	22	Huesca	Temporal	1	Agricultura, ganadería y pesca	20
2017	22	Huesca	Indefinido	2	Industria y energía	23
2017	22	Huesca	Temporal	2	Industria y energía	5
2017	22	Huesca	Indefinido	3	Construcción	11
2017	22	Huesca	Temporal	3	Construcción	7
2017	22	Huesca	Indefinido	4	Servicios	74
2017	22	Huesca	Temporal	4	Servicios	66
2017	44	Teruel	Indefinido	1	Agricultura, ganadería y pesca	2
2017	44	Teruel	Temporal	1	Agricultura, ganadería y pesca	2
2017	44	Teruel	Indefinido	2	Industria y energía	15
2017	44	Teruel	Temporal	2	Industria y energía	2
2017	44	Teruel	Indefinido	4	Servicios	41
2017	44	Teruel	Temporal	4	Servicios	41
2017	50	Zaragoza	Indefinido	1	Agricultura, ganadería y pesca	4
2017	50	Zaragoza	Temporal	1	Agricultura, ganadería y pesca	20
2017	50	Zaragoza	Indefinido	2	Industria y energía	194
2017	50	Zaragoza	Temporal	2	Industria y energía	112
2017	50	Zaragoza	Indefinido	3	Construcción	20
2017	50	Zaragoza	Temporal	3	Construcción	27
2017	50	Zaragoza	Indefinido	4	Servicios	822
2017	50	Zaragoza	Temporal	4	Servicios	497
2016	22	Huesca	Indefinido	1	Agricultura, ganadería y pesca	6
2016	22	Huesca	Temporal	1	Agricultura, ganadería y pesca	8
2016	22	Huesca	Indefinido	2	Industria y energía	16
2016	22	Huesca	Temporal	2	Industria y energía	8
2016	22	Huesca	Indefinido	3	Construcción	5
2016	22	Huesca	Temporal	3	Construcción	3
2016	22	Huesca	Indefinido	4	Servicios	70
2016	22	Huesca	Temporal	4	Servicios	54
2016	44	Teruel	Indefinido	1	Agricultura, ganadería y pesca	2
2016	44	Teruel	Temporal	1	Agricultura, ganadería y pesca	6
2016	44	Teruel	Indefinido	2	Industria y energía	20
2016	44	Teruel	Temporal	2	Industria y energía	5
2016	44	Teruel	Indefinido	3	Construcción	3
2016	44	Teruel	Temporal	3	Construcción	2
2016	44	Teruel	Indefinido	4	Servicios	32
2016	44	Teruel	Temporal	4	Servicios	38
2016	50	Zaragoza	Indefinido	1	Agricultura, ganadería y pesca	6
2016	50	Zaragoza	Temporal	1	Agricultura, ganadería y pesca	20
2016	50	Zaragoza	Indefinido	2	Industria y energía	140
2016	50	Zaragoza	Temporal	2	Industria y energía	66
2016	50	Zaragoza	Indefinido	3	Construcción	29
2016	50	Zaragoza	Temporal	3	Construcción	17
2016	50	Zaragoza	Indefinido	4	Servicios	831
2016	50	Zaragoza	Temporal	4	Servicios	392
2015	22	Huesca	Indefinido	1	Agricultura, ganadería y pesca	8
2015	22	Huesca	Temporal	1	Agricultura, ganadería y pesca	9
2015	22	Huesca	Indefinido	2	Industria y energía	16
2015	22	Huesca	Temporal	2	Industria y energía	9
2015	22	Huesca	Indefinido	3	Construcción	4
2015	22	Huesca	Temporal	3	Construcción	4
2015	22	Huesca	Indefinido	4	Servicios	85
2015	22	Huesca	Temporal	4	Servicios	44
2015	44	Teruel	Temporal	1	Agricultura, ganadería y pesca	1
2015	44	Teruel	Sin clasificar	1	Agricultura, ganadería y pesca	1
