Provincia código	Provincia nombre	REGTENEN ORDEN	Régimen de tenencia (agregado)	Régimen de tenencia (detalle)	Número hogares
22	Huesca		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	2373
22	Huesca		Otra forma	Otra forma	2222
22	Huesca	1	En propiedad	En propiedad, por compra totalmente pagada	33995
22	Huesca	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	13572
22	Huesca	1	En propiedad	En propiedad, por herencia o donación	15504
22	Huesca	2	En alquiler	En alquiler	6120
44	Teruel		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	2007
44	Teruel		Otra forma	Otra forma	1885
44	Teruel	1	En propiedad	En propiedad, por compra totalmente pagada	25842
44	Teruel	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	6214
44	Teruel	1	En propiedad	En propiedad, por herencia o donación	11688
44	Teruel	2	En alquiler	En alquiler	3434
50	Zaragoza		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	7350
50	Zaragoza		Otra forma	Otra forma	7539
50	Zaragoza	1	En propiedad	En propiedad, por compra totalmente pagada	167165
50	Zaragoza	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	76999
50	Zaragoza	1	En propiedad	En propiedad, por herencia o donación	24220
50	Zaragoza	2	En alquiler	En alquiler	35114
