Comarca codigo	Comarca nombre	Explotaciones	Formación jefe explotación
24	Campo de Daroca	965	Experiencia agraria exclusivamente
24	Campo de Daroca	151	Otra formación agraria o cursos agrarios
25	Jiloca	126	Estudios profesionales agrarios
25	Jiloca	16	Estudios universitarios agrarios
25	Jiloca	1560	Experiencia agraria exclusivamente
25	Jiloca	192	Otra formación agraria o cursos agrarios
26	Cuencas Mineras	26	Estudios profesionales agrarios
26	Cuencas Mineras	13	Estudios universitarios agrarios
26	Cuencas Mineras	525	Experiencia agraria exclusivamente
26	Cuencas Mineras	71	Otra formación agraria o cursos agrarios
27	Andorra-Sierra de Arcos	4	Estudios profesionales agrarios
27	Andorra-Sierra de Arcos	7	Estudios universitarios agrarios
27	Andorra-Sierra de Arcos	699	Experiencia agraria exclusivamente
27	Andorra-Sierra de Arcos	47	Otra formación agraria o cursos agrarios
28	Bajo Aragón	61	Estudios profesionales agrarios
28	Bajo Aragón	22	Estudios universitarios agrarios
28	Bajo Aragón	1837	Experiencia agraria exclusivamente
28	Bajo Aragón	225	Otra formación agraria o cursos agrarios
29	Comunidad de Teruel	111	Estudios profesionales agrarios
29	Comunidad de Teruel	18	Estudios universitarios agrarios
29	Comunidad de Teruel	1800	Experiencia agraria exclusivamente
29	Comunidad de Teruel	218	Otra formación agraria o cursos agrarios
30	Maestrazgo	22	Estudios profesionales agrarios
30	Maestrazgo	7	Estudios universitarios agrarios
30	Maestrazgo	510	Experiencia agraria exclusivamente
30	Maestrazgo	57	Otra formación agraria o cursos agrarios
31	Sierra de Albarracín	19	Estudios profesionales agrarios
31	Sierra de Albarracín	10	Estudios universitarios agrarios
31	Sierra de Albarracín	322	Experiencia agraria exclusivamente
31	Sierra de Albarracín	12	Otra formación agraria o cursos agrarios
32	Gúdar-Javalambre	25	Estudios profesionales agrarios
32	Gúdar-Javalambre	8	Estudios universitarios agrarios
32	Gúdar-Javalambre	720	Experiencia agraria exclusivamente
32	Gúdar-Javalambre	45	Otra formación agraria o cursos agrarios
33	Matarraña / Matarranya	53	Estudios profesionales agrarios
33	Matarraña / Matarranya	11	Estudios universitarios agrarios
33	Matarraña / Matarranya	1405	Experiencia agraria exclusivamente
33	Matarraña / Matarranya	161	Otra formación agraria o cursos agrarios
