Año	Residencia área código	Residencia continente nombre	Residencia área nombre	Inscripción provincia código	Inscripción provincia nombre	Sexo	Personas
2009	01	Europa	UE-27	22	Huesca	Hombre	1149
2009	01	Europa	UE-27	22	Huesca	Mujer	1168
2009	01	Europa	UE-27	44	Teruel	Hombre	790
2009	01	Europa	UE-27	44	Teruel	Mujer	769
2009	01	Europa	UE-27	50	Zaragoza	Hombre	3124
2009	01	Europa	UE-27	50	Zaragoza	Mujer	3565
2009	02	Europa	Resto de Europa	22	Huesca	Hombre	179
2009	02	Europa	Resto de Europa	22	Huesca	Mujer	199
2009	02	Europa	Resto de Europa	44	Teruel	Hombre	83
2009	02	Europa	Resto de Europa	44	Teruel	Mujer	109
2009	02	Europa	Resto de Europa	50	Zaragoza	Hombre	479
2009	02	Europa	Resto de Europa	50	Zaragoza	Mujer	552
2009	03	África	Magreb	22	Huesca	Hombre	9
2009	03	África	Magreb	22	Huesca	Mujer	10
2009	03	África	Magreb	44	Teruel	Hombre	5
2009	03	África	Magreb	44	Teruel	Mujer	6
2009	03	África	Magreb	50	Zaragoza	Hombre	47
2009	03	África	Magreb	50	Zaragoza	Mujer	49
2009	04	África	Resto de África	22	Huesca	Hombre	15
2009	04	África	Resto de África	22	Huesca	Mujer	13
2009	04	África	Resto de África	44	Teruel	Hombre	6
2009	04	África	Resto de África	44	Teruel	Mujer	5
2009	04	África	Resto de África	50	Zaragoza	Hombre	79
2009	04	África	Resto de África	50	Zaragoza	Mujer	62
2009	05	América	América del Norte	22	Huesca	Hombre	85
2009	05	América	América del Norte	22	Huesca	Mujer	104
2009	05	América	América del Norte	44	Teruel	Hombre	99
2009	05	América	América del Norte	44	Teruel	Mujer	103
2009	05	América	América del Norte	50	Zaragoza	Hombre	558
2009	05	América	América del Norte	50	Zaragoza	Mujer	850
2009	06	América	Resto de América	22	Huesca	Hombre	958
2009	06	América	Resto de América	22	Huesca	Mujer	1089
2009	06	América	Resto de América	44	Teruel	Hombre	763
2009	06	América	Resto de América	44	Teruel	Mujer	822
2009	06	América	Resto de América	50	Zaragoza	Hombre	3251
2009	06	América	Resto de América	50	Zaragoza	Mujer	3401
2009	07	Asia	Asia	22	Huesca	Hombre	19
2009	07	Asia	Asia	22	Huesca	Mujer	10
2009	07	Asia	Asia	44	Teruel	Hombre	9
2009	07	Asia	Asia	44	Teruel	Mujer	7
2009	07	Asia	Asia	50	Zaragoza	Hombre	171
