Sistema de suministro de agua, código	Sistema de suministro de agua	Viviendas con agua corriente	Número de viviendas	Comarca codigo	Comarca nombre
1	Agua corriente por abastecimiento público	7414,8641250986	7414,8641250986	01	La Jacetania
1	Agua corriente por abastecimiento público	5793,9918867456	5793,9918867456	02	Alto Gállego
1	Agua corriente por abastecimiento público	2958,3356300141	2958,3356300141	03	Sobrarbe
1	Agua corriente por abastecimiento público	5100,3289389235	5100,3289389235	04	La Ribagorza
1	Agua corriente por abastecimiento público	12233,3062922465	12233,3062922465	05	Cinco Villas
1	Agua corriente por abastecimiento público	26752,278462986	26752,278462986	06	Hoya de Huesca / Plana de Uesca
1	Agua corriente por abastecimiento público	9580,1586541351	9580,1586541351	07	Somontano de Barbastro
1	Agua corriente por abastecimiento público	9074,6097593163	9074,6097593163	08	Cinca Medio
1	Agua corriente por abastecimiento público	7161,6616447002	7161,6616447002	09	La Litera / La Llitera
1	Agua corriente por abastecimiento público	7790,1473791618	7790,1473791618	10	Los Monegros
1	Agua corriente por abastecimiento público	8713,7050942275	8713,7050942275	11	Bajo Cinca / Baix Cinca
1	Agua corriente por abastecimiento público	5888,9950240768	5888,9950240768	12	Tarazona y el Moncayo
1	Agua corriente por abastecimiento público	5746,3997218865	5746,3997218865	13	Campo de Borja
1	Agua corriente por abastecimiento público	2864,5324569175	2864,5324569175	14	Aranda
1	Agua corriente por abastecimiento público	10434,4332463301	10434,4332463301	15	Ribera Alta del Ebro
1	Agua corriente por abastecimiento público	11224,4803396256	11224,4803396256	16	Valdejalón
1	Agua corriente por abastecimiento público	299939,117884718	299939,117884718	17	D.C. Zaragoza
1	Agua corriente por abastecimiento público	3734,6024992321	3734,6024992321	18	Ribera Baja del Ebro
1	Agua corriente por abastecimiento público	5452,7075949938	5452,7075949938	19	Bajo Aragón-Caspe / Baix Aragó-Casp
1	Agua corriente por abastecimiento público	16440,3681720177	16440,3681720177	20	Comunidad de Calatayud
1	Agua corriente por abastecimiento público	4217,3620502392	4217,3620502392	21	Campo de Cariñena
1	Agua corriente por abastecimiento público	2205,1333087575	2205,1333087575	22	Campo de Belchite
1	Agua corriente por abastecimiento público	2820,7276298428	2820,7276298428	23	Bajo Martín
1	Agua corriente por abastecimiento público	2736,1827517964	2736,1827517964	24	Campo de Daroca
1	Agua corriente por abastecimiento público	5541,6930944449	5541,6930944449	25	Jiloca
1	Agua corriente por abastecimiento público	3399,1130743913	3399,1130743913	26	Cuencas Mineras
1	Agua corriente por abastecimiento público	4356,7775341263	4356,7775341263	27	Andorra-Sierra de Arcos
1	Agua corriente por abastecimiento público	11456,2783905971	11456,2783905971	28	Bajo Aragón
1	Agua corriente por abastecimiento público	17601,7241774561	17601,7241774561	29	Comunidad de Teruel
1	Agua corriente por abastecimiento público	1412,3581879473	1412,3581879473	30	Maestrazgo
1	Agua corriente por abastecimiento público	2030,8559412457	2030,8559412457	31	Sierra de Albarracín
1	Agua corriente por abastecimiento público	3296,9197629044	3296,9197629044	32	Gúdar-Javalambre
1	Agua corriente por abastecimiento público	3435,6995245385	3435,6995245385	33	Matarraña / Matarranya
2	Agua corriente por abastecimiento privado o particular del edificio	142,9022523259	142,9022523259	01	La Jacetania
2	Agua corriente por abastecimiento privado o particular del edificio	113,6906310518	113,6906310518	02	Alto Gállego
2	Agua corriente por abastecimiento privado o particular del edificio	45,2352387985	45,2352387985	03	Sobrarbe
2	Agua corriente por abastecimiento privado o particular del edificio	215,8400281982	215,8400281982	04	La Ribagorza
2	Agua corriente por abastecimiento privado o particular del edificio	245,4171401169	245,4171401169	05	Cinco Villas
2	Agua corriente por abastecimiento privado o particular del edificio	358,5829778601	358,5829778601	06	Hoya de Huesca / Plana de Uesca
2	Agua corriente por abastecimiento privado o particular del edificio	281,4254187706	281,4254187706	07	Somontano de Barbastro
2	Agua corriente por abastecimiento privado o particular del edificio	100,8313407313	100,8313407313	08	Cinca Medio
2	Agua corriente por abastecimiento privado o particular del edificio	213,206772167	213,206772167	09	La Litera / La Llitera
2	Agua corriente por abastecimiento privado o particular del edificio	64,6031053441	64,6031053441	10	Los Monegros
2	Agua corriente por abastecimiento privado o particular del edificio	245,9533232832	245,9533232832	11	Bajo Cinca / Baix Cinca
2	Agua corriente por abastecimiento privado o particular del edificio	48,9060887059	48,9060887059	12	Tarazona y el Moncayo
2	Agua corriente por abastecimiento privado o particular del edificio	52,700283096	52,700283096	13	Campo de Borja
2	Agua corriente por abastecimiento privado o particular del edificio	30,8903305378	30,8903305378	14	Aranda
2	Agua corriente por abastecimiento privado o particular del edificio	171,723025531	171,723025531	15	Ribera Alta del Ebro
2	Agua corriente por abastecimiento privado o particular del edificio	156,8994276686	156,8994276686	16	Valdejalón
2	Agua corriente por abastecimiento privado o particular del edificio	5915,6978798555	5915,6978798555	17	D.C. Zaragoza
2	Agua corriente por abastecimiento privado o particular del edificio	32,6057527	32,6057527	18	Ribera Baja del Ebro
2	Agua corriente por abastecimiento privado o particular del edificio	90,7444789423	90,7444789423	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2	Agua corriente por abastecimiento privado o particular del edificio	116,9412689172	116,9412689172	20	Comunidad de Calatayud
2	Agua corriente por abastecimiento privado o particular del edificio	104,476093266	104,476093266	21	Campo de Cariñena
2	Agua corriente por abastecimiento privado o particular del edificio	7,4916045094	7,4916045094	22	Campo de Belchite
2	Agua corriente por abastecimiento privado o particular del edificio	37,4144175088	37,4144175088	23	Bajo Martín
2	Agua corriente por abastecimiento privado o particular del edificio	13,7517399048	13,7517399048	24	Campo de Daroca
2	Agua corriente por abastecimiento privado o particular del edificio	37,8545464037	37,8545464037	25	Jiloca
2	Agua corriente por abastecimiento privado o particular del edificio	46,7693300391	46,7693300391	26	Cuencas Mineras
2	Agua corriente por abastecimiento privado o particular del edificio	55,268084342	55,268084342	27	Andorra-Sierra de Arcos
2	Agua corriente por abastecimiento privado o particular del edificio	140,0601254855	140,0601254855	28	Bajo Aragón
2	Agua corriente por abastecimiento privado o particular del edificio	245,2477713771	245,2477713771	29	Comunidad de Teruel
2	Agua corriente por abastecimiento privado o particular del edificio	53,5020487892	53,5020487892	30	Maestrazgo
2	Agua corriente por abastecimiento privado o particular del edificio	10,4724455858	10,4724455858	31	Sierra de Albarracín
2	Agua corriente por abastecimiento privado o particular del edificio	63,5630729414	63,5630729414	32	Gúdar-Javalambre
2	Agua corriente por abastecimiento privado o particular del edificio	22,8649446426	22,8649446426	33	Matarraña / Matarranya
3	No tiene agua corriente		13,350634265	01	La Jacetania
3	No tiene agua corriente		6,9569314577	02	Alto Gállego
3	No tiene agua corriente		1,8034250928	03	Sobrarbe
3	No tiene agua corriente		2,9952721104	04	La Ribagorza
3	No tiene agua corriente		1,7350277103	05	Cinco Villas
3	No tiene agua corriente		11,622233366	06	Hoya de Huesca / Plana de Uesca
3	No tiene agua corriente		2,1455310264	07	Somontano de Barbastro
3	No tiene agua corriente		10,677698246	08	Cinca Medio
3	No tiene agua corriente		13,3230024723	09	La Litera / La Llitera
3	No tiene agua corriente		4,5213067385	10	Los Monegros
3	No tiene agua corriente		14,9216338184	15	Ribera Alta del Ebro
3	No tiene agua corriente		5,4357783809	16	Valdejalón
3	No tiene agua corriente		359,7515113391	17	D.C. Zaragoza
3	No tiene agua corriente		4,0855485147	18	Ribera Baja del Ebro
3	No tiene agua corriente		75,8433764293	20	Comunidad de Calatayud
3	No tiene agua corriente		2,6165739132	21	Campo de Cariñena
3	No tiene agua corriente		1,7914262255	22	Campo de Belchite
3	No tiene agua corriente		1,0823846846	28	Bajo Aragón
3	No tiene agua corriente		4,9697108781	29	Comunidad de Teruel
3	No tiene agua corriente		5,4239109253	30	Maestrazgo
3	No tiene agua corriente		4,7050530796	31	Sierra de Albarracín
3	No tiene agua corriente		25,9637113979	32	Gúdar-Javalambre
3	No tiene agua corriente		1,353851022	33	Matarraña / Matarranya
