Año	Comarca código	Comarca nombre	VAB	Sector VAB código	Sector VAB descripción
2015	02	Alto Gállego	76866,1	22	C Industria manufacturera
2015	03	Sobrarbe	4914,8	22	C Industria manufacturera
2015	04	La Ribagorza	11875,1	22	C Industria manufacturera
2015	05	Cinco Villas	119915,8	22	C Industria manufacturera
2015	06	Hoya de Huesca / Plana de Uesca	112119,4	22	C Industria manufacturera
2015	07	Somontano de Barbastro	118827,7	22	C Industria manufacturera
2015	08	Cinca Medio	143696,1	22	C Industria manufacturera
2015	09	La Litera / La Llitera	111278,5	22	C Industria manufacturera
2015	10	Los Monegros	37956	22	C Industria manufacturera
2015	11	Bajo Cinca / Baix Cinca	97129	22	C Industria manufacturera
2015	12	Tarazona y el Moncayo	42074,2	22	C Industria manufacturera
2015	13	Campo de Borja	88107,8	22	C Industria manufacturera
2015	14	Aranda	39247,8	22	C Industria manufacturera
2015	15	Ribera Alta del Ebro	675020	22	C Industria manufacturera
2015	16	Valdejalón	253647	22	C Industria manufacturera
2015	17	D.C. Zaragoza	2884301,6	22	C Industria manufacturera
2015	18	Ribera Baja del Ebro	64484,5	22	C Industria manufacturera
2015	19	Bajo Aragón-Caspe / Baix Aragó-Casp	18056,5	22	C Industria manufacturera
2015	20	Comunidad de Calatayud	44859,9	22	C Industria manufacturera
2015	21	Campo de Cariñena	121022,1	22	C Industria manufacturera
2015	22	Campo de Belchite	5251,5	22	C Industria manufacturera
2015	23	Bajo Martín	32272,2	22	C Industria manufacturera
2015	24	Campo de Daroca	13333,6	22	C Industria manufacturera
2015	25	Jiloca	36990	22	C Industria manufacturera
2015	26	Cuencas Mineras	41257,6	22	C Industria manufacturera
2015	27	Andorra-Sierra de Arcos	30624,1	22	C Industria manufacturera
2015	28	Bajo Aragón	87112,4	22	C Industria manufacturera
2015	29	Comunidad de Teruel	122472,6	22	C Industria manufacturera
2015	30	Maestrazgo	4762,9	22	C Industria manufacturera
2015	31	Sierra de Albarracín	4392,8	22	C Industria manufacturera
2015	32	Gúdar-Javalambre	25434,2	22	C Industria manufacturera
2015	33	Matarraña / Matarranya	18588,8	22	C Industria manufacturera
2015	01	La Jacetania	36730	30	F Construcción
2015	02	Alto Gállego	28067,4	30	F Construcción
2015	03	Sobrarbe	22373,9	30	F Construcción
2015	04	La Ribagorza	37074,1	30	F Construcción
2015	05	Cinco Villas	58988	30	F Construcción
2015	06	Hoya de Huesca / Plana de Uesca	105112,9	30	F Construcción
2015	07	Somontano de Barbastro	41636,8	30	F Construcción
2015	08	Cinca Medio	44125,1	30	F Construcción
2015	09	La Litera / La Llitera	36848,6	30	F Construcción
2015	10	Los Monegros	46488,1	30	F Construcción
2015	11	Bajo Cinca / Baix Cinca	40841,8	30	F Construcción
2015	12	Tarazona y el Moncayo	20783,9	30	F Construcción
2015	13	Campo de Borja	21252,2	30	F Construcción
2015	14	Aranda	9028,4	30	F Construcción
2015	15	Ribera Alta del Ebro	41989,8	30	F Construcción
2015	16	Valdejalón	43526,8	30	F Construcción
2015	17	D.C. Zaragoza	756936,8	30	F Construcción
2015	18	Ribera Baja del Ebro	17234,2	30	F Construcción
2015	19	Bajo Aragón-Caspe / Baix Aragó-Casp	23904	30	F Construcción
2015	20	Comunidad de Calatayud	51948,9	30	F Construcción
2015	21	Campo de Cariñena	16049,5	30	F Construcción
2015	22	Campo de Belchite	10426,5	30	F Construcción
2015	23	Bajo Martín	12545,1	30	F Construcción
2015	24	Campo de Daroca	11341,6	30	F Construcción
