CCAA código	CCAA nombre	Corine Land Cover 2000 nivel 5 código	Corine Land Cover 2000 nivel 5 descripción	Superficie (has)	Año
02	Aragón	11100	Tejido urbano continuo	15415,539694	2000
02	Aragón	11210	Estructura urbana abierta	2815,415679	2000
02	Aragón	11220	Urbanizaciones extensas y/o ajardinadas	4056,660663	2000
02	Aragón	12110	Zonas industriales	8116,099125	2000
02	Aragón	12120	Grandes superficies de equipamientos y servicios	108,195532	2000
02	Aragón	12210	Autopistas, autovías y terrenos asociados	5570,749487	2000
02	Aragón	12220	Complejos ferroviarios	202,290357	2000
02	Aragón	12400	Aeropuertos	832,299287	2000
02	Aragón	13100	Zonas de extracción minera	5900,88635	2000
02	Aragón	13200	Escombreras y vertederos	694,16352	2000
02	Aragón	13300	Zonas en construcción	4484,210959	2000
02	Aragón	14100	Zonas verdes urbanas	213,067368	2000
02	Aragón	14210	Campos de golf	206,886404	2000
02	Aragón	14220	Resto de instalaciones deportivas y recreativas	569,315578	2000
02	Aragón	21100	Tierras de labor en secano	1242557,666632	2000
02	Aragón	21210	Cultivos herbáceos en regadío	381567,378758	2000
02	Aragón	21300	Arrozales	14092,595845	2000
02	Aragón	22110	Viñedos en secano	29518,947651	2000
02	Aragón	22120	Viñedos en regadío	5053,795817	2000
02	Aragón	22210	Frutales en secano	10287,514663	2000
02	Aragón	22223	Otros frutales en regadío	25069,034823	2000
02	Aragón	22310	Olivares en secano	10774,924257	2000
02	Aragón	22320	Olivares en regadío	2890,202023	2000
02	Aragón	23100	Prados y praderas	20203,083687	2000
02	Aragón	24211	Mosaico de cultivos anuales con prados o praderas en secano	18019,39891	2000
02	Aragón	24212	Mosaico de cultivos permanentes en secano	56660,403705	2000
02	Aragón	24213	Mosaico de cultivos anuales con cultivos  permanentes en  secano	151349,539607	2000
02	Aragón	24221	Mosaico de cultivos anuales con prados o praderas en regadío	894,864399	2000
02	Aragón	24222	Mosaico de cultivos permanentes en regadío	2831,490278	2000
02	Aragón	24223	Mosaico de cultivos anuales con cultivos permanentes en regadío	54424,253234	2000
02	Aragón	24310	Mosaico de cultivos agrícolas en secano con espacios significativos de vegetación natural y semi-natural	291406,094059	2000
02	Aragón	24320	Mosaico de cultivos agrícolas en regadío con espacios significativos de vegetación natural y semi-natural	3055,112628	2000
02	Aragón	24330	Mosaico de prados o praderas con espacios significativos de vegetación natural y semi-natural	886,768521	2000
02	Aragón	31110	Perennifolias	115049,303127	2000
02	Aragón	31120	Caducifolias y marcescentes	66865,632735	2000
02	Aragón	31130	Otras frondosas de plantación	6831,416564	2000
02	Aragón	31140	Mezcla de frondosas	26669,58139	2000
02	Aragón	31150	Bosques de ribera	10040,838578	2000
02	Aragón	31210	Bosques de coníferas con hojas aciculares	570510,04492	2000
02	Aragón	31220	Bosques de coníferas con hojas de tipo cupresáceo	19030,366143	2000
02	Aragón	31300	Bosque mixto	104029,148683	2000
02	Aragón	32111	Pastizales supraforestales templado-oceánicos, pirenaicos y orocantábricos	60505,083937	2000
02	Aragón	32112	Pastizales supraforestales mediterráneos	803,714513	2000
02	Aragón	32122	Otros pastizales mediterráneos	104372,192315	2000
02	Aragón	32210	Landas y matorrales en climas húmedos. Vegetación mesófila	30253,536724	2000
02	Aragón	32311	Grandes formaciones de matorral denso o medianamente denso	325703,031769	2000
02	Aragón	32312	Matorrales subarbustivos o arbustivos muy poco densos	401017,448769	2000
02	Aragón	32410	Matorral boscoso de frondosas	122680,423665	2000
02	Aragón	32420	Matorral boscoso de coníferas	219802,002672	2000
02	Aragón	32430	Matorral boscoso de bosque mixto	42443,84277	2000
02	Aragón	33120	Ramblas con poca o sin vegetación	7878,893345	2000
02	Aragón	33210	Rocas desnudas con fuerte pendiente (acantilados, etc.)	19239,58882	2000
02	Aragón	33220	Afloramientos rocosos y canchales	35214,796559	2000
02	Aragón	33310	Xeroestepa subdesértica	32466,518069	2000
02	Aragón	33320	Cárcavas y/o zonas en proceso de erosión	17730,767259	2000
02	Aragón	33330	Espacios orófilos altitudinales con vegetación escasa	29586,319567	2000
02	Aragón	33400	Zonas quemadas	61,662868	2000
02	Aragón	33500	Glaciares y nieves permanentes	501,011924	2000
02	Aragón	41100	Humedales y zonas pantanosas	4133,36413	2000
02	Aragón	41200	Turberas y prados turbosos	187,629036	2000
02	Aragón	51110	Ríos y cauces naturales	6372,991997	2000
02	Aragón	51120	Canales artificiales	250,680578	2000
02	Aragón	51210	Lagos y lagunas	1790,886381	2000
02	Aragón	51220	Embalses	19693,476324	2000
