Año	Dirección Provincial Código	Dirección Provincial Nombre	Nº Accidentes	Grupo Grado Código	Grupo Grado Código	Régimen Código (2 dígitos)	Régimen (2 dígitos)
2020	22	Huesca	3201	Leves	1	01	General
2020	22	Huesca	219	Leves	1	05	Trabajadores Autónomos
2020	44	Teruel	1422	Leves	1	01	General
2020	44	Teruel	169	Leves	1	05	Trabajadores Autónomos
2020	50	Zaragoza	9789	Leves	1	01	General
2020	50	Zaragoza	578	Leves	1	05	Trabajadores Autónomos
2019	22	Huesca	3165	Leves	1	01	General
2019	22	Huesca	224	Leves	1	05	Trabajadores Autónomos
2019	44	Teruel	1383	Leves	1	01	General
2019	44	Teruel	163	Leves	1	05	Trabajadores Autónomos
2019	44	Teruel	4	Leves	1	09	Especial Minería del Carbón
2019	50	Zaragoza	10888	Leves	1	01	General
2019	50	Zaragoza	592	Leves	1	05	Trabajadores Autónomos
2019	50	Zaragoza	1	Leves	1	08	Especial Trabajadores del Mar
2018	22	Huesca	2794	Leves	1	01	General
2018	22	Huesca	49	Leves	1	05	Trabajadores Autónomos
2018	44	Teruel	1478	Leves	1	01	General
2018	44	Teruel	64	Leves	1	05	Trabajadores Autónomos
2018	44	Teruel	4	Leves	1	09	Especial Minería del Carbón
2018	50	Zaragoza	10911	Leves	1	01	General
2018	50	Zaragoza	145	Leves	1	05	Trabajadores Autónomos
2018	50	Zaragoza	1	Leves	1	08	Especial Trabajadores del Mar
2017	22	Huesca	2651	Leves	1	01	General
2017	22	Huesca	58	Leves	1	05	Trabajadores Autónomos
2017	44	Teruel	1292	Leves	1	01	General
2017	44	Teruel	48	Leves	1	05	Trabajadores Autónomos
2017	44	Teruel	7	Leves	1	09	Especial Minería del Carbón
2017	50	Zaragoza	10214	Leves	1	01	General
2017	50	Zaragoza	168	Leves	1	05	Trabajadores Autónomos
2016	22	Huesca	2439	Leves	1	01	General
2016	22	Huesca	58	Leves	1	05	Trabajadores Autónomos
2016	44	Teruel	1369	Leves	1	01	General
2016	44	Teruel	73	Leves	1	05	Trabajadores Autónomos
2016	44	Teruel	1	Leves	1	08	Especial Trabajadores del Mar
2016	44	Teruel	85	Leves	1	09	Especial Minería del Carbón
2016	50	Zaragoza	9571	Leves	1	01	General
2016	50	Zaragoza	161	Leves	1	05	Trabajadores Autónomos
2016	50	Zaragoza	2	Leves	1	08	Especial Trabajadores del Mar
2015	22	Huesca	2202	Leves	1	01	General
2015	22	Huesca	60	Leves	1	05	Trabajadores Autónomos
2015	22	Huesca	1	Leves	1	08	Especial Trabajadores del Mar
2015	44	Teruel	871	Leves	1	01	General
2015	44	Teruel	54	Leves	1	05	Trabajadores Autónomos
