Año	CCAA nombre	Número total de explotaciones	Explotaciones sin tierras	Explotaciones con tierras con < 25% de su propiedad	Explotaciones con tierras con >=25% y <50% de su propiedad	Explotaciones con tierras con >=50% y  <75% de su propiedad	Explotaciones con tierras con >=75% y  <100% de su propiedad	Explotaciones con tierras cuya superficie es totalmente de su propiedad	Explotaciones con tierras
1999	Aragón	80021	1777	10649	4883	5495	6452	50765	78244
1989	Aragón	100731	1082	12511	6422	7317	8052	65347	99649
