Año	Código del municipio	Nombre del municipio	Personas que son mano de obra familiar	Personas mano obra familiar con remuneración	Personas mano obra familiar sin remuneración	Personas jefes de explotación	Total jornadas completas	Total jornadas parciales	Personas asalariados fijos total	Personas asalariados fijos varones	Personas asalariadas fijas mujeres	Unidades de trabajo/año totales
1989	22090	Colungo	94	0	94	65	4852	4302	2	2	0	25
1989	22094	Chalamera	72	0	72	37	10781	3909	2	2	0	43
1989	22095	Chía	37	0	37	24	5387	3250	3	3	0	25
1989	22096	Chimillas	19	0	19	19	2264	19	2	2	0	9
1989	22099	Esplús	197	2	195	159	13359	13853	107	107	0	183
1989	22102	Estada	67	0	67	63	7435	2894	8	7	1	36
1989	22103	Estadilla	259	0	259	166	19659	15588	15	14	1	105
1989	22105	Estopiñán del Castillo	114	0	114	101	14875	3926	12	12	0	68
1989	22106	Fago	11	0	11	8	1420	549	0	0	0	6
1989	22107	Fanlo	23	0	23	13	2093	1351	13	13	0	10
1989	22109	Fiscal	91	0	91	82	8645	2477	7	6	1	41
1989	22110	Fonz	258	6	252	219	38775	10591	19	19	0	157
1989	22111	Foradada del Toscar	99	0	99	55	10350	5068	15	15	0	49
1989	22112	Fraga	2110	4	2106	1153	266980	60101	84	83	1	1218
1989	22113	Fueva (La)	314	0	314	226	19741	25182	46	46	0	123
1989	22114	Gistaín	105	0	105	66	11088	6923	2	2	0	51
1989	22115	Grado (El)	257	0	257	214	10593	16396	16	16	0	70
1989	22116	Grañén	333	2	331	253	48661	8805	76	76	0	263
1989	22117	Graus	622	0	622	451	44335	18894	41	40	1	205
1989	22119	Gurrea de Gállego	368	2	366	290	60212	8862	27	27	0	253
1989	22122	Hoz de Jaca	28	0	28	18	2374	180	1	1	0	9
1989	22124	Huerto	110	0	110	85	6451	12555	13	12	1	56
1989	22125	Huesca	283	1	282	215	39686	3495	170	169	1	292
1989	22126	Ibieca	41	0	41	31	1574	595	7	7	0	14
1989	22127	Igriés	35	0	35	25	5625	519	9	9	0	25
1989	22128	Ilche	99	0	99	81	11465	7096	9	8	1	63
1989	22129	Isábena	102	0	102	59	6968	3494	20	20	0	34
1989	22130	Jaca	418	1	417	317	51088	24031	20	20	0	223
1989	22131	Jasa	22	0	22	13	3139	1445	1	1	0	13
1989	22133	Labuerda	47	0	47	45	2310	2564	3	3	0	14
1989	22135	Laluenga	103	0	103	78	10515	7448	3	3	0	53
1989	22136	Lalueza	400	0	400	305	48635	8613	32	32	0	221
1989	22137	Lanaja	355	0	355	290	38800	6607	30	30	0	187
1989	22139	Laperdiguera	31	0	31	24	3553	1465	1	1	0	15
1989	22141	Lascellas-Ponzano	55	0	55	51	4365	1827	1	1	0	21
1989	22142	Lascuarre	63	0	63	41	6072	2378	7	6	1	31
1989	22143	Laspaúles	98	0	98	62	14887	7510	12	12	0	69
1989	22144	Laspuña	92	0	92	62	2760	7074	2	2	0	23
1989	22149	Loarre	126	0	126	126	14515	484	10	10	0	56
1989	22150	Loporzano	219	1	218	174	11018	8741	27	25	2	78
1989	22151	Loscorrales	49	0	49	47	6848	65	9	9	0	33
1989	22155	Monesma y Cajigar	60	0	60	27	6494	3308	24	24	0	34
1989	22156	Monflorite-Lascasas	62	0	62	41	4576	2991	10	10	0	29
1989	22157	Montanuy	147	0	147	85	22224	11977	17	17	0	105
1989	22158	Monzón	956	3	953	805	73238	51257	84	79	5	426
1989	22160	Naval	103	1	102	85	5576	5436	9	9	0	30
1989	22162	Novales	40	0	40	37	2552	5053	4	4	0	21
1989	22163	Nueno	99	1	98	75	7514	1431	25	25	0	44
1989	22164	Olvena	36	0	36	28	3210	585	3	3	0	13
1989	22165	Ontiñena	145	0	145	132	22080	2078	6	6	0	76
1989	22167	Osso de Cinca	293	0	293	139	43444	8040	19	19	0	183
1989	22168	Palo	32	0	32	32	676	676	3	3	0	4
1989	22170	Panticosa	72	0	72	58	4710	3262	7	7	0	23
1989	22172	Peñalba	138	0	138	110	14127	1165	24	24	0	73
1989	22173	Peñas de Riglos (Las)	88	0	88	88	5792	1134	15	14	1	26
1989	22174	Peralta de Alcofea	157	1	156	114	18909	9851	20	20	0	104
1989	22175	Peralta de Calasanz	278	0	278	219	19062	17391	10	10	0	99
1989	22176	Peraltilla	50	0	50	45	4750	2620	1	1	0	21
1989	22177	Perarrúa	81	0	81	56	4430	3262	8	8	0	22
1989	22178	Pertusa	34	0	34	25	3940	1707	4	4	0	21
1989	22181	Piracés	26	0	26	22	3190	679	1	1	0	14
1989	22182	Plan	110	0	110	72	8467	9589	5	5	0	46
1989	22184	Poleñino	67	0	67	53	10700	1054	7	7	0	46
1989	22186	Pozán de Vero	105	0	105	90	10428	7646	3	3	0	51
1989	22187	Puebla de Castro (La)	114	0	114	93	4097	3578	6	5	1	24
1989	22188	Puente de Montañana	37	0	37	23	2315	764	4	4	0	11
1989	22189	Puértolas	76	0	76	54	5020	5256	13	13	0	28
1989	22190	Pueyo de Araguás (El)	64	0	64	49	7290	3474	8	8	0	32
1989	22193	Pueyo de Santa Cruz	86	0	86	73	5395	3635	6	6	0	33
