Provincia código	Provincia nombre	Tipo variación	Sexo	Año	Variaciones
44	Teruel	Externa	Mujeres	2010	2101
44	Teruel	Interna	Hombres	2010	1058
44	Teruel	Interna	Mujeres	2010	908
50	Zaragoza	Externa	Hombres	2010	10460
50	Zaragoza	Externa	Mujeres	2010	10312
50	Zaragoza	Interna	Hombres	2010	6458
50	Zaragoza	Interna	Mujeres	2010	6440
22	Huesca	Externa	Hombres	2009	3508
22	Huesca	Externa	Mujeres	2009	3027
22	Huesca	Interna	Hombres	2009	1507
22	Huesca	Interna	Mujeres	2009	1525
44	Teruel	Externa	Hombres	2009	2308
44	Teruel	Externa	Mujeres	2009	2062
44	Teruel	Interna	Hombres	2009	1076
44	Teruel	Interna	Mujeres	2009	849
50	Zaragoza	Externa	Hombres	2009	11253
50	Zaragoza	Externa	Mujeres	2009	10627
50	Zaragoza	Interna	Hombres	2009	6202
50	Zaragoza	Interna	Mujeres	2009	6259
22	Huesca	Externa	Hombres	2008	4733
22	Huesca	Externa	Mujeres	2008	3662
22	Huesca	Interna	Hombres	2008	1563
22	Huesca	Interna	Mujeres	2008	1558
44	Teruel	Externa	Hombres	2008	3319
44	Teruel	Externa	Mujeres	2008	2471
44	Teruel	Interna	Hombres	2008	1092
44	Teruel	Interna	Mujeres	2008	883
50	Zaragoza	Externa	Hombres	2008	17226
50	Zaragoza	Externa	Mujeres	2008	14105
50	Zaragoza	Interna	Hombres	2008	6129
50	Zaragoza	Interna	Mujeres	2008	6135
