Año	Código de la provincia	Provincia	Unidades ganaderas	Ganado bovino (cabezas)	Ganado bovino-vacas lecheras (cabezas)	Ganado bovino-resto bovino (cabezas)	Ganado ovino (cabezas)	Ganado caprino (cabezas)	Ganado porcino (cabezas)	Ganado porcino-cerdas madres (cabezas)	Ganado porcino-resto porcino (cabezas)	Ganado equino (cabezas)	Miles de aves	Conejas madres (cabezas)
1989	22	Huesca	415020	115367	9767	105600	660260	19498	735211	64468	670743	775	6516	21458
1989	44	Teruel	184259	17974	2633	15341	826531	21601	267679	39491	228188	1714	1391	40522
1989	50	Zaragoza	322028	46729	8885	37844	920752	30220	513767	52458	461309	1782	6407	34042
1999	22	Huesca	740783	214812	7324	207488	850369	27712	1657605	103391	1554214	1569	6753,935	36356
1999	44	Teruel	323461	35529	861	34668	922064	23803	680376	72493	607883	634	2651,671	100665
1999	50	Zaragoza	641865	84245	6711	77534	1089716	27097	1331079	151060	1180019	988	11140,484	42578
