Aragón	Accesible	Ascensor	Portero	Portero automático	Gas	Teléfono	Agua corriente	Agua caliente central	Evacuación aguas residuales	Número de edificios
Aragón	Accesible	Con ascensor	 No aplicable	Con portero automático	Con gas	Con teléfono	Agua corriente abastecimiento privado	Con agua caliente	Alcantarillado	6
Aragón	Accesible	Con ascensor	 No aplicable	Con portero automático	Con gas	Con teléfono	Agua corriente abastecimiento privado	Con agua caliente	Otro tipo de evacuación	1
Aragón	Accesible	Con ascensor	 No aplicable	Con portero automático	Con gas	Con teléfono	Agua corriente abastecimiento privado	Sin agua caliente	Alcantarillado	2
Aragón	Accesible	Con ascensor	 No aplicable	Con portero automático	Con gas	Con teléfono	Agua corriente abastecimiento privado	Sin agua caliente	Otro tipo de evacuación	1
Aragón	Accesible	Con ascensor	 No aplicable	Con portero automático	Con gas	Con teléfono	Agua corriente abastecimiento público	Con agua caliente	Alcantarillado	1370
Aragón	Accesible	Con ascensor	 No aplicable	Con portero automático	Con gas	Con teléfono	Agua corriente abastecimiento público	Con agua caliente	Otro tipo de evacuación	1
Aragón	Accesible	Con ascensor	 No aplicable	Con portero automático	Con gas	Con teléfono	Agua corriente abastecimiento público	Sin agua caliente	Alcantarillado	1707
Aragón	Accesible	Con ascensor	 No aplicable	Con portero automático	Con gas	Con teléfono	Agua corriente abastecimiento público	Sin agua caliente	Otro tipo de evacuación	2
Aragón	Accesible	Con ascensor	 No aplicable	Con portero automático	Con gas	Con teléfono	Sin agua corriente	Sin agua caliente	Sin evacuación	1
Aragón	Accesible	Con ascensor	 No aplicable	Con portero automático	Con gas	Sin teléfono	Agua corriente abastecimiento público	Con agua caliente	Alcantarillado	4
Aragón	Accesible	Con ascensor	 No aplicable	Con portero automático	Con gas	Sin teléfono	Agua corriente abastecimiento público	Sin agua caliente	Alcantarillado	10
Aragón	Accesible	Con ascensor	 No aplicable	Con portero automático	Sin gas	Con teléfono	Agua corriente abastecimiento privado	Con agua caliente	Alcantarillado	2
Aragón	Accesible	Con ascensor	 No aplicable	Con portero automático	Sin gas	Con teléfono	Agua corriente abastecimiento privado	Sin agua caliente	Otro tipo de evacuación	1
Aragón	Accesible	Con ascensor	 No aplicable	Con portero automático	Sin gas	Con teléfono	Agua corriente abastecimiento público	Con agua caliente	Alcantarillado	699
Aragón	Accesible	Con ascensor	 No aplicable	Con portero automático	Sin gas	Con teléfono	Agua corriente abastecimiento público	Con agua caliente	Otro tipo de evacuación	1
Aragón	Accesible	Con ascensor	 No aplicable	Con portero automático	Sin gas	Con teléfono	Agua corriente abastecimiento público	Sin agua caliente	Alcantarillado	569
Aragón	Accesible	Con ascensor	 No aplicable	Con portero automático	Sin gas	Con teléfono	Agua corriente abastecimiento público	Sin agua caliente	Otro tipo de evacuación	1
Aragón	Accesible	Con ascensor	 No aplicable	Con portero automático	Sin gas	Con teléfono	Agua corriente abastecimiento público	Sin agua caliente	Sin evacuación	1
Aragón	Accesible	Con ascensor	 No aplicable	Con portero automático	Sin gas	Con teléfono	Sin agua corriente	Sin agua caliente	Sin evacuación	2
Aragón	Accesible	Con ascensor	 No aplicable	Con portero automático	Sin gas	Sin teléfono	Agua corriente abastecimiento público	Con agua caliente	Alcantarillado	26
Aragón	Accesible	Con ascensor	 No aplicable	Con portero automático	Sin gas	Sin teléfono	Agua corriente abastecimiento público	Sin agua caliente	Alcantarillado	29
Aragón	Accesible	Con ascensor	 No aplicable	Con portero automático	Sin gas	Sin teléfono	Sin agua corriente	Sin agua caliente	Sin evacuación	3
Aragón	Accesible	Con ascensor	Con portero	Con portero automático	Con gas	Con teléfono	Agua corriente abastecimiento público	Con agua caliente	Alcantarillado	460
Aragón	Accesible	Con ascensor	Con portero	Con portero automático	Con gas	Con teléfono	Agua corriente abastecimiento público	Sin agua caliente	Alcantarillado	208
Aragón	Accesible	Con ascensor	Con portero	Con portero automático	Con gas	Con teléfono	Agua corriente abastecimiento público	Sin agua caliente	Otro tipo de evacuación	1
Aragón	Accesible	Con ascensor	Con portero	Con portero automático	Con gas	Sin teléfono	Agua corriente abastecimiento público	Sin agua caliente	Alcantarillado	1
Aragón	Accesible	Con ascensor	Con portero	Con portero automático	Sin gas	Con teléfono	Agua corriente abastecimiento público	Con agua caliente	Alcantarillado	360
