Municipio código	Municipio nombre	Número total de explotaciones 	Unidades ganaderas totales	Número de explotaciones sin ganado	Número de explotaciones con ganado
22001	Abiego	53	1761,73	42	11
22002	Abizanda	27	1292,122	13	14
22003	Adahuesca	56	2931,021	39	17
22004	Agüero	26	34,5	24	2
22006	Aísa	20	561,804	9	11
22007	Albalate de Cinca	154	6738,408	118	36
22008	Albalatillo	17	2981,993	6	11
22009	Albelda	259	18581,823	180	79
22011	Albero Alto	21	3102,6	19	2
22012	Albero Bajo	32	849,8	28	4
22013	Alberuela de Tubo	41	1612,7	29	12
22014	Alcalá de Gurrea	44	151,692	38	6
22015	Alcalá del Obispo	80	11322,1	60	20
22016	Alcampell	195	12368,082	139	56
22017	Alcolea de Cinca	164	13125,092	119	45
22018	Alcubierre	79	18343,876	41	38
22019	Alerre	14	160,2	12	2
22020	Alfántega	23	4262,224	16	7
22021	Almudévar	331	6946,416	282	49
22022	Almunia de San Juan	77	4636,682	58	19
22023	Almuniente	107	11400,168	82	25
22024	Alquézar	55	333,372	45	10
22025	Altorricón	180	26135,066	93	87
22027	Angüés	65	2578,5	55	10
22028	Ansó	25	1275,388	5	20
22029	Antillón	40	2648,6	31	9
22032	Aragüés del Puerto	9	96,918	5	4
22035	Arén	85	5387,027	37	48
22036	Argavieso	28	2088	25	3
22037	Arguis	14	643,109	6	8
22039	Ayerbe	91	261,836	82	9
22040	Azanuy-Alins	62	1146,391	52	10
22041	Azara	39	748,386	34	5
22042	Azlor	40	359,182	26	14
22043	Baells	46	955,184	40	6
22044	Bailo	71	1548,038	43	28
22045	Baldellou	51	1146,6	45	6
22046	Ballobar	147	2979,842	122	25
22047	Banastás	5	5,2	4	1
22048	Barbastro	374	7556,601	327	47
22049	Barbués	31	2765,6	27	4
22050	Barbuñales	25	0	0	0
22051	Bárcabo	68	2988,184	29	39
22052	Belver de Cinca	231	17642,821	159	72
22053	Benabarre	164	17020,273	94	70
22054	Benasque	40	3273,804	11	29
22055	Berbegal	89	3181,252	74	15
22057	Bielsa	25	472,012	10	15
22058	Bierge	111	2763,988	65	46
22059	Biescas	84	1925,198	35	49
22060	Binaced	272	16415,465	213	59
22061	Binéfar	181	5321,449	140	41
22062	Bisaurri	48	1560,512	15	33
22063	Biscarrués	50	2226,22	41	9
22064	Blecua y Torres	43	5040,132	25	18
22066	Boltaña	46	1778,998	15	31
22067	Bonansa	13	876,968	2	11
22068	Borau	6	301,094	1	5
22069	Broto	49	1735,742	8	41
22072	Caldearenas	64	2087,313	33	31
22074	Campo	13	1506,35	2	11
22075	Camporrells	48	2904,096	33	15
22076	Canal de Berdún	102	1137,441	83	19
22077	Candasnos	102	4705,127	85	17
22078	Canfranc	4	20,34	2	2
22079	Capdesaso	23	756,7	18	5
22080	Capella	65	8616,499	42	23
22081	Casbas de Huesca	99	3631,852	70	29
22082	Castejón del Puente	53	888,312	44	9
22083	Castejón de Monegros	127	12426,399	98	29
22084	Castejón de Sos	28	844,4	11	17
22085	Castelflorite	42	2290,254	33	9
22086	Castiello de Jaca	15	770,332	11	4
22087	Castigaleu	20	698,25	10	10
22088	Castillazuelo	46	1123,362	40	6
22089	Castillonroy	77	5568,388	60	17
22090	Colungo	43	363,555	39	4
22094	Chalamera	28	3503,461	14	14
22095	Chía	12	454,404	4	8
22096	Chimillas	12	51,678	10	2
22099	Esplús	117	9430,038	78	39
22102	Estada	31	1344,5	24	7
22103	Estadilla	131	8774,036	94	37
22105	Estopiñán del Castillo	85	11801,336	54	31
22106	Fago	1	0	0	0
22107	Fanlo	31	1649,856	9	22
22109	Fiscal	36	1314,708	10	26
22110	Fonz	180	15830,25	124	56
22111	Foradada del Toscar	69	3947,491	22	47
22112	Fraga	831	54890,076	700	131
