Municipio código	Municipio nombre	Número total de explotaciones 	Unidades ganaderas totales	Número de explotaciones sin ganado	Número de explotaciones con ganado
22113	Fueva (La)	128	7044,929	45	83
22114	Gistaín	34	571	13	21
22115	Grado (El)	104	2722,868	91	13
22116	Grañén	206	28615,368	143	63
22117	Graus	283	11359,873	177	106
22119	Gurrea de Gállego	211	4813,868	186	25
22122	Hoz de Jaca	5	104,812	2	3
22124	Huerto	87	1239,956	76	11
22125	Huesca	316	40713,002	251	65
22126	Ibieca	23	1542,2	19	4
22127	Igriés	31	11853,78	25	6
22128	Ilche	88	4305,54	58	30
22129	Isábena	53	2586,959	17	36
22130	Jaca	206	5175,983	123	83
22131	Jasa	6	251,734	0	6
22133	Labuerda	9	185,48	6	3
22135	Laluenga	58	5691,889	44	14
22136	Lalueza	196	16874,262	142	54
22137	Lanaja	234	14194,184	178	56
22139	Laperdiguera	21	3074,624	10	11
22141	Lascellas-Ponzano	48	2885,358	33	15
22142	Lascuarre	29	2475,086	18	11
22143	Laspaúles	38	1536,811	10	28
22144	Laspuña	32	1546,96	8	24
22149	Loarre	81	2732,616	57	24
22150	Loporzano	116	6439,847	93	23
22151	Loscorrales	37	156,02	33	4
22155	Monesma y Cajigar	32	1041,636	18	14
22156	Monflorite-Lascasas	45	2307,7	33	12
22157	Montanuy	98	5444,661	12	86
22158	Monzón	477	19699,76	367	110
22160	Naval	38	2044,805	22	16
22162	Novales	24	2239,968	20	4
22163	Nueno	68	8738,832	37	31
22164	Olvena	23	424,22	20	3
22165	Ontiñena	138	4005,534	98	40
22167	Osso de Cinca	124	9701,258	75	49
22168	Palo	12	5421,356	8	4
22170	Panticosa	19	591,084	3	16
22172	Peñalba	137	11511,371	112	25
22173	Peñas de Riglos (Las)	50	389,036	36	14
22174	Peralta de Alcofea	141	13762,643	111	30
22175	Peralta de Calasanz	106	1352,004	89	17
22176	Peraltilla	37	1665,138	30	7
22177	Perarrúa	25	1413,658	8	17
22178	Pertusa	33	1386,9	24	9
22181	Piracés	25	557	20	5
22182	Plan	40	775,937	13	27
22184	Poleñino	55	6492,632	36	19
22186	Pozán de Vero	60	204,886	56	4
22187	Puebla de Castro (La)	40	494,424	35	5
22188	Puente de Montañana	10	108,8	7	3
22189	Puértolas	25	1997,212	8	17
22190	Pueyo de Araguás (El)	36	2654,122	14	22
22193	Pueyo de Santa Cruz	36	2778,107	26	10
22195	Quicena	15	194,9	11	4
22197	Robres	131	21763,491	63	68
22199	Sabiñánigo	170	5064,697	102	68
22200	Sahún	25	485,802	13	12
22201	Salas Altas	97	600,489	94	3
22202	Salas Bajas	45	0,118	44	1
22203	Salillas	21	4046,544	10	11
22204	Sallent de Gállego	64	2095,479	33	31
22205	San Esteban de Litera	240	6718,439	183	57
22206	Sangarrén	47	2746,484	39	8
22207	San Juan de Plan	24	693,452	4	20
22208	Santa Cilia	31	593,359	19	12
22209	Santa Cruz de la Serós	22	336,088	10	12
22212	Santaliestra y San Quílez	14	151,8	12	2
22213	Sariñena	383	20755,244	297	86
22214	Secastilla	25	1461,212	21	4
22215	Seira	23	202,648	14	9
22217	Sena	132	3579,659	101	31
22218	Senés de Alcubierre	21	2610,99	15	6
22220	Sesa	34	2585,1	28	6
22221	Sesué	11	222,22	2	9
22222	Siétamo	60	5437,004	44	16
22223	Sopeira	22	386,622	10	12
22225	Tamarite de Litera	480	51994,196	307	173
22226	Tardienta	78	1871,45	56	22
22227	Tella-Sin	22	897,122	5	17
22228	Tierz	16	1321,9	12	4
22229	Tolva	60	2494,868	33	27
22230	Torla	35	938,906	7	28
22232	Torralba de Aragón	46	1711,5	32	14
22233	Torre la Ribera	23	658,319	12	11
22234	Torrente de Cinca	92	3240,58	80	12
22235	Torres de Alcanadre	23	1430,7	20	3
22236	Torres de Barbués	46	3429,495	35	11
22239	Tramaced	29	4385,6	14	15
22242	Valfarta	30	80,1	27	3
22243	Valle de Bardají	29	1891,565	2	27
22244	Valle de Lierp	34	1386,896	11	23
22245	Velilla de Cinca	53	3398,112	47	6
22246	Veracruz	20	198,631	12	8
22247	Viacamp y Litera	42	2082,367	14	28
22248	Vicién	11	216	10	1
22249	Villanova	8	142,242	3	5
22250	Villanúa	13	252,444	5	8
22251	Villanueva de Sigena	122	7028,14	92	30
22252	Yebra de Basa	26	523,496	7	19
22253	Yésero	3	74,9	1	2
22254	Zaidín	324	41980,137	233	91
22901	Valle de Hecho	64	2185,941	21	43
22902	Puente la Reina de Jaca	47	1201,661	27	20
22903	San Miguel del Cinca	201	15046,668	155	46
22904	Sotonera (La)	222	5416,322	196	26
22905	Lupiñén-Ortilla	71	4782,568	59	12
22906	Santa María de Dulcis	60	411,84	51	9
22907	Aínsa-Sobrarbe	133	4417,066	59	74
22908	Hoz y Costeán	98	1201,444	85	13
22909	Vencillón	70	7298,515	34	36
44001	Ababuj	21	329,928	15	6
44002	Abejuela	11	7,2	10	1
44003	Aguatón	9	120,061	6	3
44004	Aguaviva	42	3434,416	27	15
44005	Aguilar del Alfambra	21	198,391	14	7
44006	Alacón	70	2199,618	50	20
44007	Alba	63	2625,346	41	22
44008	Albalate del Arzobispo	337	2932,775	316	21
44009	Albarracín	55	2107,1	28	27
44010	Albentosa	53	678,965	42	11
44011	Alcaine	9	198,6	5	4
44012	Alcalá de la Selva	36	725,895	19	17
44013	Alcañiz	620	12641,068	531	89
44014	Alcorisa	352	2782,02	315	37
44016	Alfambra	113	2565,381	77	36
44017	Aliaga	53	1750,701	23	30
44018	Almohaja	6	364,1	2	4
44019	Alobras	12	424,63	6	6
44020	Alpeñés	12	161,4	6	6
44021	Allepuz	42	1518,89	18	24
44022	Alloza	213	756,32	194	19
44023	Allueva	1	0	0	0
44024	Anadón	5	103,898	2	3
44025	Andorra	265	3420,766	240	25
44026	Arcos de las Salinas	13	378,184	5	8
44027	Arens de Lledó	62	983,015	56	6
44028	Argente	68	2131,027	50	18
44029	Ariño	39	15,868	32	7
44031	Azaila	38	150,8	33	5
44032	Bádenas	8	92,2	7	1
44033	Báguena	113	2274,9	103	10
44034	Bañón	41	1163,52	25	16
44035	Barrachina	18	1730,21	14	4
44036	Bea	5	0	0	0
44037	Beceite	60	3019,956	38	22
44038	Belmonte de San José	48	1210,2	43	5
44039	Bello	86	108,197	75	11
44040	Berge	45	490,68	38	7
44041	Bezas	3	88,8	1	2
44042	Blancas	41	4597,3	34	7
44043	Blesa	28	128,086	21	7
44044	Bordón	22	2227,068	6	16
44045	Bronchales	15	260,5	10	5
44046	Bueña	23	926,448	11	12
44047	Burbáguena	65	598,554	58	7
44048	Cabra de Mora	14	347,386	8	6
44049	Calaceite	242	3383,362	220	22
44050	Calamocha	297	8713,983	220	77
44051	Calanda	324	8760,32	286	38
44052	Calomarde	8	58,848	5	3
44053	Camañas	36	2196,441	26	10
44054	Camarena de la Sierra	7	121,2	2	5
44055	Camarillas	26	290,378	18	8
44056	Caminreal	131	7421,419	90	41
44059	Cantavieja	80	6194,781	18	62
44060	Cañada de Benatanduz	17	969,828	7	10
44061	Cañada de Verich (La)	8	2271,42	6	2
44062	Cañada Vellida	22	103,8	15	7
44063	Cañizar del Olivar	9	0,084	7	2
44064	Cascante del Río	15	133,856	11	4
44065	Castejón de Tornos	24	661,3	22	2
44066	Castel de Cabra	13	541,4	7	6
44067	Castelnou	21	314,2	17	4
44068	Castelserás	83	5189,59	64	19
44070	Castellar (El)	19	361,342	10	9
44071	Castellote	157	4039,937	113	44
44074	Cedrillas	79	2161,488	50	29
44075	Celadas	99	739,452	73	26
44076	Cella	280	4664,024	218	62
44077	Cerollera (La)	10	563	6	4
44080	Codoñera (La)	45	5247,5	35	10
44082	Corbalán	16	413,708	8	8
44084	Cortes de Aragón	15	794,122	12	3
44085	Cosa	33	1308,304	21	12
44086	Cretas	165	3700,773	147	18
44087	Crivillén	20	286,1	16	4
44088	Cuba (La)	12	1203,208	2	10
44089	Cubla	12	0	0	0
44090	Cucalón	28	844	23	5
44092	Cuervo (El)	11	0	10	1
44093	Cuevas de Almudén	28	208,7	24	4
44094	Cuevas Labradas	21	256,861	14	7
44096	Ejulve	27	1906,316	15	12
44097	Escorihuela	55	1379,357	33	22
44099	Escucha	22	239,452	12	10
44100	Estercuel	17	137,18	12	5
44101	Ferreruela de Huerva	19	392,8	16	3
44102	Fonfría	6	207,1	2	4
44103	Formiche Alto	35	658,654	19	16
44105	Fórnoles	35	41,32	31	4
44106	Fortanete	44	794,45	24	20
44107	Foz-Calanda	59	8397,448	41	18
44108	Fresneda (La)	93	3492,728	74	19
44109	Frías de Albarracín	15	540,8	6	9
44110	Fuenferrada	17	78,3	13	4
44111	Fuentes Calientes	34	4124,574	20	14
44112	Fuentes Claras	80	4714,338	59	21
44113	Fuentes de Rubielos	6	87,77	2	4
44114	Fuentespalda	73	4739	54	19
44115	Galve	35	1229,32	20	15
44116	Gargallo	13	147,52	10	3
44117	Gea de Albarracín	22	66,412	19	3
44118	Ginebrosa (La)	68	3899,024	43	25
44119	Griegos	14	84,68	9	5
44120	Guadalaviar	31	1756,036	4	27
44121	Gúdar	20	1475	3	17
44122	Híjar	130	2919	109	21
44123	Hinojosa de Jarque	42	4889,699	33	9
44124	Hoz de la Vieja (La)	20	137,508	12	8
44125	Huesa del Común	22	256,59	14	8
44126	Iglesuela del Cid (La)	18	977,016	3	15
44127	Jabaloyas	8	138,7	4	4
44128	Jarque de la Val	23	86,196	19	4
44129	Jatiel	11	749,9	7	4
44130	Jorcas	8	27,27	5	3
44131	Josa	6	225,124	4	2
44132	Lagueruela	17	203,2	12	5
44133	Lanzuela	11	44	9	2
44135	Libros	46	56,04	43	3
44136	Lidón	24	242,784	18	6
44137	Linares de Mora	33	1114,834	13	20
44138	Loscos	42	187,974	35	7
44141	Lledó	39	4460,484	30	9
44142	Maicas	13	603	2	11
44143	Manzanera	45	680,102	27	18
44144	Martín del Río	28	968,809	18	10
44145	Mas de las Matas	83	2836,568	62	21
44146	Mata de los Olmos (La)	32	3315,648	22	10
44147	Mazaleón	156	1644,55	148	8
44148	Mezquita de Jarque	20	392,796	14	6
44149	Mirambel	27	4301,44	2	25
44150	Miravete de la Sierra	14	185,3	8	6
44151	Molinos	66	3001,026	45	21
44152	Monforte de Moyuela	23	167,558	17	6
44153	Monreal del Campo	146	4928,232	118	28
44154	Monroyo	72	8654,924	33	39
44155	Montalbán	15	292,13	6	9
44156	Monteagudo del Castillo	18	207,938	13	5
44157	Monterde de Albarracín	9	107,919	5	4
44158	Mora de Rubielos	76	715,534	48	28
44159	Moscardón	8	69,724	6	2
44160	Mosqueruela	77	2406,15	31	46
44161	Muniesa	132	1895,96	110	22
44163	Noguera de Albarracín	4	17,1	2	2
44164	Nogueras	15	128,31	9	6
44165	Nogueruelas	14	194,804	7	7
44167	Obón	14	0	13	1
44168	Odón	70	2261,916	53	17
44169	Ojos Negros	63	2562,956	37	26
44171	Olba	8	16,182	4	4
44172	Oliete	93	732,984	82	11
44173	Olmos (Los)	48	1918,995	37	11
44174	Orihuela del Tremedal	21	610,1	14	7
44175	Orrios	48	456,06	31	17
44176	Palomar de Arroyos	17	349,926	8	9
44177	Pancrudo	48	353,13	37	11
44178	Parras de Castellote (Las)	21	209,896	12	9
44179	Peñarroya de Tastavins	84	8608,84	36	48
44180	Peracense	15	87,4	10	5
44181	Peralejos	16	131,78	11	5
44182	Perales del Alfambra	58	1274,128	38	20
44183	Pitarque	13	283,14	5	8
44184	Plou	9	114,5	7	2
44185	Pobo (El)	34	810,968	30	4
44187	Portellada (La)	61	3828,271	44	17
44189	Pozondón	18	101,3	14	4
44190	Pozuel del Campo	17	118,3	15	2
44191	Puebla de Híjar (La)	86	4393,3	55	31
44192	Puebla de Valverde (La)	70	1936,46	38	32
44193	Puertomingalvo	29	368,04	12	17
44194	Ráfales	54	634,629	42	12
44195	Rillo	18	239,3	11	7
44196	Riodeva	26	112	24	2
44197	Ródenas	13	187,885	10	3
44198	Royuela	17	154,076	11	6
44199	Rubiales	4	49,2	2	2
44200	Rubielos de la Cérida	24	62,5	20	4
44201	Rubielos de Mora	27	965,409	12	15
44203	Salcedillo	3	64,6	2	1
44204	Saldón	6	0	0	0
44205	Samper de Calanda	102	5543,644	71	31
44206	San Agustín	38	142,44	24	14
44207	San Martín del Río	80	1,52	78	2
44208	Santa Cruz de Nogueras	3	0	0	0
44209	Santa Eulalia	104	2793,962	88	16
44210	Sarrión	131	894,896	103	28
44211	Segura de los Baños	15	0,098	14	1
44212	Seno	19	112,844	15	4
44213	Singra	21	272,567	17	4
44215	Terriente	30	1444,433	16	14
44216	Teruel	273	5204,233	199	74
44217	Toril y Masegoso	8	134,768	5	3
44219	Tornos	68	99,426	63	5
44220	Torralba de los Sisones	42	1446,16	22	20
44221	Torrecilla de Alcañiz	62	1766,7	49	13
44222	Torrecilla del Rebollar	31	374,73	25	6
44223	Torre de Arcas	19	1887,506	6	13
44224	Torre de las Arcas	12	117,77	9	3
44225	Torre del Compte	36	340,8	31	5
44226	Torrelacárcel	57	352,192	45	12
44227	Torre los Negros	14	180,3	7	7
44228	Torremocha de Jiloca	27	619,44	23	4
44229	Torres de Albarracín	9	190,2	5	4
44230	Torrevelilla	45	3319,25	33	12
44231	Torrijas	5	38,1	4	1
44232	Torrijo del Campo	79	7128,29	45	34
44234	Tramacastiel	20	600,356	17	3
44235	Tramacastilla	7	1851,928	1	6
44236	Tronchón	22	1916,65	5	17
44237	Urrea de Gaén	81	1190,168	55	26
44238	Utrillas	13	495,86	6	7
44239	Valacloche	9	4,584	7	2
44240	Valbona	20	741,647	15	5
44241	Valdealgorfa	131	1211,4	122	9
44243	Valdecuenca	4	1,3	3	1
44244	Valdelinares	11	176,868	5	6
44245	Valdeltormo	35	1381,651	28	7
44246	Valderrobres	244	12685,095	172	72
44247	Valjunquera	100	945,38	94	6
44249	Vallecillo (El)	2	43	1	1
44250	Veguillas de la Sierra	5	5,808	2	3
44251	Villafranca del Campo	62	3565,74	37	25
44252	Villahermosa del Campo	18	389,51	15	3
44256	Villanueva del Rebollar de la Sierra	10	162,1	6	4
44257	Villar del Cobo	32	1328,712	5	27
44258	Villar del Salz	14	61	11	3
44260	Villarluengo	31	1374,221	7	24
44261	Villarquemado	129	7639,094	99	30
44262	Villarroya de los Pinares	31	766,42	17	14
44263	Villastar	30	1059,389	22	8
44264	Villel	33	1168,5	23	10
44265	Vinaceite	50	7048,43	27	23
44266	Visiedo	50	1114,145	30	20
44267	Vivel del Río Martín	17	504,608	8	9
44268	Zoma (La)	5	0,45	4	1
50001	Abanto	18	163,8	15	3
50002	Acered	75	74,5	73	2
50003	Agón	37	631,5	35	2
50004	Aguarón	218	1776	213	5
50005	Aguilón	63	34	61	2
50006	Ainzón	155	4095,81	145	10
50007	Aladrén	31	40,9	28	3
50008	Alagón	162	1007,276	149	13
50009	Alarba	40	0	0	0
50010	Alberite de San Juan	23	18,4	22	1
50011	Albeta	12	0	0	0
50012	Alborge	6	95,2	4	2
50013	Alcalá de Ebro	41	1606,644	38	3
50014	Alcalá de Moncayo	41	64	39	2
50015	Alconchel de Ariza	27	890,315	16	11
50016	Aldehuela de Liestos	18	0	0	0
50017	Alfajarín	113	1897,04	101	12
50018	Alfamén	297	8543	290	7
50019	Alforque	7	453	4	3
50020	Alhama de Aragón	29	1339,2	23	6
50021	Almochuel	10	3,9	9	1
50022	Almolda (La)	145	5451,1	120	25
50023	Almonacid de la Cuba	79	5029	64	15
50024	Almonacid de la Sierra	214	1785,9	211	3
50025	Almunia de Doña Godina (La)	378	3054,702	354	24
50026	Alpartir	164	1583	157	7
50027	Ambel	117	3045,995	100	17
50028	Anento	22	304,4	18	4
50029	Aniñón	185	696,3	180	5
50030	Añón de Moncayo	28	882,884	23	5
50031	Aranda de Moncayo	47	391,73	34	13
50032	Arándiga	89	2201,198	74	15
50033	Ardisa	16	272,498	13	3
50034	Ariza	64	932,196	41	23
50035	Artieda	10	1168,362	7	3
50036	Asín	10	0	9	1
50037	Atea	75	199,168	71	4
50038	Ateca	113	214,5	108	5
50039	Azuara	128	1722,4	115	13
50040	Badules	26	152,6	23	3
50041	Bagüés	10	583,534	3	7
50042	Balconchán	15	0	0	0
50043	Bárboles	45	400,275	39	6
50044	Bardallur	61	82,5	58	3
50045	Belchite	364	5021,276	338	26
50046	Belmonte de Gracián	54	120,7	47	7
50047	Berdejo	3	0	0	0
50048	Berrueco	16	95,5	14	2
50050	Bijuesca	18	309,4	14	4
50051	Biota	198	9396,318	169	29
50052	Bisimbre	21	142,5	20	1
50053	Boquiñeni	81	6692,5	62	19
50054	Bordalba	18	4,2	17	1
50055	Borja	316	1577,175	294	22
50056	Botorrita	23	380,9	20	3
50057	Brea de Aragón	40	17,408	36	4
50058	Bubierca	12	156,5	9	3
50059	Bujaraloz	166	13520,68	137	29
50060	Bulbuente	76	392,6	71	5
50061	Bureta	51	618,6	47	4
50062	Burgo de Ebro (El)	55	1683,6	47	8
50063	Buste (El)	25	118,4	23	2
50064	Cabañas de Ebro	40	641,8	37	3
50065	Cabolafuente	11	171,4	8	3
50066	Cadrete	20	1,6	19	1
50067	Calatayud	204	1884,292	181	23
50068	Calatorao	218	5440,324	203	15
50069	Calcena	3	456,8	1	2
50070	Calmarza	16	150,7	13	3
50071	Campillo de Aragón	47	76,5	45	2
50072	Carenas	19	57,2	17	2
50073	Cariñena	433	2020,085	427	6
50074	Caspe	640	40185,803	493	147
50075	Castejón de Alarba	41	225,5	38	3
50076	Castejón de las Armas	18	0	0	0
50077	Castejón de Valdejasa	75	1147	66	9
50078	Castiliscar	80	2666,3	76	4
50079	Cervera de la Cañada	91	929,18	84	7
50080	Cerveruela	3	0	0	0
50081	Cetina	58	471,884	43	15
50082	Cimballa	17	99,9	15	2
50083	Cinco Olivas	13	33,6	12	1
50084	Clarés de Ribota	22	69,9	20	2
50085	Codo	30	111,5	27	3
50086	Codos	58	453,6	49	9
50087	Contamina	8	52,812	6	2
50088	Cosuenda	136	1249,4	132	4
50089	Cuarte de Huerva	10	0	0	0
50090	Cubel	58	1465,63	41	17
50091	Cuerlas (Las)	32	38	31	1
50092	Chiprana	37	1800,46	34	3
50093	Chodes	29	1043,42	24	5
50094	Daroca	90	1069,274	81	9
50095	Ejea de los Caballeros	1038	81460,138	846	192
50096	Embid de Ariza	11	591,7	4	7
50098	Encinacorba	64	25,3	62	2
50099	Épila	344	5629,018	291	53
50100	Erla	54	810,05	50	4
50101	Escatrón	82	290,7	78	4
50102	Fabara	259	11490,84	209	50
50104	Farlete	86	3797,709	57	29
50105	Fayón	89	2051,5	84	5
50106	Fayos (Los)	9	0	0	0
50107	Figueruelas	48	562	45	3
50108	Fombuena	17	1312	7	10
50109	Frago (El)	15	25,6	14	1
50110	Frasno (El)	168	492,796	163	5
50111	Fréscano	35	352,6	29	6
50113	Fuendejalón	248	2387,09	236	12
50114	Fuendetodos	28	12767,5	23	5
50115	Fuentes de Ebro	325	4919,136	298	27
50116	Fuentes de Jiloca	53	1184,9	46	7
50117	Gallocanta	43	2186,4	37	6
50118	Gallur	120	992,18	112	8
50119	Gelsa	175	7974,86	133	42
50120	Godojos	21	45	20	1
50121	Gotor	50	353,324	46	4
50122	Grisel	18	9	17	1
50123	Grisén	21	0	0	0
50124	Herrera de los Navarros	129	2467,112	99	30
50125	Ibdes	81	2431,74	70	11
50126	Illueca	94	25,512	90	4
50128	Isuerre	11	67,908	9	2
50129	Jaraba	28	218,52	22	6
50130	Jarque	112	222,9	104	8
50131	Jaulín	47	1448,6	36	11
50132	Joyosa (La)	20	0	0	0
50133	Lagata	25	108,567	21	4
50134	Langa del Castillo	64	2593,2	54	10
50135	Layana	6	0	0	0
50136	Lécera	161	5771,2	144	17
50137	Leciñena	202	17567,862	156	46
50138	Lechón	12	74,326	9	3
50139	Letux	74	1540	62	12
50140	Litago	21	261,35	18	3
50141	Lituénigo	22	124,088	19	3
50142	Lobera de Onsella	14	110	12	2
50143	Longares	187	55,8	183	4
50144	Longás	7	94,7	4	3
50146	Lucena de Jalón	46	935,8	43	3
50147	Luceni	53	4683,568	38	15
50148	Luesia	64	5560,902	41	23
50149	Luesma	11	354,8	6	5
50150	Lumpiaque	107	815,026	93	14
50151	Luna	231	13591,923	179	52
50152	Maella	394	7092,5	374	20
50153	Magallón	177	8666,23	158	19
50154	Mainar	25	6133,604	18	7
50155	Malanquilla	27	0,168	26	1
50156	Maleján	4	0	0	0
50157	Malón	58	761,27	53	5
50159	Maluenda	117	889,062	112	5
50160	Mallén	160	12674,216	130	30
50161	Manchones	22	1870,6	20	2
50162	Mara	53	55,5	51	2
50163	María de Huerva	36	3528,5	28	8
50164	Mediana de Aragón	54	1326,314	37	17
50165	Mequinenza	335	5334,666	307	28
50166	Mesones de Isuela	90	2911,77	70	20
50167	Mezalocha	44	373,1	40	4
50168	Mianos	8	91,7	6	2
50169	Miedes de Aragón	112	2239,7	99	13
50170	Monegrillo	148	5342,2	118	30
50171	Moneva	58	1061,88	41	17
50172	Monreal de Ariza	52	652,01	40	12
50173	Monterde	34	334,492	27	7
50174	Montón	27	0	0	0
50175	Morata de Jalón	189	1772,7	178	11
50176	Morata de Jiloca	62	63,3	60	2
50177	Morés	49	98,9	47	2
50178	Moros	96	290,6	89	7
50179	Moyuela	50	2771,5	36	14
50180	Mozota	14	0	0	0
50181	Muel	104	5125,3	99	5
50182	Muela (La)	142	1919,733	131	11
50183	Munébrega	114	189,3	110	4
50184	Murero	27	302,48	24	3
50185	Murillo de Gállego	28	758,252	23	5
50186	Navardún	27	133,998	21	6
50187	Nigüella	21	71,9	20	1
50188	Nombrevilla	10	743,656	6	4
50189	Nonaspe	198	10423,464	172	26
50190	Novallas	110	754,6	106	4
50191	Novillas	120	3977,42	98	22
50192	Nuévalos	14	183,268	8	6
50193	Nuez de Ebro	21	1583	18	3
50194	Olvés	51	0	0	0
50195	Orcajo	17	0	16	1
50196	Orera	41	503,5	38	3
50197	Orés	40	159,584	34	6
50198	Oseja	12	0	0	0
50199	Osera de Ebro	30	221,2	28	2
50200	Paniza	208	4,5	207	1
50201	Paracuellos de Jiloca	65	74,5	63	2
50202	Paracuellos de la Ribera	56	2	55	1
50203	Pastriz	48	7,14	46	2
50204	Pedrola	172	965,25	152	20
50205	Pedrosas (Las)	22	96,5	19	3
50206	Perdiguera	102	2894,656	85	17
50207	Piedratajada	17	1720,428	13	4
50208	Pina de Ebro	325	7559,098	288	37
50209	Pinseque	57	1000,531	42	15
50210	Pintanos (Los)	17	308,6	13	4
50211	Plasencia de Jalón	48	3300,38	42	6
50212	Pleitas	8	1,8	7	1
50213	Plenas	36	810,7	31	5
50214	Pomer	3	76	2	1
50215	Pozuel de Ariza	8	52	6	2
50216	Pozuelo de Aragón	57	1448,428	54	3
50217	Pradilla de Ebro	77	2232,2	72	5
50218	Puebla de Albortón	64	2253,082	38	26
50219	Puebla de Alfindén (La)	40	115,7	36	4
50220	Puendeluna	9	0,252	8	1
50221	Purujosa	4	524,6	2	2
50222	Quinto	236	9717,348	179	57
50223	Remolinos	67	2913,966	55	12
50224	Retascón	40	0	0	0
50225	Ricla	339	19489,352	318	21
50227	Romanos	35	966,62	26	9
50228	Rueda de Jalón	111	1289,7	106	5
50229	Ruesca	22	441,8	19	3
50230	Sádaba	236	12733,09	184	52
50231	Salillas de Jalón	11	85,3	10	1
50232	Salvatierra de Esca	19	757,295	14	5
50233	Samper del Salz	6	189	5	1
50234	San Martín de la Virgen de Moncayo	15	599,79	9	6
50235	San Mateo de Gállego	101	5459,616	78	23
50236	Santa Cruz de Grío	60	72	58	2
50237	Santa Cruz de Moncayo	19	788,78	14	5
50238	Santa Eulalia de Gállego	17	337	15	2
50239	Santed	19	0	0	0
50240	Sástago	168	12836,252	137	31
50241	Saviñán	82	13,36	79	3
50242	Sediles	27	170,63	25	2
50243	Sestrica	124	220,9	119	5
50244	Sierra de Luna	56	4860,4	53	3
50245	Sigüés	20	389,089	16	4
50246	Sisamón	11	240,3	9	2
50247	Sobradiel	26	328,4	23	3
