Año	Municipio código	Municipio nombre	Urbano, parcelas	Urbano, superficie	Urbano, bienes inmuebles	Urbano, valor catastral total	Urbano, valor catastral construcción	Urbano, valor catastral suelo
2019	22001	Abiego	401	10,22	420	10048,8	8664,46	1384,33
2019	22002	Abizanda	167	15,82	173	5928,52	5624,29	304,22
2019	22003	Adahuesca	204	9,16	239	4048,54	3004,48	1044,05
2019	22004	Agüero	435	6,8	464	5880,28	4801,88	1078,4
2019	22006	Aísa	415	38,46	3345	106229,35	63386,52	42842,82
2019	22007	Albalate de Cinca	751	33,99	856	30826,4	21647,67	9178,72
2019	22008	Albalatillo	280	13,05	283	6055,99	4797,51	1258,47
2019	22009	Albelda	639	22,36	695	24515,61	18729,11	5786,49
2019	22011	Albero Alto	139	6,22	135	3913,4	2762,63	1150,76
2019	22012	Albero Bajo	144	10,29	155	4341,76	3477,19	864,56
2019	22013	Alberuela de Tubo	250	14,88	252	7883,06	6278,67	1604,38
2019	22014	Alcalá de Gurrea	328	80,12	342	13520,07	7746,34	5773,72
2019	22015	Alcalá del Obispo	482	13,47	496	10661,21	9008,27	1652,93
2019	22016	Alcampell	872	23,32	914	21242,05	17741,61	3500,43
2019	22017	Alcolea de Cinca	968	42,31	1276	32543,78	28660,57	3883,2
2019	22018	Alcubierre	450	14,93	465	8868,59	6592,58	2276,01
2019	22019	Alerre	231	15,03	231	8511	5764,86	2746,13
2019	22020	Alfántega	145	4,41	166	2884,91	2547,91	336,99
2019	22021	Almudévar	1779	149,86	2452	92826,7	70640,22	22186,47
2019	22022	Almunia de San Juan	655	35,61	716	19352	15138,92	4213,08
2019	22023	Almuniente	434	19,5	447	13073,61	10848	2225,61
2019	22024	Alquézar	411	11,24	484	21722,55	17923,76	3798,78
2019	22025	Altorricón	767	68,38	1128	38686,71	26566,99	12119,72
2019	22027	Angüés	555	31,86	561	11350,49	8099,65	3250,84
2019	22028	Ansó	528	12,36	786	14716,43	9484,23	5232,19
2019	22029	Antillón	134	3,22	135	2169,29	1835,04	334,24
2019	22032	Aragüés del Puerto	231	7,02	318	10398,88	5719,08	4679,79
2019	22035	Arén	529	17,89	724	9311,22	7933,77	1377,44
2019	22036	Argavieso	125	3,88	137	2965,73	2350,63	615,09
2019	22037	Arguis	312	19,68	334	8239,86	6404,99	1834,86
2019	22039	Ayerbe	1093	54,7	1579	56011,04	33608,95	22402,09
2019	22040	Azanuy-Alins	446	11,26	464	5660,93	4646,4	1014,53
2019	22041	Azara	218	7,7	222	4300,19	3460,5	839,68
2019	22042	Azlor	201	4,57	202	3103,18	2568,2	534,97
2019	22043	Baells	201	3,27	211	4857,3	3637,48	1219,82
2019	22044	Bailo	436	9,62	464	11298,33	8118,95	3179,38
2019	22045	Baldellou	266	4,89	271	3450,68	2935,59	515,09
2019	22046	Ballobar	1003	19,48	1058	21354,67	19721,01	1633,66
2019	22047	Banastás	203	13,16	204	7751,94	5925,89	1826,05
2019	22048	Barbastro	4002	494,24	15765	629384,18	488989,21	140394,96
2019	22049	Barbués	100	2,9	102	1202	1020,76	181,23
2019	22050	Barbuñales	142	4,34	148	3369,87	2940,64	429,23
2019	22051	Bárcabo	333	13,61	264	3080,4	2834,8	245,6
2019	22052	Belver de Cinca	785	34,15	925	21691,89	17621,66	4070,22
2019	22053	Benabarre	1290	61,46	1743	39533,24	30648,75	8884,49
2019	22054	Benasque	856	135,57	5335	368468,39	162888,56	205579,82
2019	22055	Berbegal	366	8,84	369	7762,33	6618,76	1143,57
2019	22057	Bielsa	577	34,09	1091	34763,74	32817,63	1946,1
2019	22058	Bierge	420	20,71	436	13362,1	9936,76	3425,34
2019	22059	Biescas	1868	160,29	6385	200552,74	117322,95	83229,78
2019	22060	Binaced	1163	63,6	1328	39576,47	27124,24	12452,22
2019	22061	Binéfar	2516	156,46	7309	388852,54	273850,79	115001,74
2019	22062	Bisaurri	269	6,75	306	7348,41	7066,4	282
2019	22063	Biscarrués	334	8,52	338	3255,42	2679,41	576,01
2019	22064	Blecua y Torres	228	8,67	228	6024,14	4336,08	1688,06
2019	22066	Boltaña	756	61,91	1782	110247,25	67619,74	42627,5
2019	22067	Bonansa	100	2,57	153	2016,67	1950,56	66,1
2019	22068	Borau	170	4,15	175	3046,36	2700,51	345,84
2019	22069	Broto	660	31,99	1437	38233,56	33254,06	4979,49
2019	22072	Caldearenas	559	28,78	587	8016,39	6344,28	1672,1
2019	22074	Campo	524	29,82	1213	53846,18	31202,86	22643,31
2019	22075	Camporrells	331	13,39	352	4969,76	4161,27	808,49
2019	22076	Canal de Berdún	782	24,26	814	24697,89	15016,27	9681,62
2019	22077	Candasnos	451	22,71	456	16386,22	14562,14	1824,07
2019	22078	Canfranc	219	21,63	2521	70884,71	35609,46	35275,25
2019	22079	Capdesaso	181	6,09	186	3223,89	2536,95	686,93
2019	22080	Capella	396	8,02	417	13388,89	9648,81	3740,07
2019	22081	Casbas de Huesca	647	28,13	655	13954,14	11664,79	2289,34
2019	22082	Castejón del Puente	352	29,73	413	16332,3	13776,97	2555,33
2019	22083	Castejón de Monegros	605	38,58	625	22551,77	14825,11	7726,66
2019	22084	Castejón de Sos	459	33,85	1368	62005,34	31793,41	30211,93
2019	22085	Castelflorite	117	4,7	118	3251,51	2650,72	600,79
2019	22086	Castiello de Jaca	346	23,75	1349	46159	22363,01	23795,99
2019	22087	Castigaleu	93	1,79	93	1677,85	1566,55	111,29
2019	22088	Castillazuelo	225	3,86	232	4615,37	3418,36	1197
2019	22089	Castillonroy	463	21,47	467	9985,06	8114,76	1870,29
2019	22090	Colungo	223	5,13	235	2196,14	1962,8	233,34
2019	22094	Chalamera	143	3,17	144	3156,86	2757,16	399,69
2019	22095	Chía	133	2,63	151	3404,15	3229,58	174,57
2019	22096	Chimillas	190	9,96	215	12199,46	10204,2	1995,26
2019	22099	Esplús	528	27,73	681	12432,65	10419,44	2013,21
2019	22102	Estada	212	4,03	229	6770,51	4400,38	2370,13
2019	22103	Estadilla	807	38,19	943	31303,15	22643,04	8660,1
2019	22105	Estopiñán del Castillo	437	23,32	443	5082,51	3878,79	1203,72
2019	22106	Fago	149	1,36	152	2218,56	1464,65	753,9
2019	22107	Fanlo	265	4,24	276	4115,61	3996,69	118,92
2019	22109	Fiscal	570	33,26	765	34778,74	21789,81	12988,93
2019	22110	Fonz	989	41,84	1081	34039,46	21432,69	12606,77
2019	22111	Foradada del Toscar	250	5,48	299	4702,25	4516,2	186,05
2019	22112	Fraga	3289	314,73	10790	600267,22	401784,84	198482,37
2019	22113	Fueva (La)	752	22,87	818	26293,81	19004,71	7289,1
2019	22114	Gistaín	152	3,05	173	3300,75	3081,52	219,23
2019	22115	Grado (El)	971	135,19	1098	51052,36	39454,16	11598,19
2019	22116	Grañén	1266	105,03	1592	60689,78	45756,17	14933,61
2019	22117	Graus	2274	94,84	4484	127083,07	83513,53	43569,53
2019	22119	Gurrea de Gállego	1315	101,27	1527	58044,9	43848,17	14196,72
2019	22122	Hoz de Jaca	218	7,02	251	11910,7	5276,42	6634,28
2019	22124	Huerto	346	11,09	367	6933,32	5771,06	1162,25
2019	22125	Huesca	5618	712,15	56496	2218030,47	1432949,5	785080,97
2019	22126	Ibieca	146	3,8	150	2026,94	1680,91	346,02
2019	22127	Igriés	401	37,43	457	17319,82	12921,81	4398,01
2019	22128	Ilche	297	11,47	301	5121,84	4257,68	864,15
2019	22129	Isábena	387	15,36	563	11815,7	10558,13	1257,56
2019	22130	Jaca	3227	434,39	28987	1233523,1	484089,67	749433,42
2019	22131	Jasa	234	5,2	357	13003,08	5783,25	7219,83
2019	22133	Labuerda	252	20,24	291	10292,34	9011,76	1280,57
2019	22135	Laluenga	274	15,4	278	9573,94	5778	3795,93
2019	22136	Lalueza	939	68,52	959	35152,89	26393,56	8759,32
2019	22137	Lanaja	1342	78,64	1418	36069,19	25278,21	10790,98
2019	22139	Laperdiguera	118	4,33	118	3210,53	2800,58	409,94
2019	22141	Lascellas-Ponzano	291	6,46	292	5975,58	5167,03	808,54
2019	22142	Lascuarre	215	3,62	244	4432,91	4234,8	198,11
2019	22143	Laspaúles	376	14,31	605	11612,13	10933,57	678,55
2019	22144	Laspuña	295	11,85	465	7601,53	6867,45	734,07
2019	22149	Loarre	645	22,06	697	11602,15	9381,89	2220,26
2019	22150	Loporzano	933	30,25	963	14023,65	11333,8	2689,84
2019	22151	Loscorrales	176	4,74	189	2001,53	1637,1	364,42
2019	22155	Monesma y Cajigar	79	1,23	80	1001,72	960,59	41,12
2019	22156	Monflorite-Lascasas	372	12,65	395	8435,98	7125,54	1310,43
2019	22157	Montanuy	453	15,86	521	7449,08	7186,61	262,47
2019	22158	Monzón	4790	633,48	15335	521518,33	395253,09	126265,24
2019	22160	Naval	293	5,65	330	5091,63	4738,1	353,52
2019	22162	Novales	144	6,1	144	4068,93	2692,8	1376,13
2019	22163	Nueno	641	47,71	653	22487	15456,39	7030,61
2019	22164	Olvena	89	0,94	89	1174,14	816,82	357,31
2019	22165	Ontiñena	589	14,77	614	13951,81	11444,12	2507,69
2019	22167	Osso de Cinca	435	15,86	472	13989,79	11698,71	2291,07
2019	22168	Palo	84	2,18	84	2691,38	1872,28	819,09
2019	22170	Panticosa	589	60,24	3855	220929,08	114370,82	106558,25
2019	22172	Peñalba	524	16,88	556	16677,17	11343,36	5333,8
2019	22173	Peñas de Riglos (Las)	872	45,43	926	16295,15	14684,72	1610,43
2019	22174	Peralta de Alcofea	740	29,13	769	16340,09	13159,65	3180,44
