Municipio codigo	Municipio nombre	Tipo de estudios realizados, código	Tipo de estudios realizados	Población
22084	Castejón de Sos	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	35,7412103168
22085	Castelflorite	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	2,8488510517
22086	Castiello de Jaca	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	4,0365171709
22087	Castigaleu	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	3,7109012859
22088	Castillazuelo	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	6,492381181
22089	Castillonroy	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	2,9246387758
22094	Chalamera	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1,80447747
22096	Chimillas	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	17,2717696114
22099	Esplús	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	13,9199425865
22102	Estada	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	3,7452640477
22103	Estadilla	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	28,1618212419
22105	Estopiñán del Castillo	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	2,9375518212
22107	Fanlo	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	4,2301803641
22109	Fiscal	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	11,5862558334
22110	Fonz	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	20,9334569932
22111	Foradada del Toscar	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	10,120242034
22112	Fraga	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	482,1591363497
22113	Fueva (La)	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	4,6072205944
22115	Grado (El)	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	10,2005327997
22116	Grañén	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	36,2786872891
22117	Graus	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	121,678082591
22119	Gurrea de Gállego	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	56,1281956361
22122	Hoz de Jaca	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	2,5036488326
22124	Huerto	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	4,3563729124
22125	Huesca	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	2324,5540083807
22126	Ibieca	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	5,9272204086
22127	Igriés	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	18,978355737
22128	Ilche	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	2,8375873234
22129	Isábena	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	2,8103842912
22130	Jaca	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	404,9600587344
22131	Jasa	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	2,6384268264
22133	Labuerda	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	4,7914162949
22136	Lalueza	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	25,0983199755
22137	Lanaja	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	45,761001407
22139	Laperdiguera	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	6,9527829129
22141	Lascellas-Ponzano	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	2,7839367905
22142	Lascuarre	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	0,784177976
22143	Laspaúles	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1,3728389504
22144	Laspuña	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	16,3675620805
22149	Loarre	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	6,3874872892
22150	Loporzano	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	16,7600693746
22151	Loscorrales	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	8,3884036164
22156	Monflorite-Lascasas	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	8,3665228948
22157	Montanuy	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	10,2201177197
22158	Monzón	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	473,1671941054
22160	Naval	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	3,5460774626
22162	Novales	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	8,043679858
22163	Nueno	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	30,8459561868
22164	Olvena	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	3,0292317787
22165	Ontiñena	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	3,3031299013
22167	Osso de Cinca	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	4,7640217178
22170	Panticosa	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	37,151821218
22172	Peñalba	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	14,0131137689
22173	Peñas de Riglos (Las)	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	3,4576032142
22174	Peralta de Alcofea	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	20,9939453277
22175	Peralta de Calasanz	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	5,8639968299
22176	Peraltilla	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	5,9313529459
22178	Pertusa	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	2,1436362771
22181	Piracés	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1,1655393032
22182	Plan	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	10,6738752145
22184	Poleñino	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	6,0446019978
22186	Pozán de Vero	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	9,0240637638
22187	Puebla de Castro (La)	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	21,7034534511
22188	Puente de Montañana	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	2,8833739836
