Año	Código de la provincia	Provincia	Número total de explotaciones	Explotaciones sin tierras	Explotaciones con tierras labranza, pastos y otras	Explotaciones con tierras labranza y pastos	Explotaciones con tierras labranza y otras	Explotaciones con sólo tierras labranza	Explotaciones con pastos y otras tierras	Explotaciones con sólo pastos	Explotaciones con sólo otras tierras	Explotaciones con tierras
1989	22	Huesca	23425	156	1320	1262	8782	9148	422	424	1911	23269
1989	44	Teruel	25692	224	2356	1535	7099	8770	1762	721	3225	25468
1989	50	Zaragoza	51614	702	898	1780	11382	33616	362	821	2053	50912
1999	22	Huesca	21318	431	1559	587	10005	6163	506	302	1765	20887
1999	44	Teruel	17926	579	927	514	8004	5915	303	166	1518	17347
1999	50	Zaragoza	40777	767	703	737	12582	22687	197	208	2896	40010
