Mes y año	Mes (código)	Mes nombre	Año	AÑO-CNO	 CASE  WHEN Ocupación (1 dígito) código = '0' THEN '99' ELSE Ocupación (1 dígito) código END	Ocupación (1 dígito) descripción	Sexo	Número de contratos	CCAA nombre
Septiembre 2020	202009	Septiembre	2020	CNO - 2011	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	306	Aragón
Septiembre 2020	202009	Septiembre	2020	CNO - 2011	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	55	Aragón
Septiembre 2020	202009	Septiembre	2020	CNO - 2011	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	3288	Aragón
Septiembre 2020	202009	Septiembre	2020	CNO - 2011	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	769	Aragón
Septiembre 2020	202009	Septiembre	2020	CNO - 2011	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	2912	Aragón
Septiembre 2020	202009	Septiembre	2020	CNO - 2011	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	1063	Aragón
Septiembre 2020	202009	Septiembre	2020	CNO - 2011	9	Ocupaciones elementales	Hombres	12898	Aragón
Septiembre 2020	202009	Septiembre	2020	CNO - 2011	9	Ocupaciones elementales	Mujeres	9172	Aragón
Septiembre 2020	202009	Septiembre	2020	CNO - 2011	99	Ocupaciones militares	Hombres	7	Aragón
Agosto 2020	202008	Agosto	2020	CNO - 2011	1	Directores y gerentes	Hombres	33	Aragón
Agosto 2020	202008	Agosto	2020	CNO - 2011	1	Directores y gerentes	Mujeres	18	Aragón
Agosto 2020	202008	Agosto	2020	CNO - 2011	2	Técnicos y profesionales científicos e intelectuales	Hombres	557	Aragón
Agosto 2020	202008	Agosto	2020	CNO - 2011	2	Técnicos y profesionales científicos e intelectuales	Mujeres	705	Aragón
Agosto 2020	202008	Agosto	2020	CNO - 2011	3	Técnicos; profesionales de apoyo	Hombres	917	Aragón
Agosto 2020	202008	Agosto	2020	CNO - 2011	3	Técnicos; profesionales de apoyo	Mujeres	583	Aragón
Agosto 2020	202008	Agosto	2020	CNO - 2011	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	857	Aragón
Agosto 2020	202008	Agosto	2020	CNO - 2011	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	1558	Aragón
Agosto 2020	202008	Agosto	2020	CNO - 2011	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	2019	Aragón
Agosto 2020	202008	Agosto	2020	CNO - 2011	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	3894	Aragón
Agosto 2020	202008	Agosto	2020	CNO - 2011	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	317	Aragón
Agosto 2020	202008	Agosto	2020	CNO - 2011	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	108	Aragón
Agosto 2020	202008	Agosto	2020	CNO - 2011	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	2265	Aragón
Agosto 2020	202008	Agosto	2020	CNO - 2011	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	596	Aragón
Agosto 2020	202008	Agosto	2020	CNO - 2011	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	1974	Aragón
Agosto 2020	202008	Agosto	2020	CNO - 2011	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	496	Aragón
Agosto 2020	202008	Agosto	2020	CNO - 2011	9	Ocupaciones elementales	Hombres	11289	Aragón
Agosto 2020	202008	Agosto	2020	CNO - 2011	9	Ocupaciones elementales	Mujeres	7782	Aragón
Agosto 2020	202008	Agosto	2020	CNO - 2011	99	Ocupaciones militares	Hombres	3	Aragón
Julio 2020	202007	Julio	2020	CNO - 2011	1	Directores y gerentes	Hombres	71	Aragón
Julio 2020	202007	Julio	2020	CNO - 2011	1	Directores y gerentes	Mujeres	19	Aragón
Julio 2020	202007	Julio	2020	CNO - 2011	2	Técnicos y profesionales científicos e intelectuales	Hombres	740	Aragón
Julio 2020	202007	Julio	2020	CNO - 2011	2	Técnicos y profesionales científicos e intelectuales	Mujeres	918	Aragón
Julio 2020	202007	Julio	2020	CNO - 2011	3	Técnicos; profesionales de apoyo	Hombres	1470	Aragón
Julio 2020	202007	Julio	2020	CNO - 2011	3	Técnicos; profesionales de apoyo	Mujeres	1099	Aragón
Julio 2020	202007	Julio	2020	CNO - 2011	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	728	Aragón
Julio 2020	202007	Julio	2020	CNO - 2011	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	1574	Aragón
Julio 2020	202007	Julio	2020	CNO - 2011	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	3394	Aragón
Julio 2020	202007	Julio	2020	CNO - 2011	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	5793	Aragón
Julio 2020	202007	Julio	2020	CNO - 2011	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	426	Aragón
Julio 2020	202007	Julio	2020	CNO - 2011	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	147	Aragón
Julio 2020	202007	Julio	2020	CNO - 2011	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	3362	Aragón
Julio 2020	202007	Julio	2020	CNO - 2011	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	707	Aragón
Julio 2020	202007	Julio	2020	CNO - 2011	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	2958	Aragón
Julio 2020	202007	Julio	2020	CNO - 2011	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	950	Aragón
Julio 2020	202007	Julio	2020	CNO - 2011	9	Ocupaciones elementales	Hombres	13658	Aragón
Julio 2020	202007	Julio	2020	CNO - 2011	9	Ocupaciones elementales	Mujeres	9176	Aragón
Julio 2020	202007	Julio	2020	CNO - 2011	99	Ocupaciones militares	Hombres	2	Aragón
Junio 2020	202006	Junio	2020	CNO - 2011	1	Directores y gerentes	Hombres	31	Aragón
Junio 2020	202006	Junio	2020	CNO - 2011	1	Directores y gerentes	Mujeres	16	Aragón
Junio 2020	202006	Junio	2020	CNO - 2011	2	Técnicos y profesionales científicos e intelectuales	Hombres	534	Aragón
Junio 2020	202006	Junio	2020	CNO - 2011	2	Técnicos y profesionales científicos e intelectuales	Mujeres	717	Aragón
Junio 2020	202006	Junio	2020	CNO - 2011	3	Técnicos; profesionales de apoyo	Hombres	763	Aragón
Junio 2020	202006	Junio	2020	CNO - 2011	3	Técnicos; profesionales de apoyo	Mujeres	524	Aragón
Junio 2020	202006	Junio	2020	CNO - 2011	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	571	Aragón
Junio 2020	202006	Junio	2020	CNO - 2011	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	1152	Aragón
Junio 2020	202006	Junio	2020	CNO - 2011	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	2002	Aragón
Junio 2020	202006	Junio	2020	CNO - 2011	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	3884	Aragón
