Año	Código del municipio	Nombre del municipio	Total máquinas	Tractores	Motocultores	Cosechadoras	Otras máquinas	Explotaciones que usan maquinaria propia	Explotaciones con máquina en propiedad: tractor	Explotaciones con máquina en propiedad: motocultor	Explotaciones con máquina en propiedad: cosechadora	Explotaciones con máquina en propiedad: otra máquina	Explotaciones que usan maquinaria no en propiedad exclusiva	Explotaciones que usan maquinaria no en propiedad exclusiva: tractor	Explotaciones que usan maquinaria no en propiedad exclusiva: motocultor	Explotaciones que usan maquinaria no en propiedad exclusiva: cosechadora	Explotaciones que usan maquinaria no en propiedad exclusiva otra máquina
1989	22022	Almunia de San Juan	94	51	34	6	3	69	44	34	5	3	70	45	1	64	6
1989	22023	Almuniente	193	121	24	15	33	111	105	24	10	27	115	23	0	115	3
1989	22024	Alquézar	103	42	49	6	6	70	37	49	6	5	84	54	0	59	2
1989	22025	Altorricón	277	197	44	21	15	192	173	44	19	15	217	161	2	200	183
1989	22027	Angüés	118	94	10	12	2	69	66	10	12	2	72	23	0	64	0
1989	22028	Ansó	10	5	3	0	2	6	5	3	0	2	1	1	0	1	0
1989	22029	Antillón	70	45	1	8	16	35	33	1	8	16	31	6	0	30	2
1989	22032	Aragüés del Puerto	34	10	17	0	7	16	10	16	0	6	5	4	0	0	4
1989	22035	Arén	67	47	3	2	15	42	40	3	2	13	72	39	0	69	11
1989	22036	Argavieso	63	30	19	6	8	30	27	19	5	6	35	14	0	35	0
1989	22037	Arguis	12	7	4	1	0	9	7	4	1	0	8	2	0	8	0
1989	22039	Ayerbe	152	90	42	16	4	101	79	41	16	4	147	92	7	95	3
1989	22040	Azanuy-Alins	76	56	7	13	0	54	48	7	13	0	78	44	0	72	1
1989	22041	Azara	61	44	9	5	3	46	39	9	5	3	51	17	0	49	1
1989	22042	Azlor	87	37	25	12	13	37	33	25	12	10	39	17	0	32	2
1989	22043	Baells	82	62	1	17	2	41	41	1	15	2	37	16	0	33	6
1989	22044	Bailo	77	44	6	9	18	40	37	6	8	15	75	45	0	64	32
1989	22045	Baldellou	38	26	5	3	4	25	23	5	3	3	51	33	0	38	8
1989	22046	Ballobar	246	169	68	1	8	150	128	67	1	8	137	24	3	124	15
1989	22047	Banastás	12	9	0	3	0	5	5	0	3	0	4	3	0	4	0
