Año	Dirección Provincial Código	Dirección Provincial Nombre	Nº Accidentes	División (2 dígitos) Código	División (2 dígitos) Descripción
2020	50	Zaragoza	720	43	Actividades de construcción especializada
2020	50	Zaragoza	555	49	Transporte terrestre y por tubería
2020	50	Zaragoza	478	25	Fabricación de productos metálicos, excepto maquinaria y equipo
2020	50	Zaragoza	429	10	Industria de la alimentación
2020	50	Zaragoza	415	01	Agricultura, ganadería, caza y servicios relacionados con las mismas
2020	22	Huesca	408	01	Agricultura, ganadería, caza y servicios relacionados con las mismas
2020	50	Zaragoza	404	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2020	22	Huesca	386	10	Industria de la alimentación
2020	50	Zaragoza	307	29	Fabricación de vehículos de motor, remolques y semirremolques
2020	50	Zaragoza	296	41	Construcción de edificios
2020	50	Zaragoza	294	86	Actividades sanitarias
2020	50	Zaragoza	290	47	Comercio al por menor, excepto de vehículos de motor y motocicletas
2020	22	Huesca	212	43	Actividades de construcción especializada
2020	22	Huesca	169	41	Construcción de edificios
2020	44	Teruel	152	41	Construcción de edificios
2020	44	Teruel	147	10	Industria de la alimentación
2020	22	Huesca	145	49	Transporte terrestre y por tubería
2020	22	Huesca	127	25	Fabricación de productos metálicos, excepto maquinaria y equipo
2020	44	Teruel	119	01	Agricultura, ganadería, caza y servicios relacionados con las mismas
2020	44	Teruel	99	43	Actividades de construcción especializada
2020	22	Huesca	91	84	Administración Pública y defensa; Seguridad Social obligatoria
2020	22	Huesca	90	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2020	44	Teruel	80	49	Transporte terrestre y por tubería
2020	22	Huesca	73	93	Actividades deportivas, recreativas y de entretenimiento
2020	22	Huesca	70	86	Actividades sanitarias
2020	44	Teruel	65	02	Silvicultura y explotación forestal
2020	44	Teruel	61	23	Fabricación de otros productos minerales no metálicos
2020	44	Teruel	57	84	Administración Pública y defensa; Seguridad Social obligatoria
2020	44	Teruel	47	45	Venta y reparación de vehículos de motor y motocicletas
2020	44	Teruel	40	29	Fabricación de vehículos de motor, remolques y semirremolques
2019	50	Zaragoza	789	43	Actividades de construcción especializada
2019	50	Zaragoza	669	49	Transporte terrestre y por tubería
2019	50	Zaragoza	622	25	Fabricación de productos metálicos, excepto maquinaria y equipo
