Mes y año	Mes (código)	Mes nombre	Año	Provincia código	Provincia nombre	Sexo	Número de contratos	Grupo de tipo de jornada
Septiembre 2018	201809	Septiembre	2018	22	Huesca	Hombres	59	3 - Fijos Discontinuos
Septiembre 2018	201809	Septiembre	2018	22	Huesca	Mujeres	65	3 - Fijos Discontinuos
Septiembre 2018	201809	Septiembre	2018	44	Teruel	Hombres	2310	1 - Jornada Completa
Septiembre 2018	201809	Septiembre	2018	44	Teruel	Mujeres	1502	1 - Jornada Completa
Septiembre 2018	201809	Septiembre	2018	44	Teruel	Hombres	405	2 - Jornada Parcial
Septiembre 2018	201809	Septiembre	2018	44	Teruel	Mujeres	839	2 - Jornada Parcial
Septiembre 2018	201809	Septiembre	2018	44	Teruel	Hombres	32	3 - Fijos Discontinuos
Septiembre 2018	201809	Septiembre	2018	44	Teruel	Mujeres	15	3 - Fijos Discontinuos
Septiembre 2018	201809	Septiembre	2018	50	Zaragoza	Hombres	18492	1 - Jornada Completa
Septiembre 2018	201809	Septiembre	2018	50	Zaragoza	Mujeres	10889	1 - Jornada Completa
Septiembre 2018	201809	Septiembre	2018	50	Zaragoza	Hombres	5840	2 - Jornada Parcial
Septiembre 2018	201809	Septiembre	2018	50	Zaragoza	Mujeres	10035	2 - Jornada Parcial
Septiembre 2018	201809	Septiembre	2018	50	Zaragoza	Hombres	215	3 - Fijos Discontinuos
Septiembre 2018	201809	Septiembre	2018	50	Zaragoza	Mujeres	342	3 - Fijos Discontinuos
Agosto 2018	201808	Agosto	2018	22	Huesca	Hombres	4340	1 - Jornada Completa
Agosto 2018	201808	Agosto	2018	22	Huesca	Mujeres	2310	1 - Jornada Completa
