Mes y año	Mes (código)	Mes nombre	Año	Provincia código	Provincia nombre	Sexo	Número de contratos	Grupo de tipo de jornada
Octubre 2019	201910	Octubre	2019	44	Teruel	Hombres	2250	1 - Jornada Completa
Octubre 2019	201910	Octubre	2019	44	Teruel	Mujeres	1338	1 - Jornada Completa
Octubre 2019	201910	Octubre	2019	44	Teruel	Hombres	416	2 - Jornada Parcial
Octubre 2019	201910	Octubre	2019	44	Teruel	Mujeres	864	2 - Jornada Parcial
Octubre 2019	201910	Octubre	2019	44	Teruel	Hombres	38	3 - Fijos Discontinuos
Octubre 2019	201910	Octubre	2019	44	Teruel	Mujeres	15	3 - Fijos Discontinuos
Octubre 2019	201910	Octubre	2019	50	Zaragoza	Hombres	17657	1 - Jornada Completa
Octubre 2019	201910	Octubre	2019	50	Zaragoza	Mujeres	11682	1 - Jornada Completa
Octubre 2019	201910	Octubre	2019	50	Zaragoza	Hombres	6941	2 - Jornada Parcial
Octubre 2019	201910	Octubre	2019	50	Zaragoza	Mujeres	11122	2 - Jornada Parcial
Octubre 2019	201910	Octubre	2019	50	Zaragoza	Hombres	194	3 - Fijos Discontinuos
Octubre 2019	201910	Octubre	2019	50	Zaragoza	Mujeres	219	3 - Fijos Discontinuos
Septiembre 2019	201909	Septiembre	2019	22	Huesca	Hombres	3613	1 - Jornada Completa
Septiembre 2019	201909	Septiembre	2019	22	Huesca	Mujeres	2028	1 - Jornada Completa
Septiembre 2019	201909	Septiembre	2019	22	Huesca	Hombres	963	2 - Jornada Parcial
Septiembre 2019	201909	Septiembre	2019	22	Huesca	Mujeres	1821	2 - Jornada Parcial
Septiembre 2019	201909	Septiembre	2019	22	Huesca	Hombres	253	3 - Fijos Discontinuos
Septiembre 2019	201909	Septiembre	2019	22	Huesca	Mujeres	118	3 - Fijos Discontinuos
Septiembre 2019	201909	Septiembre	2019	44	Teruel	Hombres	2593	1 - Jornada Completa
Septiembre 2019	201909	Septiembre	2019	44	Teruel	Mujeres	1371	1 - Jornada Completa
Septiembre 2019	201909	Septiembre	2019	44	Teruel	Hombres	512	2 - Jornada Parcial
Septiembre 2019	201909	Septiembre	2019	44	Teruel	Mujeres	939	2 - Jornada Parcial
Septiembre 2019	201909	Septiembre	2019	44	Teruel	Hombres	29	3 - Fijos Discontinuos
Septiembre 2019	201909	Septiembre	2019	44	Teruel	Mujeres	16	3 - Fijos Discontinuos
Septiembre 2019	201909	Septiembre	2019	50	Zaragoza	Hombres	18421	1 - Jornada Completa
Septiembre 2019	201909	Septiembre	2019	50	Zaragoza	Mujeres	10845	1 - Jornada Completa
Septiembre 2019	201909	Septiembre	2019	50	Zaragoza	Hombres	6439	2 - Jornada Parcial
Septiembre 2019	201909	Septiembre	2019	50	Zaragoza	Mujeres	10594	2 - Jornada Parcial
Septiembre 2019	201909	Septiembre	2019	50	Zaragoza	Hombres	216	3 - Fijos Discontinuos
Septiembre 2019	201909	Septiembre	2019	50	Zaragoza	Mujeres	299	3 - Fijos Discontinuos
Agosto 2019	201908	Agosto	2019	22	Huesca	Hombres	4584	1 - Jornada Completa
Agosto 2019	201908	Agosto	2019	22	Huesca	Mujeres	2277	1 - Jornada Completa
Agosto 2019	201908	Agosto	2019	22	Huesca	Hombres	872	2 - Jornada Parcial
Agosto 2019	201908	Agosto	2019	22	Huesca	Mujeres	1375	2 - Jornada Parcial
Agosto 2019	201908	Agosto	2019	22	Huesca	Hombres	37	3 - Fijos Discontinuos
Agosto 2019	201908	Agosto	2019	22	Huesca	Mujeres	33	3 - Fijos Discontinuos
Agosto 2019	201908	Agosto	2019	44	Teruel	Hombres	1747	1 - Jornada Completa
Agosto 2019	201908	Agosto	2019	44	Teruel	Mujeres	1168	1 - Jornada Completa
Agosto 2019	201908	Agosto	2019	44	Teruel	Hombres	360	2 - Jornada Parcial
Agosto 2019	201908	Agosto	2019	44	Teruel	Mujeres	719	2 - Jornada Parcial
Agosto 2019	201908	Agosto	2019	44	Teruel	Hombres	19	3 - Fijos Discontinuos
Agosto 2019	201908	Agosto	2019	44	Teruel	Mujeres	1	3 - Fijos Discontinuos
Agosto 2019	201908	Agosto	2019	50	Zaragoza	Hombres	15152	1 - Jornada Completa
Agosto 2019	201908	Agosto	2019	50	Zaragoza	Mujeres	8811	1 - Jornada Completa
Agosto 2019	201908	Agosto	2019	50	Zaragoza	Hombres	3704	2 - Jornada Parcial
Agosto 2019	201908	Agosto	2019	50	Zaragoza	Mujeres	5846	2 - Jornada Parcial
Agosto 2019	201908	Agosto	2019	50	Zaragoza	Hombres	81	3 - Fijos Discontinuos
Agosto 2019	201908	Agosto	2019	50	Zaragoza	Mujeres	79	3 - Fijos Discontinuos
