CCAA nombre	Explotaciones	Gestión explotación
Aragón	41054	El titular es el jefe de la explotación
Aragón	6667	Otra persona o sociedad es jefe de la explotación
Aragón	5053	Un miembro de la familia es el jefe de la explotación
