Mes y año	Mes (código)	Mes nombre	Año	Sección (1 letra) código	Sección (1 letra) descripción	Sexo	Número de contratos	CNAE año	CCAA nombre
Octubre 2016	201610	Octubre	2016	T	Actividades de los hogares como empleadores de personal doméstico; actividades de los hogares como productores de bienes y servicios para uso propio	Mujeres	733	CNAE - 2009	Aragón
Octubre 2016	201610	Octubre	2016	U	Actividades de organizaciones y organismos extraterritoriales	Hombres	3	CNAE - 2009	Aragón
Octubre 2016	201610	Octubre	2016	U	Actividades de organizaciones y organismos extraterritoriales	Mujeres	6	CNAE - 2009	Aragón
Septiembre 2016	201609	Septiembre	2016	A	Agricultura, ganadería, silvicultura y pesca	Hombres	5534	CNAE - 2009	Aragón
Septiembre 2016	201609	Septiembre	2016	A	Agricultura, ganadería, silvicultura y pesca	Mujeres	1242	CNAE - 2009	Aragón
Septiembre 2016	201609	Septiembre	2016	B	Industrias extractivas	Hombres	14	CNAE - 2009	Aragón
Septiembre 2016	201609	Septiembre	2016	C	Industria manufacturera	Hombres	6451	CNAE - 2009	Aragón
Septiembre 2016	201609	Septiembre	2016	C	Industria manufacturera	Mujeres	2855	CNAE - 2009	Aragón
Septiembre 2016	201609	Septiembre	2016	D	Suministro de energía eléctrica, gas, vapor y aire acondicionado	Hombres	11	CNAE - 2009	Aragón
Septiembre 2016	201609	Septiembre	2016	D	Suministro de energía eléctrica, gas, vapor y aire acondicionado	Mujeres	1	CNAE - 2009	Aragón
Septiembre 2016	201609	Septiembre	2016	E	Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación	Hombres	138	CNAE - 2009	Aragón
Septiembre 2016	201609	Septiembre	2016	E	Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación	Mujeres	53	CNAE - 2009	Aragón
Septiembre 2016	201609	Septiembre	2016	F	Construcción	Hombres	2182	CNAE - 2009	Aragón
Septiembre 2016	201609	Septiembre	2016	F	Construcción	Mujeres	116	CNAE - 2009	Aragón
Septiembre 2016	201609	Septiembre	2016	G	Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas	Hombres	2170	CNAE - 2009	Aragón
Septiembre 2016	201609	Septiembre	2016	G	Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas	Mujeres	2664	CNAE - 2009	Aragón
Septiembre 2016	201609	Septiembre	2016	H	Transporte y almacenamiento	Hombres	2432	CNAE - 2009	Aragón
Septiembre 2016	201609	Septiembre	2016	H	Transporte y almacenamiento	Mujeres	589	CNAE - 2009	Aragón
Septiembre 2016	201609	Septiembre	2016	I	Hostelería	Hombres	4419	CNAE - 2009	Aragón
Septiembre 2016	201609	Septiembre	2016	I	Hostelería	Mujeres	5461	CNAE - 2009	Aragón
Septiembre 2016	201609	Septiembre	2016	J	Información y comunicaciones	Hombres	340	CNAE - 2009	Aragón
Septiembre 2016	201609	Septiembre	2016	J	Información y comunicaciones	Mujeres	261	CNAE - 2009	Aragón
Septiembre 2016	201609	Septiembre	2016	K	Actividades financieras y de seguros	Hombres	60	CNAE - 2009	Aragón
Septiembre 2016	201609	Septiembre	2016	K	Actividades financieras y de seguros	Mujeres	92	CNAE - 2009	Aragón
Septiembre 2016	201609	Septiembre	2016	L	Actividades inmobiliarias	Hombres	25	CNAE - 2009	Aragón
Septiembre 2016	201609	Septiembre	2016	L	Actividades inmobiliarias	Mujeres	33	CNAE - 2009	Aragón
