Provincia codigo	Provincia nombre	Otras tierrras	Pastizales permanentes	Tierras labradas	Superficie total
22	Huesca	295305,7	276912,63	486589,89	1058808,22
44	Teruel	254191,1	297704,55	383930,37	935826,02
50	Zaragoza	149514,35	159689,41	740868,84	1050072,6
