Comarca código	Comarca nombre	Tipo variación	Sexo	Año	Variaciones
01	La Jacetania	Externa	Hombres	2017	426
01	La Jacetania	Externa	Mujeres	2017	365
01	La Jacetania	Interna	Hombres	2017	46
01	La Jacetania	Interna	Mujeres	2017	52
02	Alto Gállego	Externa	Hombres	2017	309
02	Alto Gállego	Externa	Mujeres	2017	264
02	Alto Gállego	Interna	Hombres	2017	30
02	Alto Gállego	Interna	Mujeres	2017	26
03	Sobrarbe	Externa	Hombres	2017	162
03	Sobrarbe	Externa	Mujeres	2017	143
03	Sobrarbe	Interna	Hombres	2017	52
03	Sobrarbe	Interna	Mujeres	2017	39
04	La Ribagorza	Externa	Hombres	2017	272
04	La Ribagorza	Externa	Mujeres	2017	242
04	La Ribagorza	Interna	Hombres	2017	55
04	La Ribagorza	Interna	Mujeres	2017	68
05	Cinco Villas	Externa	Hombres	2017	417
05	Cinco Villas	Externa	Mujeres	2017	413
05	Cinco Villas	Interna	Hombres	2017	51
05	Cinco Villas	Interna	Mujeres	2017	65
06	Hoya de Huesca / Plana de Uesca	Externa	Hombres	2017	1009
06	Hoya de Huesca / Plana de Uesca	Externa	Mujeres	2017	1019
06	Hoya de Huesca / Plana de Uesca	Interna	Hombres	2017	288
06	Hoya de Huesca / Plana de Uesca	Interna	Mujeres	2017	314
07	Somontano de Barbastro	Externa	Hombres	2017	330
07	Somontano de Barbastro	Externa	Mujeres	2017	377
07	Somontano de Barbastro	Interna	Hombres	2017	72
07	Somontano de Barbastro	Interna	Mujeres	2017	84
08	Cinca Medio	Externa	Hombres	2017	418
08	Cinca Medio	Externa	Mujeres	2017	362
08	Cinca Medio	Interna	Hombres	2017	48
08	Cinca Medio	Interna	Mujeres	2017	55
09	La Litera / La Llitera	Externa	Hombres	2017	326
09	La Litera / La Llitera	Externa	Mujeres	2017	242
09	La Litera / La Llitera	Interna	Hombres	2017	70
09	La Litera / La Llitera	Interna	Mujeres	2017	57
10	Los Monegros	Externa	Hombres	2017	316
10	Los Monegros	Externa	Mujeres	2017	348
10	Los Monegros	Interna	Hombres	2017	42
10	Los Monegros	Interna	Mujeres	2017	41
11	Bajo Cinca / Baix Cinca	Externa	Hombres	2017	575
11	Bajo Cinca / Baix Cinca	Externa	Mujeres	2017	420
11	Bajo Cinca / Baix Cinca	Interna	Hombres	2017	62
11	Bajo Cinca / Baix Cinca	Interna	Mujeres	2017	61
12	Tarazona y el Moncayo	Externa	Hombres	2017	203
12	Tarazona y el Moncayo	Externa	Mujeres	2017	234
12	Tarazona y el Moncayo	Interna	Hombres	2017	36
12	Tarazona y el Moncayo	Interna	Mujeres	2017	36
13	Campo de Borja	Externa	Hombres	2017	196
13	Campo de Borja	Externa	Mujeres	2017	194
13	Campo de Borja	Interna	Hombres	2017	60
13	Campo de Borja	Interna	Mujeres	2017	38
14	Aranda	Externa	Hombres	2017	115
14	Aranda	Externa	Mujeres	2017	109
14	Aranda	Interna	Hombres	2017	21
14	Aranda	Interna	Mujeres	2017	15
15	Ribera Alta del Ebro	Externa	Hombres	2017	502
15	Ribera Alta del Ebro	Externa	Mujeres	2017	509
15	Ribera Alta del Ebro	Interna	Hombres	2017	94
15	Ribera Alta del Ebro	Interna	Mujeres	2017	82
16	Valdejalón	Externa	Hombres	2017	664
16	Valdejalón	Externa	Mujeres	2017	589
16	Valdejalón	Interna	Hombres	2017	91
16	Valdejalón	Interna	Mujeres	2017	90
17	Central	Externa	Hombres	2017	9848
17	Central	Externa	Mujeres	2017	8929
17	Central	Interna	Hombres	2017	2231
17	Central	Interna	Mujeres	2017	2334
