Comarca código	Comarca nombre	Corine Land Cover 2000 nivel 5 descripción	Superficie (has)	Año
02	Alto Gállego	Lagos y lagunas	161,339446	2000
02	Alto Gállego	Landas y matorrales en climas húmedos. Vegetación mesófila	3321,069835	2000
02	Alto Gállego	Matorral boscoso de bosque mixto	2083,539606	2000
02	Alto Gállego	Matorral boscoso de coníferas	12770,701792	2000
02	Alto Gállego	Matorral boscoso de frondosas	3100,768106	2000
02	Alto Gállego	Matorrales subarbustivos o arbustivos muy poco densos	3543,866044	2000
02	Alto Gállego	Mezcla de frondosas	1440,610925	2000
02	Alto Gállego	Mosaico de cultivos agrícolas en regadío con espacios significativos de vegetación natural y semi-natural	0	2000
02	Alto Gállego	Mosaico de cultivos agrícolas en secano con espacios significativos de vegetación natural y semi-natural	1354,411934	2000
02	Alto Gállego	Mosaico de cultivos anuales con cultivos  permanentes en  secano	0	2000
02	Alto Gállego	Mosaico de cultivos anuales con cultivos permanentes en regadío	0	2000
02	Alto Gállego	Mosaico de cultivos anuales con prados o praderas en regadío	0	2000
02	Alto Gállego	Mosaico de cultivos anuales con prados o praderas en secano	164,640938	2000
02	Alto Gállego	Mosaico de cultivos permanentes en regadío	0	2000
02	Alto Gállego	Mosaico de cultivos permanentes en secano	0	2000
02	Alto Gállego	Mosaico de prados o praderas con espacios significativos de vegetación natural y semi-natural	157,134718	2000
02	Alto Gállego	Olivares en regadío	0	2000
02	Alto Gállego	Olivares en secano	0	2000
02	Alto Gállego	Otras frondosas de plantación	108,49969	2000
02	Alto Gállego	Otros frutales en regadío	0	2000
02	Alto Gállego	Otros pastizales mediterráneos	3391,331465	2000
02	Alto Gállego	Pastizales supraforestales mediterráneos	0	2000
02	Alto Gállego	Pastizales supraforestales templado-oceánicos, pirenaicos y orocantábricos	11332,387335	2000
02	Alto Gállego	Perennifolias	98,169157	2000
02	Alto Gállego	Prados y praderas	2864,9385	2000
02	Alto Gállego	Ramblas con poca o sin vegetación	686,417727	2000
02	Alto Gállego	Resto de instalaciones deportivas y recreativas	71,097501	2000
02	Alto Gállego	Rocas desnudas con fuerte pendiente (acantilados, etc.)	3284,40526	2000
02	Alto Gállego	Ríos y cauces naturales	226,292686	2000
02	Alto Gállego	Tejido urbano continuo	231,42675	2000
02	Alto Gállego	Tierras de labor en secano	8461,464717	2000
02	Alto Gállego	Turberas y prados turbosos	73,876793	2000
02	Alto Gállego	Urbanizaciones extensas y/o ajardinadas	175,347778	2000
02	Alto Gállego	Viñedos en regadío	0	2000
02	Alto Gállego	Viñedos en secano	0	2000
02	Alto Gállego	Xeroestepa subdesértica	0	2000
02	Alto Gállego	Zonas de extracción minera	35,613319	2000
02	Alto Gállego	Zonas en construcción	0	2000
02	Alto Gállego	Zonas industriales	94,903038	2000
02	Alto Gállego	Zonas quemadas	0	2000
02	Alto Gállego	Zonas verdes urbanas	0	2000
03	Sobrarbe	Aeropuertos	0	2000
03	Sobrarbe	Afloramientos rocosos y canchales	12045,509275	2000
03	Sobrarbe	Arrozales	0	2000
03	Sobrarbe	Autopistas, autovías y terrenos asociados	0	2000
03	Sobrarbe	Bosque mixto	15533,64101	2000
03	Sobrarbe	Bosques de coníferas con hojas aciculares	56958,196159	2000
03	Sobrarbe	Bosques de coníferas con hojas de tipo cupresáceo	0	2000
03	Sobrarbe	Bosques de ribera	107,263419	2000
03	Sobrarbe	Caducifolias y marcescentes	10590,839475	2000
03	Sobrarbe	Campos de golf	0	2000
03	Sobrarbe	Canales artificiales	0	2000
03	Sobrarbe	Complejos ferroviarios	0	2000
03	Sobrarbe	Cultivos herbáceos en regadío	405,451555	2000
03	Sobrarbe	Cárcavas y/o zonas en proceso de erosión	4408,703837	2000
03	Sobrarbe	Embalses	1851,764228	2000
03	Sobrarbe	Escombreras y vertederos	0	2000
03	Sobrarbe	Espacios orófilos altitudinales con vegetación escasa	9174,24952	2000
03	Sobrarbe	Estructura urbana abierta	0	2000
03	Sobrarbe	Frutales en secano	73,748166	2000
03	Sobrarbe	Glaciares y nieves permanentes	186,449387	2000
03	Sobrarbe	Grandes formaciones de matorral denso o medianamente denso	10883,975792	2000
03	Sobrarbe	Grandes superficies de equipamientos y servicios	0	2000
03	Sobrarbe	Humedales y zonas pantanosas	0	2000
03	Sobrarbe	Lagos y lagunas	110,929297	2000
03	Sobrarbe	Landas y matorrales en climas húmedos. Vegetación mesófila	9092,592282	2000
03	Sobrarbe	Matorral boscoso de bosque mixto	3999,963151	2000
03	Sobrarbe	Matorral boscoso de coníferas	14443,628125	2000
03	Sobrarbe	Matorral boscoso de frondosas	7958,282274	2000
03	Sobrarbe	Matorrales subarbustivos o arbustivos muy poco densos	3118,247658	2000
03	Sobrarbe	Mezcla de frondosas	1221,148838	2000
03	Sobrarbe	Mosaico de cultivos agrícolas en regadío con espacios significativos de vegetación natural y semi-natural	0	2000
03	Sobrarbe	Mosaico de cultivos agrícolas en secano con espacios significativos de vegetación natural y semi-natural	1095,802604	2000
03	Sobrarbe	Mosaico de cultivos anuales con cultivos  permanentes en  secano	723,525804	2000
03	Sobrarbe	Mosaico de cultivos anuales con cultivos permanentes en regadío	0	2000
03	Sobrarbe	Mosaico de cultivos anuales con prados o praderas en regadío	346,173826	2000
03	Sobrarbe	Mosaico de cultivos anuales con prados o praderas en secano	1872,592661	2000
03	Sobrarbe	Mosaico de cultivos permanentes en regadío	0	2000
03	Sobrarbe	Mosaico de cultivos permanentes en secano	0	2000
03	Sobrarbe	Mosaico de prados o praderas con espacios significativos de vegetación natural y semi-natural	262,691004	2000
03	Sobrarbe	Olivares en regadío	0	2000
03	Sobrarbe	Olivares en secano	59,903798	2000
03	Sobrarbe	Otras frondosas de plantación	27,036887	2000
03	Sobrarbe	Otros frutales en regadío	0	2000
03	Sobrarbe	Otros pastizales mediterráneos	2869,403674	2000
03	Sobrarbe	Pastizales supraforestales mediterráneos	0	2000
03	Sobrarbe	Pastizales supraforestales templado-oceánicos, pirenaicos y orocantábricos	19368,121043	2000
03	Sobrarbe	Perennifolias	7320,506589	2000
03	Sobrarbe	Prados y praderas	4967,714679	2000
03	Sobrarbe	Ramblas con poca o sin vegetación	2249,642068	2000
03	Sobrarbe	Resto de instalaciones deportivas y recreativas	0	2000
03	Sobrarbe	Rocas desnudas con fuerte pendiente (acantilados, etc.)	6395,430896	2000
03	Sobrarbe	Ríos y cauces naturales	0	2000
03	Sobrarbe	Tejido urbano continuo	133,177044	2000
03	Sobrarbe	Tierras de labor en secano	10150,021664	2000
03	Sobrarbe	Turberas y prados turbosos	0	2000
03	Sobrarbe	Urbanizaciones extensas y/o ajardinadas	316,987806	2000
03	Sobrarbe	Viñedos en regadío	0	2000
03	Sobrarbe	Viñedos en secano	0	2000
03	Sobrarbe	Xeroestepa subdesértica	0	2000
03	Sobrarbe	Zonas de extracción minera	2,591506	2000
03	Sobrarbe	Zonas en construcción	0	2000
03	Sobrarbe	Zonas industriales	0	2000
03	Sobrarbe	Zonas quemadas	0	2000
03	Sobrarbe	Zonas verdes urbanas	0	2000
04	La Ribagorza	Aeropuertos	10,946286	2000
04	La Ribagorza	Afloramientos rocosos y canchales	8651,274977	2000
04	La Ribagorza	Arrozales	0	2000
04	La Ribagorza	Autopistas, autovías y terrenos asociados	0	2000
04	La Ribagorza	Bosque mixto	14375,755626	2000
04	La Ribagorza	Bosques de coníferas con hojas aciculares	39094,407499	2000
04	La Ribagorza	Bosques de coníferas con hojas de tipo cupresáceo	0	2000
04	La Ribagorza	Bosques de ribera	284,048408	2000
04	La Ribagorza	Caducifolias y marcescentes	15009,643604	2000
04	La Ribagorza	Campos de golf	0	2000
04	La Ribagorza	Canales artificiales	0	2000
04	La Ribagorza	Complejos ferroviarios	0	2000
