Municipio código	Municipio nombre	Tamaño medio
22001	Abiego	2,77884615384615
22002	Abizanda	2,89130434782609
22003	Adahuesca	2,37313432835821
22004	Agüero	2,18055555555556
22006	Aísa	2,67785234899329
22007	Albalate de Cinca	3,02261306532663
22008	Albalatillo	2,56435643564356
22009	Albelda	2,68501529051988
22011	Albero Alto	2,91891891891892
22012	Albero Bajo	2,65
22013	Alberuela de Tubo	3,2212389380531
22014	Alcalá de Gurrea	2,38636363636364
22015	Alcalá del Obispo	2,5448275862069
22016	Alcampell	2,64545454545455
22017	Alcolea de Cinca	3,02663438256659
22018	Alcubierre	2,58045977011494
22019	Alerre	3,10606060606061
22020	Alfántega	2,80487804878049
22021	Almudévar	2,76341463414634
22022	Almunia de San Juan	2,86075949367089
22023	Almuniente	2,87745098039216
22024	Alquézar	2,45762711864407
22025	Altorricón	2,85943775100402
22027	Angüés	2,4593023255814
22028	Ansó	2,44117647058824
22029	Antillón	3,33333333333333
22032	Aragüés del Puerto	2,38709677419355
22035	Arén	2,55944055944056
22036	Argavieso	3,075
22037	Arguis	2,31034482758621
22039	Ayerbe	2,45413870246085
22040	Azanuy-Alins	2,32894736842105
22041	Azara	3,08450704225352
22042	Azlor	2,77966101694915
22043	Baells	2,36065573770492
22044	Bailo	2,8125
22045	Baldellou	2,41818181818182
22046	Ballobar	3,06079027355623
22047	Banastás	3,13333333333333
22048	Barbastro	2,78252683110525
22049	Barbués	2,94736842105263
22050	Barbuñales	2,23529411764706
22051	Bárcabo	2,38297872340426
22052	Belver de Cinca	2,94630872483221
22053	Benabarre	2,6
22054	Benasque	2,36349206349206
22055	Berbegal	2,62857142857143
22057	Bielsa	2,65116279069767
22058	Bierge	2,33333333333333
22059	Biescas	2,51950718685832
22060	Binaced	3,201171875
22061	Binéfar	2,84837177747626
22062	Bisaurri	2,46153846153846
22063	Biscarrués	2,73493975903614
22064	Blecua y Torres	2,78571428571429
22066	Boltaña	2,54375
22067	Bonansa	2,8
22068	Borau	2,24242424242424
22069	Broto	2,86702127659574
22072	Caldearenas	2,44117647058824
22074	Campo	2,69767441860465
22075	Camporrells	2,22522522522523
22076	Canal de Berdún	2,39772727272727
22077	Candasnos	2,89795918367347
22078	Canfranc	2,26382978723404
22079	Capdesaso	2,61538461538462
22080	Capella	2,75539568345324
22081	Casbas de Huesca	2,59130434782609
22082	Castejón del Puente	2,98571428571429
22083	Castejón de Monegros	2,70325203252033
22084	Castejón de Sos	2,61883408071749
22085	Castelflorite	2,85416666666667
22086	Castiello de Jaca	2,35
22087	Castigaleu	3,92307692307692
22088	Castillazuelo	2,29166666666667
22089	Castillonroy	2,92465753424658
22090	Colungo	2,14516129032258
22094	Chalamera	2,4375
22095	Chía	2,58139534883721
22096	Chimillas	2,94805194805195
22099	Esplús	2,8502024291498
22102	Estada	2,46153846153846
22103	Estadilla	2,78899082568807
22105	Estopiñán del Castillo	2,28421052631579
22106	Fago	1,76190476190476
22107	Fanlo	2,36111111111111
22109	Fiscal	2,51485148514851
22110	Fonz	2,44063926940639
22111	Foradada del Toscar	3,40789473684211
22112	Fraga	3,06425293217746
22113	Fueva (La)	3,44886363636364
22114	Gistaín	2,50746268656716
