Aragón	Plantas sobre rasante	Número de edificios
Aragón	01	74637
Aragón	02	123893
Aragón	03	49572
Aragón	04	7697
Aragón	05	7597
Aragón	06	2668
Aragón	07	1608
Aragón	08	1963
Aragón	09	824
Aragón	10 o más	1957
