Provincia código	Provincia nombre	Municipio trabajo, código	Municipio trabajo, nombre	Personas residentes viviendas familiares
22	Huesca	50297	Zaragoza	2642
22	Huesca	25120	Lleida	822
22	Huesca	08019	Barcelona	673
22	Huesca	28079	Madrid	360
22	Huesca	50298	Zuera	154
22	Huesca	50165	Mequinenza	153
22	Huesca	31201	Pamplona/Iruña	88
22	Huesca	25019	Almacelles	59
22	Huesca	25011	Alcarràs	57
22	Huesca	43148	Tarragona	52
44	Teruel	50297	Zaragoza	1868
44	Teruel	46250	Valencia	243
44	Teruel	08019	Barcelona	165
44	Teruel	28079	Madrid	137
44	Teruel	12040	Castellón de la Plana/Castelló de la Plana	103
44	Teruel	12129	Villafranca del Cid	94
44	Teruel	50045	Belchite	69
44	Teruel	50074	Caspe	40
44	Teruel	50094	Daroca	36
44	Teruel	22125	Huesca	31
44	Teruel	50067	Calatayud	31
50	Zaragoza	28079	Madrid	1695
50	Zaragoza	22125	Huesca	1033
50	Zaragoza	08019	Barcelona	878
50	Zaragoza	31232	Tudela	460
50	Zaragoza	31201	Pamplona/Iruña	305
50	Zaragoza	44216	Teruel	299
50	Zaragoza	44013	Alcañiz	285
50	Zaragoza	25120	Lleida	271
50	Zaragoza	26089	Logroño	218
50	Zaragoza	22112	Fraga	181
