Municipio código	Municipio nombre	Provincia código	Provincia nombre	Población	Superficie (km2)	Densidad de población (hab/km2)	Año
22001	Abiego	22	Huesca	248	38,19	6,49384655669023	2019
22001	Abiego	22	Huesca	237	38,19	6,20581304006284	2018
22001	Abiego	22	Huesca	246	38,19	6,44147682639434	2017
22001	Abiego	22	Huesca	247	38,19	6,46766169154229	2016
22001	Abiego	22	Huesca	253	38,19	6,62477088242996	2015
22001	Abiego	22	Huesca	267	38,19	6,99135899450118	2014
22001	Abiego	22	Huesca	279	38,19	7,30557737627651	2013
22001	Abiego	22	Huesca	277	38,19	7,25320764598062	2012
22001	Abiego	22	Huesca	280	38,19	7,33176224142446	2011
22001	Abiego	22	Huesca	281	38,19	7,3579471065724	2010
22001	Abiego	22	Huesca	286	38,19	7,48887143231212	2009
22001	Abiego	22	Huesca	288	38,19	7,54124116260801	2008
22001	Abiego	22	Huesca	292	38,19	7,64598062319979	2007
22001	Abiego	22	Huesca	288	38,19	7,54124116260801	2006
22001	Abiego	22	Huesca	277	38,19	7,25320764598062	2005
22001	Abiego	22	Huesca	288	38,19	7,54124116260801	2004
22001	Abiego	22	Huesca	284	38,19	7,43650170201623	2003
22001	Abiego	22	Huesca	291	38,19	7,61979575805185	2002
22001	Abiego	22	Huesca	298	38,19	7,80308981408746	2001
22001	Abiego	22	Huesca	292	38,19	7,64598062319979	2000
22001	Abiego	22	Huesca	290	38,19	7,5936108929039	1999
22001	Abiego	22	Huesca	290	38,19	7,5936108929039	1998
22001	Abiego	22	Huesca	305	38,19	7,98638387012307	1996
22002	Abizanda	22	Huesca	150	44,84	3,34522747546833	2019
22002	Abizanda	22	Huesca	151	44,84	3,36752899197145	2018
22002	Abizanda	22	Huesca	156	44,84	3,47903657448707	2017
22002	Abizanda	22	Huesca	142	44,84	3,16681534344335	2016
22002	Abizanda	22	Huesca	142	44,84	3,16681534344335	2015
22002	Abizanda	22	Huesca	140	44,84	3,12221231043711	2014
22002	Abizanda	22	Huesca	143	44,84	3,18911685994648	2013
22002	Abizanda	22	Huesca	136	44,84	3,03300624442462	2012
22002	Abizanda	22	Huesca	139	44,84	3,09991079393399	2011
22002	Abizanda	22	Huesca	132	44,84	2,94380017841213	2010
22002	Abizanda	22	Huesca	126	44,84	2,8099910793934	2009
